jahrgang,bgg_id,url,winner,nominated,recommended,sonderpreis
1979,361,https://boardgamegeek.com/boardgame/361/hare-tortoise,1,1,1,
1980,811,https://boardgamegeek.com/boardgame/811/rummikub,1,1,1,
1981,789,https://boardgamegeek.com/boardgame/789/focus,1,1,1,
1982,938,https://boardgamegeek.com/boardgame/938/enchanted-forest,1,1,1,
1983,438,https://boardgamegeek.com/boardgame/438/scotland-yard,1,1,1,
1984,539,https://boardgamegeek.com/boardgame/539/dampfross,1,1,1,
1985,2511,https://boardgamegeek.com/boardgame/2511/sherlock-holmes-consulting-detective-thames-murder,1,1,1,
1986,382,https://boardgamegeek.com/boardgame/382/heimlich-co,1,1,1,
1987,110,https://boardgamegeek.com/boardgame/110/auf-achse,1,1,1,
1988,550,https://boardgamegeek.com/boardgame/550/barbarossa,1,1,1,
1989,214,https://boardgamegeek.com/boardgame/214/cafe-international,1,1,1,
1990,120,https://boardgamegeek.com/boardgame/120/hoity-toity,1,1,1,
1991,19,https://boardgamegeek.com/boardgame/19/wacky-wacky-west,1,1,1,
1992,442,https://boardgamegeek.com/boardgame/442/um-reifenbreite,1,1,1,
1993,45,https://boardgamegeek.com/boardgame/45/perudo,1,1,1,
1994,199,https://boardgamegeek.com/boardgame/199/manhattan,1,1,1,
1995,13,https://boardgamegeek.com/boardgame/13/catan,1,1,1,
1996,93,https://boardgamegeek.com/boardgame/93/el-grande,1,1,1,
1997,256,https://boardgamegeek.com/boardgame/256/mississippi-queen,1,1,1,
1998,10,https://boardgamegeek.com/boardgame/10/elfenland,1,1,1,
1999,54,https://boardgamegeek.com/boardgame/54/tikal,1,1,1,
2000,88,https://boardgamegeek.com/boardgame/88/torres,1,1,1,
2001,822,https://boardgamegeek.com/boardgame/822/carcassonne,1,1,1,
2002,2596,https://boardgamegeek.com/boardgame/2596/villa-paletti,1,1,1,
2003,6249,https://boardgamegeek.com/boardgame/6249/alhambra,1,1,1,
2004,9209,https://boardgamegeek.com/boardgame/9209/ticket-ride,1,1,1,
2005,13308,https://boardgamegeek.com/boardgame/13308/niagara,1,1,1,
2006,21790,https://boardgamegeek.com/boardgame/21790/thurn-and-taxis,1,1,1,
2007,27588,https://boardgamegeek.com/boardgame/27588/zooloretto,1,1,1,
2008,34585,https://boardgamegeek.com/boardgame/34585/keltis,1,1,1,
2009,36218,https://boardgamegeek.com/boardgame/36218/dominion,1,1,1,
2010,39856,https://boardgamegeek.com/boardgame/39856/dixit,1,1,1,
2011,25669,https://boardgamegeek.com/boardgame/25669/qwirkle,1,1,1,
2012,107529,https://boardgamegeek.com/boardgame/107529/kingdom-builder,1,1,1,
2013,98778,https://boardgamegeek.com/boardgame/98778/hanabi,1,1,1,
2014,153938,https://boardgamegeek.com/boardgame/153938/camel,1,1,1,
2015,158899,https://boardgamegeek.com/boardgame/158899/colt-express,1,1,1,
2016,178900,https://boardgamegeek.com/boardgame/178900/codenames,1,1,1,
2017,204583,https://boardgamegeek.com/boardgame/204583/kingdomino,1,1,1,
2018,230802,https://boardgamegeek.com/boardgame/230802/azul,1,1,1,
2019,254640,https://boardgamegeek.com/boardgame/254640/just-one,1,1,1,
2011,65244,https://boardgamegeek.com/boardgame/65244/forbidden-island,0,1,1,
2011,72991,https://boardgamegeek.com/boardgame/72991/asara,0,1,1,
2012,90009,https://boardgamegeek.com/boardgame/90009/eselsbrucke,0,1,1,
2012,117959,https://boardgamegeek.com/boardgame/117959/las-vegas,0,1,1,
2013,137297,https://boardgamegeek.com/boardgame/137297/rise-augustus,0,1,1,
2013,131260,https://boardgamegeek.com/boardgame/131260/qwixx,0,1,1,
2014,148228,https://boardgamegeek.com/boardgame/148228/splendor,0,1,1,
2014,147151,https://boardgamegeek.com/boardgame/147151/concept,0,1,1,
2015,143884,https://boardgamegeek.com/boardgame/143884/machi-koro,0,1,1,
2015,173090,https://boardgamegeek.com/boardgame/173090/game,0,1,1,
2016,183251,https://boardgamegeek.com/boardgame/183251/karuba,0,1,1,
2016,191862,https://boardgamegeek.com/boardgame/191862/imhotep,0,1,1,
2017,217372,https://boardgamegeek.com/boardgame/217372/quest-el-dorado,0,1,1,
2017,209778,https://boardgamegeek.com/boardgame/209778/magic-maze,0,1,1,
2018,244992,https://boardgamegeek.com/boardgame/244992/mind,0,1,1,
2018,245643,https://boardgamegeek.com/boardgame/245643/luxor,0,1,1,
2019,219215,https://boardgamegeek.com/boardgame/219215/werewords,0,1,1,
2019,266083,https://boardgamegeek.com/boardgame/266083/llm,0,1,1,
1979,5,https://boardgamegeek.com/boardgame/5/acquire,0,0,1,
1979,1387,https://boardgamegeek.com/boardgame/1387/alaska,0,0,1,
1979,16052,https://boardgamegeek.com/boardgame/16052/merlin,0,0,1,
1979,2043,https://boardgamegeek.com/boardgame/2043/shogun,0,0,1,
1979,5749,https://boardgamegeek.com/boardgame/5749/simon,0,0,1,
1979,5096,https://boardgamegeek.com/boardgame/5096/sly,0,0,1,
1979,5709,https://boardgamegeek.com/boardgame/5709/touche,0,0,1,
1979,949,https://boardgamegeek.com/boardgame/949/twixt,0,0,1,
1979,17785,https://boardgamegeek.com/boardgame/17785/seti,0,0,0,Beautiful Game
1980,2229,https://boardgamegeek.com/boardgame/2229/spiel,0,0,0,Beautiful Game
1980,539,https://boardgamegeek.com/boardgame/539/dampfross,0,0,1,
1980,7338,https://boardgamegeek.com/boardgame/7338/epaminondas,0,0,1,
1980,789,https://boardgamegeek.com/boardgame/789/focus,0,0,1,
1980,17784,https://boardgamegeek.com/boardgame/17784/galaxis,0,0,1,
1980,5389,https://boardgamegeek.com/boardgame/5389/niki-laudas-formel-1,0,0,1,
1980,1992,https://boardgamegeek.com/boardgame/1992/stop-thief,0,0,1,
1981,5986,https://boardgamegeek.com/boardgame/5986/ra-strategy-among-hexagons,0,0,0,Beautiful Game
1981,41,https://boardgamegeek.com/boardgame/41/cant-stop,0,0,1,
1981,938,https://boardgamegeek.com/boardgame/938/enchanted-forest,0,0,1,
1981,3335,https://boardgamegeek.com/boardgame/3335/ganoven-jagd,0,0,1,
1981,2759,https://boardgamegeek.com/boardgame/2759/havannah,0,0,1,
1981,16308,https://boardgamegeek.com/boardgame/16308/ombagi,0,0,1,
1981,17794,https://boardgamegeek.com/boardgame/17794/quibbix,0,0,1,
1981,17786,https://boardgamegeek.com/boardgame/17786/wendo,0,0,1,
1982,17815,https://boardgamegeek.com/boardgame/17815/skript,0,0,0,Beautiful Game
1982,1077,https://boardgamegeek.com/boardgame/1077/baubylon,0,0,1,
1982,41,https://boardgamegeek.com/boardgame/41/cant-stop,0,0,1,
1982,17814,https://boardgamegeek.com/boardgame/17814/fang-mich-wenn-du-kannst,0,0,1,
1982,2759,https://boardgamegeek.com/boardgame/2759/havannah,0,0,1,
1982,2197,https://boardgamegeek.com/boardgame/2197/kensington,0,0,1,
1982,1173,https://boardgamegeek.com/boardgame/1173/millionenspiel,0,0,1,
1982,2290,https://boardgamegeek.com/boardgame/2290/phantoms-vs-phantoms,0,0,1,
1982,17813,https://boardgamegeek.com/boardgame/17813/vokabo,0,0,1,
1983,17904,https://boardgamegeek.com/boardgame/17904/wir-futtern-die-kleinen-nilpferde,0,0,0,Beautiful Game
1983,4586,https://boardgamegeek.com/boardgame/4586/barenspiel,0,0,1,
1983,17903,https://boardgamegeek.com/boardgame/17903/fuzzi-heinz-und-schlendrian,0,0,1,
1983,17044,https://boardgamegeek.com/boardgame/17044/riombo,0,0,1,
1983,13236,https://boardgamegeek.com/boardgame/13236/der-schwarze-prinz,0,0,1,
1984,11421,https://boardgamegeek.com/boardgame/11421/uisge,0,0,0,Beautiful Game
1984,5664,https://boardgamegeek.com/boardgame/5664/3-or-more,0,0,1,
1984,3015,https://boardgamegeek.com/boardgame/3015/claim,0,0,1,
1984,17905,https://boardgamegeek.com/boardgame/17905/feuerwehr,0,0,1,
1984,145,https://boardgamegeek.com/boardgame/145/metropolis,0,0,1,
1984,14113,https://boardgamegeek.com/boardgame/14113/netzwerk,0,0,1,
1985,1012,https://boardgamegeek.com/boardgame/1012/die-magier,0,0,0,Beautiful Game
1985,906,https://boardgamegeek.com/boardgame/906/abilene,0,0,1,
1985,8168,https://boardgamegeek.com/boardgame/8168/campus,0,0,1,
1985,17788,https://boardgamegeek.com/boardgame/17788/cash-carry,0,0,1,
1985,382,https://boardgamegeek.com/boardgame/382/heimlich-co,0,0,1,
1985,1733,https://boardgamegeek.com/boardgame/1733/iago,0,0,1,
1985,17724,https://boardgamegeek.com/boardgame/17724/mister-zero,0,0,1,
1985,18052,https://boardgamegeek.com/boardgame/18052/pin,0,0,1,
1985,1117,https://boardgamegeek.com/boardgame/1117/youre-bluffing,0,0,1,
1986,6874,https://boardgamegeek.com/boardgame/6874/muller-sohn,0,0,0,Beautiful Game
1986,443,https://boardgamegeek.com/boardgame/443/code-777,0,0,1,
