slot_id,kind,match_id,ab,team_id,team_name,prob,n_sims
E73a,entrant,73,a,ZA,South Africa,1.0,10000000
E73b,entrant,73,b,CA,Canada,1.0,10000000
W73,winner,73,"",CA,Canada,1.0,10000000
E74a,entrant,74,a,DE,Germany,1.0,10000000
E74b,entrant,74,b,PY,Paraguay,1.0,10000000
W74,winner,74,"",DE,Germany,0.67656,10000000
W74,winner,74,"",PY,Paraguay,0.32344,10000000
E75a,entrant,75,a,NL,Netherlands,1.0,10000000
E75b,entrant,75,b,MA,Morocco,1.0,10000000
W75,winner,75,"",NL,Netherlands,0.67992,10000000
W75,winner,75,"",MA,Morocco,0.32008,10000000
E76a,entrant,76,a,BR,Brazil,1.0,10000000
E76b,entrant,76,b,JP,Japan,1.0,10000000
W76,winner,76,"",BR,Brazil,0.67337,10000000
W76,winner,76,"",JP,Japan,0.32663,10000000
E77a,entrant,77,a,FR,France,1.0,10000000
E77b,entrant,77,b,SE,Sweden,1.0,10000000
W77,winner,77,"",FR,France,0.95285,10000000
W77,winner,77,"",SE,Sweden,0.04715,10000000
E78a,entrant,78,a,CI,Ivory Coast,1.0,10000000
E78b,entrant,78,b,NO,Norway,1.0,10000000
W78,winner,78,"",NO,Norway,0.78461,10000000
W78,winner,78,"",CI,Ivory Coast,0.21539,10000000
E79a,entrant,79,a,MX,Mexico,1.0,10000000
E79b,entrant,79,b,EC,Ecuador,1.0,10000000
W79,winner,79,"",MX,Mexico,0.69122,10000000
W79,winner,79,"",EC,Ecuador,0.30878,10000000
E80a,entrant,80,a,EN,England,1.0,10000000
E80b,entrant,80,b,CD,DR Congo,1.0,10000000
W80,winner,80,"",EN,England,0.92451,10000000
W80,winner,80,"",CD,DR Congo,0.07549,10000000
E81a,entrant,81,a,US,United States,1.0,10000000
E81b,entrant,81,b,BA,Bosnia and Herzegovina,1.0,10000000
W81,winner,81,"",US,United States,0.87524,10000000
W81,winner,81,"",BA,Bosnia and Herzegovina,0.12476,10000000
E82a,entrant,82,a,BE,Belgium,1.0,10000000
E82b,entrant,82,b,SN,Senegal,1.0,10000000
W82,winner,82,"",BE,Belgium,0.57594,10000000
W82,winner,82,"",SN,Senegal,0.42406,10000000
E83a,entrant,83,a,PT,Portugal,1.0,10000000
E83b,entrant,83,b,HR,Croatia,1.0,10000000
W83,winner,83,"",PT,Portugal,0.65021,10000000
W83,winner,83,"",HR,Croatia,0.34979,10000000
E84a,entrant,84,a,ES,Spain,1.0,10000000
E84b,entrant,84,b,AT,Austria,1.0,10000000
W84,winner,84,"",ES,Spain,0.91297,10000000
W84,winner,84,"",AT,Austria,0.08703,10000000
E85a,entrant,85,a,CH,Switzerland,1.0,10000000
E85b,entrant,85,b,DZ,Algeria,1.0,10000000
W85,winner,85,"",CH,Switzerland,0.72016,10000000
W85,winner,85,"",DZ,Algeria,0.27984,10000000
E86a,entrant,86,a,AR,Argentina,1.0,10000000
E86b,entrant,86,b,CV,Cape Verde,1.0,10000000
W86,winner,86,"",AR,Argentina,0.98344,10000000
W86,winner,86,"",CV,Cape Verde,0.01656,10000000
E87a,entrant,87,a,CO,Colombia,1.0,10000000
E87b,entrant,87,b,GH,Ghana,1.0,10000000
W87,winner,87,"",CO,Colombia,0.96777,10000000
W87,winner,87,"",GH,Ghana,0.03223,10000000
E88a,entrant,88,a,AU,Australia,1.0,10000000
E88b,entrant,88,b,EG,Egypt,1.0,10000000
W88,winner,88,"",AU,Australia,0.60426,10000000
W88,winner,88,"",EG,Egypt,0.39574,10000000
W89,winner,89,"",FR,France,0.81217,10000000
W89,winner,89,"",DE,Germany,0.13891,10000000
W89,winner,89,"",PY,Paraguay,0.03639,10000000
W89,winner,89,"",SE,Sweden,0.01253,10000000
W90,winner,90,"",NL,Netherlands,0.56638,10000000
W90,winner,90,"",MA,Morocco,0.22279,10000000
W90,winner,90,"",CA,Canada,0.21083,10000000
W91,winner,91,"",BR,Brazil,0.47665,10000000
W91,winner,91,"",NO,Norway,0.31141,10000000
W91,winner,91,"",JP,Japan,0.17884,10000000
W91,winner,91,"",CI,Ivory Coast,0.03309,10000000
W92,winner,92,"",EN,England,0.55806,10000000
W92,winner,92,"",MX,Mexico,0.33694,10000000
W92,winner,92,"",EC,Ecuador,0.09561,10000000
W92,winner,92,"",CD,DR Congo,0.0094,10000000
W93,winner,93,"",ES,Spain,0.72253,10000000
W93,winner,93,"",PT,Portugal,0.18747,10000000
W93,winner,93,"",HR,Croatia,0.06477,10000000
W93,winner,93,"",AT,Austria,0.02523,10000000
W94,winner,94,"",US,United States,0.46095,10000000
W94,winner,94,"",BE,Belgium,0.31813,10000000
W94,winner,94,"",SN,Senegal,0.20358,10000000
W94,winner,94,"",BA,Bosnia and Herzegovina,0.01735,10000000
W95,winner,95,"",AR,Argentina,0.93128,10000000
W95,winner,95,"",AU,Australia,0.04532,10000000
W95,winner,95,"",EG,Egypt,0.01935,10000000
