rank,bgg_id,page_views
1,171,463616
2,2223,235290
3,1406,207798
4,10816,170969
5,2397,146900
6,2093,117792
7,2181,117749
8,463,109266
9,2162,99527
10,25821,75652
11,29351,75405
12,2243,69558
13,320,66947
14,2425,66123
15,13,64418
16,811,61740
17,1294,59754
18,181,54877
19,50381,52971
20,5072,52737
21,27443,49365
22,2392,48270
23,2136,45513
24,3886,39022
25,4192,33270
26,822,32188
27,6819,31038
28,2719,29774
29,39856,28121
30,2952,26432
31,2398,26395
32,18011,25668
33,28,25462
34,5432,25053
35,2386,24255
36,2921,23728
37,2785,20404
38,1917,19993
39,11733,19621
40,13713,18865
41,1258,18503
42,2407,18076
43,1111,17756
44,1602,17474
45,188834,17421
46,9209,17209
47,2399,16958
48,36218,16435
49,2281,16073
50,5894,15810
51,483,15631
52,3955,15383
53,178900,15324
54,1269,15313
55,29316,15157
56,30549,15080
57,2086,14473
58,41114,13966
59,6887,13835
60,255613,13680
61,4112,13443
62,17530,13181
63,73664,12788
64,34848,12076
65,9364,11379
66,26952,10992
67,98,10593
68,45,10591
69,4001,10492
70,28302,10392
71,1293,10321
72,4143,10287
73,7688,10029
74,521,9977
75,11634,9729
76,2932,9644
77,68448,9510
78,174430,9390
79,3737,9113
80,2381,8974
81,38950,8722
82,34,8716
83,172225,8331
84,2375,8140
85,12745,8124
86,55763,8105
87,1465,7779
88,5895,7691
89,1198,7602
90,29146,7476
91,205637,7378
92,2453,7364
93,699,7323
94,432,7316
95,3720,7305
96,714,7231
97,10547,7222
98,590,7150
99,712,6891
100,57409,6850
101,478,6607
102,2593,6588
103,526,6491
104,74,6447
105,2679,6441
106,163,6333
107,215,6184
108,8098,6130
109,11930,5999
110,1887,5932
111,230802,5923
112,2163,5841
113,12493,5588
114,1931,5535
115,31260,5299
116,146021,5294
117,2728,5220
118,5339,5216
119,681,5180
120,124742,5134
121,63268,5118
122,4815,5087
123,98778,5048
124,129622,5030
125,5130,5022
126,169786,4957
127,891,4915
128,40398,4878
129,4040,4845
130,2405,4817
131,123417,4686
