rank,bgg_id,page_views
1,171,651124
2,2223,465210
3,1406,353241
4,2397,248047
5,10816,229826
6,2093,192545
7,2162,148928
8,2181,136265
9,28,134584
10,2425,124946
11,13,120952
12,2243,120530
13,320,120205
14,2136,114802
15,811,111362
16,181,104913
17,1294,102937
18,463,102309
19,25821,94600
20,29351,92784
21,5072,90310
22,178900,89943
23,27443,74394
24,3886,74044
25,50381,67496
26,2381,61052
27,1258,59098
28,2952,54634
29,822,53957
30,4192,49666
31,2392,48775
32,2921,47467
33,2386,47386
34,2785,47113
35,5432,42358
36,18011,40360
37,30549,39546
38,2719,38646
39,6819,38364
40,2398,37238
41,39856,36890
42,2281,35720
43,1917,34874
44,12745,34403
45,188834,34271
46,289363,33913
47,1602,33581
48,36218,32494
49,1111,31285
50,483,31018
51,2086,28531
52,9209,28088
53,2399,27460
54,2407,26725
55,13713,26362
56,1269,26055
57,11733,24640
58,11634,21966
59,4001,21616
60,6887,21602
61,5894,20731
62,29146,19691
63,73664,18908
64,98,18758
65,1293,18562
66,2375,18487
67,34848,18011
68,29316,17921
69,28302,17591
70,2932,16810
71,22245,16429
72,68448,16181
73,3955,16062
74,174430,15909
75,9364,14779
76,38950,14684
77,45,14644
78,432,14599
79,7688,14542
80,4143,14487
81,4112,14332
82,205637,14155
83,129622,12905
84,41114,12716
85,17530,12707
86,3737,12621
87,699,12589
88,55763,12432
89,714,12198
90,57409,12169
91,521,11975
92,26952,11914
93,3720,11761
94,33701,11424
95,590,11173
96,98778,11008
97,41,10914
98,2453,10756
99,172225,10720
100,1465,10645
101,215,10213
102,34,10198
103,526,9849
104,1198,9813
105,74,9716
106,230802,9704
107,2679,9666
108,2593,9593
109,26920,9468
110,266192,9462
111,163,9055
112,167791,9036
113,478,8995
114,1931,8950
115,4040,8735
116,7108,8648
117,255613,8569
118,2163,8394
119,712,8341
120,4815,8283
121,10547,8081
122,31260,8061
123,40398,8026
124,21488,7999
125,63268,7894
126,1502,7815
127,2405,7750
128,11930,7725
129,5339,7686
130,22847,7639
131,5130,7587
132,8098,7554
133,146021,7448
134,12333,7408
135,1410,7319
136,624,7167
137,891,7056
138,25669,7050
139,1887,6976
140,4031,6901
141,3076,6776
142,169786,6619
143,943,6459
144,5895,6338
145,3818,6324
146,6974,6126
147,123417,6103
148,56796,5956
149,1219,5880
150,254640,5869
151,11464,5856
152,2655,5810
153,681,5802
154,54672,5750
155,170586,5726
156,11,5717
157,157507,5678
158,3072,5662
159,148228,5631
160,9220,5566
161,22392,5564
162,2944,5545
163,19432,5500
164,2322,5443
165,2728,5348
166,12493,5285
167,3768,5246
168,40692,5172
169,1353,5159
170,6472,5123
171,19967,5070
172,3967,4977
173,197405,4926
174,10213,4867
175,1797,4864
176,20806,4848
177,14186,4647
178,55690,4625
179,83330,4592
180,33112,4457
181,472,4455
182,1301,4427
183,71,4383
184,26067,4381
185,127398,4358
186,4386,4336
187,1899,4331
188,140,4267
189,26947,4177
190,3565,4109
191,159655,4097
192,8909,4088
193,124742,4072
194,1500,4029
195,29741,4023
196,77423,4007
197,17226,4006
198,2511,3985
199,8790,3964
200,181304,3927
201,315,3919
202,15,3910
203,1295,3852
204,204583,3840
205,143884,3826
206,1634,3820
207,22303,3785
208,32441,3747
209,2651,3658
210,7263,3557
211,65244,3523
212,18803,3463
213,258,3433
214,166384,3424
215,25213,3415
216,4148,3347
217,1568,3310
217,3495,3310
219,121,3284
220,11022,3267
221,929,3235
222,5,3198
223,96848,3178
224,7314,3121
225,6278,3017
226,15818,2995
227,113924,2987
228,16991,2978
229,36799,2922
230,120677,2920
231,174182,2893
232,8392,2879
233,6249,2869
234,10653,2861
235,158899,2851
236,655,2837
237,1515,2815
238,146508,2761
239,1038,2717
240,938,2714
241,110327,2691
242,19841,2689
243,13714,2686
244,278,2620
245,244521,2601
246,70323,2586
247,4378,2578
248,2795,2558
249,700,2554
250,1117,2510
251,1730,2506
252,30,2495
253,28143,2489
254,5255,2463
255,11168,2428
256,18,2411
257,29234,2383
258,5217,2363
259,153938,2340
260,25433,2299
261,12747,2289
262,1275,2242
263,25613,2227
264,1035,2222
265,9206,2192
266,22895,2177
267,2125,2142
268,715,2117
269,34635,2115
270,2294,2108
271,361,2086
271,255664,2086
273,3837,2080
274,764,2077
275,949,2071
276,115746,2052
277,6862,2040
278,147020,2037
279,823,2017
280,1768,2016
281,12856,2013
282,327,2004
282,4862,2004
284,1604,1967
285,1501,1959
286,107529,1924
287,28805,1923
288,131260,1916
289,173,1906
290,33690,1902
291,18602,1895
292,21790,1882
293,2821,1868
294,9296,1846
295,11229,1842
296,1915,1841
297,242,1832
298,77130,1812
299,1589,1805
300,16986,1802
301,1099,1781
302,147151,1775
303,10640,1772
304,10630,1762
305,50,1761
306,568,1759
307,120,1754
308,4934,1730
309,54,1696
310,226610,1694
311,2653,1693
312,2516,1689
313,37589,1662
314,3464,1645
315,150376,1633
316,6275,1619
317,93,1612
318,2633,1606
319,66056,1603
320,103885,1596
321,34585,1572
322,10,1565
323,46213,1540
324,1339,1538
325,10453,1534
326,15162,1533
327,31821,1519
328,1475,1506
329,5588,1505
330,70919,1501
331,13715,1498
332,42,1487
333,1829,1482
334,9079,1462
335,550,1434
336,205359,1418
337,148949,1414
338,427,1411
339,227,1389
340,339,1382
341,2557,1378
342,1563,1376
343,2285,1374
344,3656,1373
345,244992,1370
346,16992,1368
347,22469,1367
348,62871,1357
349,194655,1354
350,4052,1353
350,156776,1353
352,102652,1349
353,24396,1345
354,2816,1341
355,20281,1310
356,11104,1308
357,11971,1302
358,11182,1296
359,3633,1281
360,1421,1272
361,3699,1246
362,382,1244
362,17223,1244
364,214,1238
365,39271,1229
366,110,1222
367,72125,1210
368,4102,1204
369,5195,1201
370,40270,1196
371,2129,1195
371,156714,1195
373,2471,1188
374,51,1172
375,37111,1166
376,14808,1157
377,21241,1148
378,7,1145
379,175,1138
380,160477,1135
381,855,1130
382,12168,1128
383,35677,1126
384,4779,1124
385,18723,1122
386,31481,1116
387,27588,1112
388,1860,1102
388,6535,1102
390,88,1101
391,2290,1100
392,789,1099
393,5322,1096
394,36550,1095
394,173090,1095
396,2607,1094
397,2238,1091
398,170216,1088
399,1897,1081
399,147859,1081
401,103886,1077
402,20100,1068
403,13308,1059
404,5242,1049
405,47185,1044
406,2635,1043
407,100423,1041
408,2759,1039
409,17,1036
409,466,1036
411,987,1035
412,13657,1028
413,197831,1026
414,6283,1019
415,224,1017
416,1923,1009
417,618,1002
418,5454,994
419,5206,988
420,2680,984
421,527,980
422,8304,979
423,1950,969
424,286,967
425,199,960
426,84876,956
427,3570,950
428,321,933
429,7694,930
430,38545,929
431,3099,926
432,1962,924
433,460,922
434,2346,921
434,3825,921
436,1499,918
437,5782,911
438,11670,905
439,5717,903
440,22827,897
441,19,895
442,14423,893
443,1234,889
444,713,888
445,116,887
446,19679,886
447,15062,884
448,3655,880
449,936,873
449,4888,873
451,221,869
452,9354,866
452,244522,866
454,3988,865
455,1302,862
456,12692,861
456,15512,861
458,97,855
459,3851,850
459,15617,850
461,6366,841
462,136063,840
463,177,837
464,118,834
465,103,833
465,9138,833
467,104006,831
468,6830,830
469,6380,828
470,2891,825
471,2866,820
472,1149,814
472,9217,814
472,24480,814
475,24181,812
475,187645,812
477,28720,811
478,2266,810
478,7854,810
480,165722,809
481,117959,808
482,19351,805
483,39373,803
484,209685,801
485,14247,800
486,2767,797
487,18683,792
488,7450,789
489,2025,777
490,2060,774
490,3157,774
490,3487,774
493,219215,773
494,21763,771
495,18699,769
496,22,765
497,257,764
497,421,764
499,240,762
499,15045,762
501,8217,759
502,99,757
503,128,756
504,798,755
504,12751,755
506,2596,754
507,551,753
508,38453,748
509,748,745
510,9674,744
511,19540,741
512,3616,740
512,5034,740
514,53953,737
515,100901,736
516,21523,735
517,25337,734
518,31383,730
519,9379,728
519,9385,728
519,91312,728
522,17526,726
523,815,725
524,32674,718
525,8964,716
526,1197,697
527,8196,693
528,12995,690
529,3377,686
530,12616,683
531,5168,681
532,6471,679
533,1836,676
534,66,674
534,2750,674
536,196,667
537,20551,666
538,25988,662
539,6647,661
540,1513,657
540,5251,657
542,2987,648
543,2970,647
544,1613,645
545,172386,644
546,69,638
547,3084,636
548,19854,632
549,127685,629
550,8863,628
550,9160,628
550,153004,628
553,1608,627
554,2842,624
555,2770,622
556,237,618
557,2639,617
558,4390,616
559,12942,615
560,545,613
560,2115,613
562,10884,607
563,25417,606
564,2166,601
564,14105,601
566,420,600
566,166031,600
568,10383,598
569,1431,596
570,295486,590
571,2363,588
572,2808,586
573,475,585
573,266083,585
575,217083,583
576,8983,582
577,2259,581
577,63875,581
579,12,580
580,21861,579
581,31999,578
582,43022,577
583,162,576
583,731,576
583,2955,576
586,176494,575
587,16035,569
588,29223,566
589,335,565
589,1992,565
591,91,560
592,2043,558
593,528,557
594,2342,556
595,1419,555
595,144733,555
597,12005,554
598,4171,552
598,198994,552
600,3,551
600,15182,551
602,3085,550
603,29500,549
604,555,546
605,2573,545
606,60,542
607,153,540
608,256,538
609,29368,537
610,254,535
611,2240,531
612,1032,530
613,826,529
614,1535,528
614,19764,528
616,183251,526
617,442,524
618,6787,520
618,66188,520
620,586,519
621,121921,517
622,9010,516
623,283,515
624,14038,514
625,91536,511
626,5258,510
627,2229,508
627,28838,508
629,54137,507
630,139771,506
631,105593,501
632,1442,499
633,437,498
634,206939,497
635,394,495
635,1420,495
637,4962,494
637,7338,494
639,372,493
640,520,490
641,1233,489
642,22825,484
643,36,479
644,2130,476
645,1943,475
646,2132,472
647,2368,471
647,6578,471
649,199042,470
650,13455,469
651,3086,468
652,2872,466
653,200,465
653,5404,465
653,7479,465
653,217372,465
657,2311,462
658,1190,461
659,13726,460
659,18254,460
661,10081,457
662,168,456
663,9246,454
663,9446,454
665,108,453
665,42685,453
667,108745,449
668,230,448
669,230408,446
670,1329,443
671,1827,442
672,8636,439
673,3931,435
673,43443,435
675,118048,433
676,6955,432
676,15817,432
678,915,431
678,1159,431
680,209010,429
681,284083,424
682,814,423
682,8093,423
684,25972,421
685,33643,418
685,133664,418
687,8939,417
687,133473,417
689,8930,416
690,37628,415
691,2956,414
692,1444,410
693,2228,409
693,3685,409
695,8786,405
695,12002,405
697,865,404
697,7791,404
697,22897,404
700,3125,403
700,25895,403
702,8095,400
703,36235,398
704,17392,397
704,41916,397
704,101721,397
707,6873,395
708,503,394
708,4636,394
708,8203,394
708,37917,394
712,27708,392
713,17133,390
714,10819,389
715,3052,388
716,188188,387
717,4025,386
717,5770,386
717,206931,386
717,243749,386
721,3661,385
721,191862,385
723,948,384
724,553,383
724,701,383
726,68083,382
727,23,381
728,8728,379
729,9755,377
730,3836,376
730,11972,376
732,3945,375
732,26458,375
734,11102,374
734,13642,374
734,28298,374
737,1262,372
738,83195,371
739,3307,370
740,2608,369
741,10206,368
742,148261,367
743,788,363
743,11375,363
745,22457,362
746,3417,361
747,4098,359
748,12157,356
749,1323,355
750,23864,353
751,1577,352
751,25990,352
753,1498,351
753,7277,351
753,8166,351
756,697,350
756,27710,350
758,444,349
759,26,348
760,12891,346
761,12004,345
762,4746,344
763,124,342
763,6752,342
765,9161,341
766,244,340
766,2250,340
766,5455,340
766,17804,340
766,26047,340
771,1,339
771,6707,339
773,4977,337
774,1202,335
775,19916,334
776,96,333
777,13328,332
778,27970,330
779,3177,323
779,33604,323
781,380,322
781,1147,322
783,172308,319
784,1875,318
784,6368,318
784,24698,318
787,6411,313
788,4123,312
788,18657,312
790,144845,311
791,824,308
791,1506,308
791,5651,308
794,67,305
795,42636,302
795,219513,302
797,4173,301
797,10595,301
799,2995,299
800,3044,298
800,15271,298
802,828,297
802,1726,297
802,21882,297
805,620,296
805,3312,296
807,22877,295
807,109797,295
807,209778,295
810,2123,291
810,119506,291
812,3577,289
813,1250,288
813,4105,288
813,66851,288
816,171623,287
817,12645,285
817,154880,285
819,508,284
819,1708,284
819,18737,284
822,8122,283
822,162915,283
824,115,281
824,2802,281
826,7805,280
826,25471,280
826,164928,280
829,911,279
829,2307,279
829,3041,279
829,15033,279
829,18840,279
834,26990,278
834,124361,278
836,3966,277
836,43528,277
838,2422,276
839,2168,274
839,54043,274
841,3463,272
842,13036,271
842,28050,271
844,6333,270
844,139030,270
846,1711,266
846,6778,266
848,13754,265
848,195372,265
850,4881,264
850,29259,264
852,1525,263
853,6346,261
854,2975,259
855,484,258
856,1430,257
856,1729,257
856,54138,257
859,1823,256
859,18574,256
861,589,255
861,4558,255
861,123540,255
864,94732,254
864,153065,254
866,34303,253
867,619,252
867,20545,252
869,710,250
869,5260,250
869,220308,250
872,1986,248
873,3572,247
874,13614,246
874,60707,246
876,46,245
876,392,245
876,11730,245
876,22345,245
880,20,244
880,17490,244
882,3226,243
882,21632,243
882,39488,243
885,639,242
885,23686,242
887,559,240
887,19671,240
887,24697,240
887,73761,240
891,7006,239
892,119,238
892,6638,238
892,15731,238
895,4668,237
896,13765,236
897,11945,235
897,27172,235
897,67239,235
897,102680,235
897,193738,235
902,15363,234
903,15020,233
904,214293,231
905,6923,230
905,15364,230
907,17240,229
908,1423,228
908,3080,228
910,1593,227
911,464,226
911,40393,226
911,247763,226
914,23308,225
915,228,224
915,354,224
915,23387,224
918,163412,223
919,19766,222
920,1178,221
920,4396,221
922,75,220
922,1261,220
922,1650,220
922,30093,220
926,2947,219
926,12601,219
926,13777,219
929,20436,218
930,21703,217
930,35722,217
