rank,bgg_id,page_views
1,171,494027
2,2223,264299
3,1406,255216
4,10816,167260
5,2397,150823
6,463,125218
7,2093,121392
8,2181,108174
9,13,93684
10,50381,90729
11,2425,88390
12,2162,84891
13,320,84694
14,29351,78886
15,25821,78308
16,2243,76069
17,1294,74621
18,811,69840
19,2136,68254
20,181,67312
21,5072,56331
22,3886,50246
23,27443,45007
24,39856,42720
25,2392,41289
26,822,40293
27,2952,38939
28,2719,34812
29,4192,34739
30,6819,33882
31,2386,32076
32,1258,31700
33,2921,31678
34,2398,28505
35,2785,28126
36,1111,27406
37,18011,27366
38,5432,27331
39,9209,26901
40,2407,26574
41,178900,26273
42,1917,24697
43,13713,23748
44,188834,23493
45,36218,22771
46,2281,22106
47,30549,21723
48,1602,21040
49,1269,20399
50,3955,19991
51,5894,19677
52,2399,19361
53,28,18993
54,483,18951
55,11733,18091
56,6887,18036
57,11634,16457
58,34848,15720
59,41114,15411
60,9364,15282
61,2086,14824
62,4143,14798
63,98,14583
64,73664,14504
65,68448,13867
66,2375,13828
67,4112,13256
68,28302,13242
69,172225,13117
70,521,13031
71,2381,12894
72,4001,12632
73,45,12419
74,2453,12341
75,1293,12269
76,7688,11746
77,432,11357
78,26952,11339
79,34,11207
80,174430,11079
81,230802,10740
82,74,10659
83,38950,10596
84,12745,10530
85,55763,10511
86,57409,10423
87,3737,10103
88,255613,10079
89,2932,10028
90,2593,9712
91,17530,9702
92,714,9503
93,10547,9468
94,1465,9324
95,590,9295
96,3720,9135
97,526,9015
98,8098,8995
99,699,8697
100,478,8600
101,31821,8539
102,1198,8536
103,2679,8488
104,1931,8422
105,205637,8249
106,891,8186
107,254640,8133
108,29316,7726
109,140,7644
110,624,7595
111,29146,7592
112,5339,7573
113,163,7549
114,1219,7484
115,197405,7404
116,167791,7372
117,5130,7245
118,98778,7233
119,129622,7150
120,4815,7119
121,25669,7115
122,215,6951
123,63268,6929
124,31260,6915
125,1887,6519
126,11464,6511
127,712,6498
128,169786,6477
129,11930,6463
130,681,6391
131,5895,6357
132,266192,6333
133,12333,6269
134,4040,6218
135,2944,6184
136,943,6176
137,12493,6095
138,2728,6057
139,2163,6043
140,3818,5973
141,1353,5906
142,7108,5770
143,1502,5733
144,40398,5633
145,146021,5542
146,4031,5434
147,6472,5254
148,1410,5246
149,33701,5211
150,3076,5188
151,123417,5077
152,8790,5025
153,11,4892
154,124742,4879
155,83330,4854
156,3072,4841
157,1797,4832
158,2322,4822
159,181304,4792
160,2655,4719
161,2405,4624
162,165722,4614
163,11104,4604
164,148228,4512
165,55690,4505
166,127398,4478
167,56796,4456
168,14186,4352
169,26067,4252
170,113924,4245
171,19432,4211
172,170586,4210
173,6974,4191
174,157507,4093
175,204583,4019
176,2651,3967
177,258,3928
178,143884,3920
179,21488,3887
180,4386,3869
181,40692,3855
182,22303,3830
183,7314,3723
184,159655,3687
185,1899,3601
186,121,3592
187,26920,3584
188,77423,3514
189,1500,3499
190,17226,3494
191,938,3437
192,15,3430
193,20806,3394
194,5,3312
195,655,3298
196,10213,3286
197,29741,3270
198,929,3268
199,315,3250
200,18803,3233
201,3967,3210
202,158899,3192
203,8909,3170
204,3565,3156
205,9220,3135
206,1301,3113
207,33112,3056
208,26947,3032
209,153938,3004
210,11022,2938
211,54672,2937
212,1295,2903
213,22392,2812
214,3495,2801
215,1099,2788
216,18,2740
217,71,2734
218,2511,2692
219,244521,2690
220,1634,2688
221,4148,2677
222,70323,2668
223,13714,2632
223,36799,2632
225,6249,2626
226,5217,2615
227,19841,2609
228,327,2576
229,65244,2553
230,3570,2544
231,255664,2511
232,147151,2510
233,96848,2508
234,173,2501
235,25213,2472
236,110327,2441
237,16991,2431
238,1568,2420
239,120677,2405
240,4378,2366
241,1038,2323
242,764,2288
243,1515,2277
244,209010,2264
245,46213,2247
246,20100,2237
247,16986,2207
248,15818,2183
249,107529,2160
250,174182,2143
251,13715,2131
252,10453,2116
253,12856,2112
254,715,2098
255,32441,2066
256,949,2064
257,823,2060
258,1117,2029
259,242,2019
260,11168,2018
261,3768,2017
262,11971,2016
263,2821,1991
264,361,1979
265,103885,1975
266,2795,1973
267,19967,1949
268,278,1948
269,6278,1947
270,1730,1935
271,12747,1874
272,1897,1869
273,29234,1863
274,10653,1860
275,4934,1831
276,244992,1829
277,115746,1826
278,146508,1823
279,3837,1812
280,1035,1792
281,21790,1788
282,5588,1786
283,8392,1783
284,1339,1762
285,120,1756
286,1604,1746
286,28143,1746
288,266083,1731
289,2653,1726
290,147020,1725
291,34585,1711
292,2635,1684
293,2294,1675
294,11229,1671
295,22847,1668
296,18602,1654
297,1275,1641
298,29223,1612
299,700,1607
300,54,1603
301,219215,1599
302,10,1591
303,40270,1586
304,41,1585
305,15162,1584
306,9206,1582
307,4102,1579
308,2125,1548
309,34635,1537
310,1501,1530
311,4862,1527
312,10630,1520
313,148949,1514
314,227,1508
315,33690,1498
316,175,1491
317,6862,1482
318,472,1476
319,9079,1474
319,205359,1474
321,6283,1468
322,5255,1459
323,93,1452
324,1915,1441
325,28805,1437
326,150376,1435
327,2471,1430
328,77130,1427
329,18723,1419
330,42,1412
331,568,1411
332,2633,1403
333,20281,1402
334,25613,1383
335,9385,1372
336,30,1363
337,1829,1362
338,289363,1344
339,16992,1343
340,3656,1337
340,102652,1337
342,2285,1330
343,72125,1326
344,1950,1318
345,3464,1314
346,339,1310
347,194655,1304
348,131260,1295
348,170216,1295
350,1475,1289
350,6275,1289
352,7,1283
353,22895,1261
354,50,1259
354,24396,1259
356,6535,1238
357,1589,1216
358,62871,1215
359,1768,1208
360,4888,1193
361,12692,1190
362,4779,1188
363,2557,1183
363,8964,1183
365,39271,1180
366,173090,1175
367,466,1173
368,382,1168
369,6366,1165
370,1563,1162
371,27588,1153
372,5322,1131
373,51,1125
374,110,1118
375,1860,1104
376,147859,1103
377,31481,1099
378,2129,1094
378,84876,1094
380,936,1092
381,10640,1081
382,28720,1078
383,427,1077
384,4052,1067
385,550,1060
386,15062,1053
387,88,1048
388,37111,1046
389,9354,1042
390,257,1040
391,2516,1037
391,9296,1037
393,789,1036
394,5195,1033
395,199,1031
396,1234,1030
397,3699,1020
398,116,1019
398,37589,1019
400,70919,1015
401,13308,1014
401,14808,1014
403,527,992
404,2816,987
405,36550,985
405,103886,985
407,17223,983
408,214,977
409,22827,967
410,1923,959
411,66056,953
411,100423,953
413,3825,949
414,2346,947
415,2596,937
416,16035,936
417,12942,925
418,6830,915
419,19679,913
420,5242,910
421,197831,895
422,224,892
422,3487,892
422,104006,892
425,269526,890
426,7450,889
427,7694,888
428,5454,885
429,5717,884
430,460,877
430,1302,877
432,798,870
433,118,864
433,2290,864
435,91312,861
436,855,857
436,9674,857
438,2750,853
439,1421,852
440,2238,851
441,2266,846
442,1499,844
443,8304,834
444,11182,833
444,24480,833
446,3633,828
447,3099,825
447,3655,825
447,14423,825
450,160477,824
451,156776,821
452,38545,820
453,11670,812
453,12168,812
455,987,811
456,15617,805
456,38453,805
458,21763,802
459,15512,800
460,53953,798
461,13657,790
462,2891,789
463,103,786
463,117959,786
465,2759,784
466,748,773
467,2060,772
468,97,764
469,19,763
470,9217,762
471,32674,759
472,187645,753
473,18254,752
474,221,741
475,8217,740
476,240,738
476,7854,738
478,14247,737
479,286,730
479,1513,730
481,3851,729
482,35677,728
482,156714,728
484,154880,726
485,17,724
486,9161,720
487,1962,719
488,105593,716
489,1149,712
489,6380,712
491,3988,711
492,66,709
493,25337,703
494,551,702
495,12,699
495,9138,699
497,128,698
498,421,696
499,24181,695
500,21241,690
501,196,688
502,321,686
503,136063,681
504,209685,680
505,99,677
506,20551,676
507,2607,672
508,100901,667
509,25433,666
510,11730,665
511,47185,659
512,5782,658
513,177,655
514,8863,650
515,815,646
516,18683,645
517,5034,642
518,69,638
519,2680,636
520,9379,635
521,475,633
522,6471,632
523,713,627
524,5168,623
525,2866,618
526,21523,614
527,6923,603
528,41916,601
529,172386,599
530,3377,598
531,176494,597
532,10383,595
533,256,593
533,2842,593
535,420,592
536,10884,591
537,66188,590
538,3,588
539,2767,584
540,2363,582
541,372,577
542,33643,569
543,826,567
544,230408,565
545,1190,564
545,1613,564
547,6929,561
547,209778,561
549,1197,558
549,33604,558
551,3616,556
551,39373,556
553,3312,554
554,3086,552
555,2956,551
555,31999,551
557,9010,550
558,8983,549
558,22469,549
560,2808,547
561,153004,546
562,1431,545
563,25988,539
564,7479,537
565,442,536
565,183251,536
567,21861,535
568,237,533
569,43022,532
570,18699,528
571,2639,526
572,29368,525
573,1836,524
573,2987,524
573,8196,524
573,12751,524
577,12005,523
578,31383,520
579,198994,519
580,520,518
581,6647,516
582,555,514
583,203195,513
584,2250,511
585,283,510
585,63875,510
587,2259,509
588,5404,506
589,22,505
589,335,505
589,5251,505
592,91,504
593,15045,503
594,3084,501
594,9246,501
596,1419,500
597,254,498
597,148261,498
599,2955,497
600,2115,493
601,17526,490
602,528,489
603,15182,488
604,586,486
605,12995,485
606,2770,478
607,2229,472
607,43443,472
609,2573,468
610,4390,467
610,20545,467
612,230,466
613,1943,461
614,1608,459
614,3931,459
616,4171,457
617,9160,455
618,2043,453
619,553,449
620,168,447
620,22825,447
622,4636,446
623,1032,445
