bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,103550,1,229,1,23,1,31,1,20,1,22,1,2426,1,25,1,26,1,24,1,392,1,38,1,23,1,25,1,,,46,1,541,1,75,1,136,1,265,1,26,1,41,2,340,1,23,1,290,1,22,1,19,1,31,1,722,1,19,1,45,1,472,1,4949,1,30,1,20,1,617,1,25,1,29201,2,44,1,12236,1,492,1,57,1,2234,3,1099,2,26,1,4222,1,,,29,1,21,1,29,1,15,1,18,1,56,1,85,1,16,1,,,1077,1,1822,1,25,1,420,1,19,1,17,1,1061,1,382,1,,,22,1,1328,2,18,1,16,1,28,1,86,1,3440,2,2661,4,19,1,26,1,25,2,538,1,348,1,93,1,399,3,21,1,,,42,1,42,1,22,1,25,1,14,1,23,1,278,2,281,1,19,1,20,1,3,2,89,1,102,1,123,1,697,1,276,2,21,1,25,1,16,1,23,1,19,1,17,1,1008,4,34,1,486,2,24,1,,,18,1,21,1,18,1,17,1,18,1,19,1,,,27,1,2429,2,33,1,18,1,4073,2,35,1,20,1,549,1,6148,2,24,1,19,1,23,1,20,1,19,1,27,1,26,1,19,1,128,2,47,1,363,1,240,1,,,426,1,345,3,,,20,2,863,1,34,1,,,220,1,,,99,1,1,1,533,1,47,1,86,1,1866,1,32,1,,,422,2,70,1,246,1,35,1,19,1,1636,1,,,20,1,,,29,1,,,16,1,21,1,20,1,18,1,21,1,,,2449,3
2398,89614,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,33,304,64,,,,,,,,,88306,1,3,33,125,56,,,,,,,20,50,,,373,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,53,,,,,,,,,,,,,,,,,,,,,,,,,41,53,,,,,,,,,,,,,186,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,55,,,,,,,,,,,,,,,,,,,8,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223,54946,3,,,,,,,,,,,420,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,12,,,,,,,643,3,,,,,212,5,1842,13,,,,,,,,,12149,6,,,4439,2,,,,,3297,1,1266,1,,,2999,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,3,,,,,212,8,,,,,,,,,5060,1,2570,5,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,486,1,,,,,,,,,,,17,3,,,,,46,4,,,,,,,,,,,,,684,12,,,820,1,,,,,,,,,,,,,,,,,,,,,3464,1,,,,,6617,1,,,,,,,2122,7,,,,,,,,,,,,,,,,,,,5,6,,,149,2,,,,,74,6,,,,,196,9,,,,,,,,,,,,,429,2,,,,,1521,2,,,,,324,3,,,,,,,,,530,3,,,,,,,,,,,3,10,,,,,,,,,,,2273,5
1406,47172,4,47,2,,,,,,,,,13,19,,,,,10,5,40,3,,,,,,,,,,,422,2,,,,,,,,,,,,,,,64,5,,,,,,,125,12,,,2,9,227,4,3139,8,,,,,597,2,,,20409,3,15,4,3189,3,103,4,6,6,360,6,569,4,,,2352,4,21,1,,,,,9,2,,,,,,,,,,,,,481,4,,,,,288,3,,,,,137,13,30,4,,,7,2,1964,1,,,,,,,9,5,1422,5,2226,6,,,11,2,9,4,,,,,,,,,,,,,,,8,2,,,,,,,,,68,4,12,10,,,,,,,,,,,,,,,42,5,,,,,,,,,,,,,1301,2,4,10,354,3,,,,,,,,,,,,,,,,,,,,,371,17,,,,,566,10,,,,,128,7,2155,6,,,,,,,,,,,6,4,3,3,,,297,1,,,36,12,70,4,,,,,235,4,,,,,448,4,,,,,,,,,,,,,,,,,,,559,5,,,,,108,7,4,3,,,,,,,115,9,,,,,,,5,4,,,4,6,,,,,,,4,2,,,1966,6
10816,38365,5,,,,,,,,,,,288,4,,,,,19,2,,,,,,,12,2,,,12,2,123,8,,,,,,,,,,,12,3,,,53,7,,,,,,,242,8,,,,,271,3,3186,6,,,,,70,8,,,11525,7,,,3079,4,67,5,,,875,5,361,6,,,2098,5,,,,,,,,,,,,,,,,,,,,,321,6,40,6,,,136,8,,,,,401,3,,,,,,,219,7,,,,,,,,,2025,3,1475,9,,,,,,,,,,,8,3,337,4,,,,,,,,,,,,,,,,,,,77,4,,,,,,,,,,,,,,,,,,,,,,,,,14,2,,,699,10,7,8,206,5,,,17,1,,,,,,,,,,,,,,,,,1389,3,,,,,1085,4,,,,,163,5,3203,5,,,,,,,,,,,,,,,,,37,5,,,53,10,,,,,,,57,7,,,,,542,3,,,,,,,,,13,3,,,,,,,15,2,730,3,,,,,120,5,,,,,,,,,275,6,,,,,,,10,2,,,12,2,,,,,,,,,,,2386,4
2397,33439,6,9,5,10,3,,,10,2,,,882,2,,,,,12,4,98,2,,,6,3,,,,,4,5,294,3,,,,,13,4,,,48,1,18,2,,,44,10,,,5,2,4,2,649,2,,,11,2,397,2,3806,4,,,,,348,4,,,11397,8,11,8,1572,9,16,14,19,2,2789,2,191,8,,,1592,9,,,,,2,4,,,,,,,12,3,,,,,,,612,3,,,7,2,157,7,,,,,266,5,103,2,,,7,3,27,14,,,,,3,5,12,3,897,10,1858,7,,,,,,,64,2,18,2,,,22,23,5,2,,,,,5,5,,,,,12,2,1,4,59,6,35,6,,,,,,,56,2,4,7,,,,,12,10,,,,,,,,,,,,,450,14,12,3,228,4,,,,,,,2,6,,,,,,,7,2,,,,,502,11,6,2,,,619,7,,,,,,,1427,11,,,,,,,,,,,8,3,,,,,40,4,,,61,9,27,9,,,,,93,5,,,,,314,6,7,3,,,9,5,,,,,,,80,8,,,6,4,299,7,,,,,85,11,4,4,,,,,4,2,84,10,22,1,,,,,6,3,,,1,12,,,,,,,4,3,,,521,14
2093,29810,7,,,,,,,,,,,72,11,,,,,,,13,4,,,,,,,,,,,49,10,,,,,9,5,5,4,,,,,,,18,25,6,2,,,,,74,17,,,,,55,18,1087,22,,,,,,,,,13628,4,12,6,887,20,,,,,64,15,78,25,,,918,16,,,,,,,,,8,2,,,,,,,6,2,,,71,23,17,7,,,44,12,,,,,68,18,5,6,,,,,87,10,,,,,,,,,658,16,4483,1,,,9,3,6,5,,,2,4,,,144,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,7,,,,,,,,,,,,,261,18,,,69,14,,,,,,,,,,,,,,,,,,,,,306,18,,,,,375,12,,,,,,,1584,10,,,,,5,2,,,,,,,,,,,,,,,39,11,13,14,,,,,,,15,1,,,129,16,,,6,2,,,,,,,,,305,3,,,,,262,9,,,,,58,12,,,,,,,,,441,4,,,,,,,,,,,3,9,,,,,,,,,12,1,3316,1
463,27603,8,,,8,4,,,,,,,,,,,,,,,9,6,,,,,,,,,,,30,13,,,,,,,,,6,4,,,,,35,13,,,,,,,273,7,,,,,71,15,2608,10,,,,,,,,,12399,5,1,49,1457,12,25,10,1,16,11,23,146,13,,,1204,14,,,,,,,,,,,,,,,,,,,,,102,18,,,,,23,14,,,,,64,21,,,,,,,41,12,,,,,,,,,951,9,2838,3,,,,,,,,,,,,,103,8,,,,,,,2,9,,,,,,,,,45,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,16,3,13,39,25,,,,,,,,,,,,,,,,,,,,,438,13,,,,,1102,3,,,,,,,1746,9,,,,,,,,,,,,,,,,,,,,,,,11,15,,,,,27,10,,,,,162,10,,,,,,,,,,,,,63,9,,,,,266,8,,,,,51,13,,,,,,,,,42,13,,,,,,,,,,,,,,,,,,,,,,,872,10
2181,21239,9,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,,195,5,,,,,,,,,,,,,,,16,27,,,,,,,166,9,,,,,130,9,1578,14,,,,,241,6,,,6444,14,7,15,1247,16,160,2,5,11,,,182,9,,,1561,10,,,,,,,,,,,,,,,,,,,,,241,8,,,,,60,11,,,,,227,6,,,,,,,418,4,,,,,,,8,7,710,15,1023,11,,,,,,,37,3,,,,,26,18,,,,,,,,,,,,,,,4,2,23,10,43,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698,11,12,2,202,6,,,,,,,,,,,,,,,,,,,,,1099,4,,,,,281,15,,,,,147,6,1825,8,,,,,,,,,,,6,5,,,,,23,6,,,70,6,22,10,,,,,21,11,12,2,,,652,2,,,,,,,,,,,,,106,6,,,,,121,10,,,,,100,8,24,2,,,,,,,,,,,,,,,,,,,7,4,,,,,,,,,,,1052,9
29351,19336,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,91,16,,,,,,,3158,7,,,,,,,,,3227,25,,,136,55,143,3,,,,,72,26,,,296,48,,,,,,,,,,,,,,,,,,,,,257,7,,,,,,,,,,,23,34,19,5,,,,,,,,,,,,,,,,,191,36,,,,,,,,,,,,,8,58,,,,,,,,,,,,,,,,,252,3,79,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,34,,,,,,,,,,,,,,,,,,,,,,,,,576,10,,,,,,,,,,,,,9341,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,33,,,,,,,,,,,,,,,,,,,,,,,,,813,1,,,,,,,,,393,5,,,,,,,,,,,,,,,,,,,,,,,69,50
