bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,126631,1,223,1,45,1,37,1,34,1,28,1,2922,1,22,1,37,1,39,1,541,1,38,1,31,1,32,1,,,48,1,645,2,73,1,56,1,396,1,43,1,74,1,435,1,30,1,346,1,36,1,32,1,57,1,956,2,30,1,75,1,774,1,5984,1,27,1,34,1,549,2,42,1,35348,1,81,1,13586,1,540,1,89,1,3458,3,1384,2,40,1,3960,1,,,33,1,39,1,37,1,32,1,36,1,80,1,118,1,30,1,,,1528,1,2547,1,28,1,488,1,30,1,26,1,1605,1,1391,1,24,1,1423,2,30,1,39,1,33,1,105,1,4071,2,5174,2,24,1,36,1,48,2,433,1,1015,1,95,1,558,2,26,1,,,63,1,68,1,66,1,24,1,28,1,30,1,347,2,335,1,25,1,31,1,,,139,1,157,1,87,1,2049,1,225,2,42,1,33,1,42,1,44,1,38,1,25,1,1433,3,49,1,638,2,22,1,,,42,1,27,2,28,1,28,1,26,1,30,1,,,36,1,3169,2,35,1,38,1,2332,2,31,1,39,1,492,1,7840,2,31,1,23,1,38,1,30,1,25,1,48,1,33,1,26,1,208,3,74,1,414,1,324,1,,,512,1,440,4,,,25,2,1016,2,47,1,,,279,1,,,432,1,1,1,773,1,71,1,283,1,474,2,35,1,,,558,2,72,1,299,1,45,1,21,1,1581,2,,,27,1,,,32,1,,,34,1,28,1,33,1,28,1,47,1,,,3492,7
2223,71214,2,,,,,,,,,,,541,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15,,,,,,,1307,1,,,,,338,3,2621,12,,,,,,,,,14636,4,,,4714,2,,,,,4064,1,1471,1,,,2583,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,4,,,127,8,,,,,,,,,7082,1,2631,6,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,609,1,,,,,,,,,,,17,4,,,,,91,3,,,,,,,,,,,,,649,12,,,770,1,,,,,,,,,,,,,,,,,,,,,5187,1,,,,,6248,1,,,,,,,4395,4,,,,,,,,,,,,,,,,,,,14,2,,,255,2,,,,,131,6,,,,,234,9,,,,,,,,,,,,,459,3,,,,,1049,1,,,,,470,3,,,,,,,,,944,5,,,,,,,,,,,1,10,,,,,,,,,,,7511,5
10816,63884,3,,,,,,,,,,,279,5,,,,,14,4,,,,,,,11,2,,,13,4,159,7,,,,,,,,,,,13,3,,,45,10,,,,,,,295,8,,,,,217,5,3827,5,,,,,84,8,,,14390,5,,,3523,4,85,4,,,802,5,368,7,,,2345,5,,,,,,,,,,,,,,,,,,,,,307,6,45,6,,,161,9,,,,,475,3,,,,,233,6,,,,,,,,,1780,4,3129,4,,,,,,,,,,,13,2,261,5,,,,,,,,,,,,,,,,,,,71,5,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,1643,2,12,7,298,4,,,14,1,,,,,,,,,,,,,,,,,1617,5,,,,,734,5,,,,,188,5,3629,6,,,,,,,,,,,,,,,,,28,6,,,93,7,,,,,,,65,9,,,,,552,4,,,,,,,,,9,4,,,,,,,13,4,70,8,,,,,129,10,,,,,,,,,1624,1,,,,,,,13,3,,,10,4,,,,,,,,,,,20188,1
2093,58246,4,,,,,,,,,,,84,11,,,,,,,13,5,,,,,,,,,,,39,13,,,,,9,5,15,2,,,,,,,24,23,6,2,,,,,112,20,,,,,61,19,1801,18,,,,,,,,,20484,2,9,10,1350,14,,,,,51,16,108,23,,,1396,12,,,,,,,,,20,2,,,,,,,4,2,,,92,23,13,7,,,40,13,,,,,172,14,5,7,,,112,10,,,,,,,,,853,13,5932,1,,,20,2,2,6,,,,,,,259,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,5,,,,,,,,,,,,,401,17,,,85,13,,,,,,,,,,,,,,,,,,,,,442,18,,,,,456,10,,,,,,,1616,11,,,,,4,2,,,,,,,,,,,,,,,57,11,20,12,,,,,,,14,1,,,263,8,,,9,2,,,,,,,,,401,4,,,,,78,7,,,,,65,14,,,,,,,,,1239,3,,,,,,,,,,,21,2,,,,,,,,,4,2,19936,2
1406,52120,5,41,2,,,,,,,,,34,15,,,,,15,2,42,3,,,,,,,,,,,944,1,,,,,,,,,,,,,,,72,3,,,,,,,258,10,,,51,2,232,4,3718,7,,,,,557,1,,,20010,3,20,3,4370,3,78,5,39,2,408,6,785,4,,,2491,4,45,1,,,,,11,2,,,,,,,,,,,,,553,4,,,,,425,3,,,,,178,13,47,3,16,2,2122,1,,,,,,,17,3,1580,5,2356,7,,,11,3,15,3,,,,,,,,,,,,,,,14,3,,,,,,,,,119,4,18,11,,,,,,,,,,,,,,,67,4,,,,,,,,,,,,,1357,4,17,3,303,3,,,,,,,39,1,,,,,,,,,,,,,655,13,,,,,354,12,,,,,162,7,3405,7,,,,,,,,,,,13,3,8,2,,,653,1,,,30,13,70,6,,,,,522,3,,,,,577,3,,,,,,,,,,,,,,,,,,,104,5,,,,,193,5,8,4,,,,,,,144,8,,,,,,,12,4,,,7,6,,,,,,,12,3,,,1716,10
2397,36396,6,14,3,13,2,,,13,2,,,908,2,,,,,14,3,154,2,,,14,2,,,,,14,3,385,4,,,,,15,4,,,20,2,24,2,,,57,7,,,8,2,10,2,321,6,,,15,3,571,2,3788,6,,,,,291,5,,,12629,6,13,5,1917,9,43,6,10,4,3497,2,230,9,,,1514,10,,,,,10,2,,,,,,,17,2,,,,,,,564,3,,,11,2,179,7,,,,,342,5,77,2,6,3,32,12,,,,,3,4,22,2,892,11,1759,9,,,,,,,101,2,35,2,,,60,15,7,2,,,,,15,2,,,,,6,2,7,2,93,6,52,6,,,,,,,79,2,6,7,,,,,12,8,,,,,,,,,,,,,429,16,14,4,246,5,,,,,,,5,6,,,,,,,4,2,,,,,755,9,9,2,,,458,9,,,,,,,1560,13,,,,,,,,,,,14,2,,,,,62,4,,,105,5,44,8,,,,,158,5,,,,,403,6,19,3,,,26,4,,,,,,,67,8,,,13,3,252,3,,,,,129,9,12,3,,,,,10,2,77,11,44,1,,,,,27,2,,,11,3,,,,,,,18,2,,,536,21
2181,30021,7,,,,,,,,,,,,,,,,,,,,,,,13,3,,,,,,,348,6,,,,,,,,,,,,,,,18,27,,,,,,,210,11,,,,,183,7,2025,15,,,,,337,4,,,8343,11,12,6,1092,18,166,2,12,3,,,483,5,,,1720,7,,,,,,,,,,,,,,,,,,,,,264,7,,,,,91,10,,,,,251,7,,,,,287,4,,,,,,,12,4,1074,6,1005,12,,,,,,,25,3,,,,,55,18,,,,,,,,,,,,,,,3,3,54,8,46,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921,8,12,6,195,6,,,,,,,,,,,,,,,,,,,,,1849,4,,,,,267,16,,,,,167,6,2597,8,,,,,,,,,,,4,5,,,,,28,5,,,113,4,54,7,,,,,31,10,9,2,,,1521,1,,,,,,,,,,,,,250,5,,,,,97,6,,,,,179,6,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3578,6
811,25922,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,9,,,,,,,17,41,,,,,,,1768,19,,,,,,,,,6001,18,7,13,2017,7,,,,,,,156,18,,,1431,11,,,,,,,,,,,,,9,4,,,,,,,551,5,,,,,,,,,,,213,9,,,,,,,,,,,,,,,83,81,370,26,,,,,,,,,,,,,452,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,1,,,26,29,,,,,,,,,,,,,,,,,,,,,677,12,,,,,760,4,,,,,264,2,354,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8742,3
463,24428,9,,,12,3,,,,,,,,,,,,,,,3,6,,,,,,,,,,,18,17,,,,,,,,,13,3,,,,,43,11,,,,,,,298,7,,,,,70,16,2003,17,,,,,,,,,11014,9,3,33,1110,17,18,14,2,11,29,18,134,21,,,1217,15,,,,,,,,,,,,,,,,,,,,,108,20,,,,,23,14,,,,,72,23,,,,,31,13,,,,,,,,,868,12,2688,5,,,,,,,,,,,,,109,10,,,,,,,4,8,,,,,,,,,33,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,19,4,11,40,23,,,,,,,,,,,,,,,,,,,,,364,20,,,,,884,3,,,,,,,1691,10,,,,,,,,,,,,,,,,,,,,,,,7,15,,,,,23,12,,,,,136,17,,,,,,,,,,,,,48,10,,,,,20,20,,,,,80,12,,,,,,,,,33,14,,,,,,,,,,,,,,,,,,,,,,,812,14
2162,24207,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,,,,,11,40,,,,,,,163,14,,,,,38,31,1410,22,,,,,,,,,11968,8,,,903,22,,,,,,,108,24,,,817,20,,,,,1,3,,,,,,,,,,,,,,,33,34,,,,,,,,,,,168,16,,,,,,,,,,,,,6,9,616,19,9,111,,,,,,,3,4,,,,,70,14,,,,,,,,,,,,,,,,,23,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,40,1,16,,,,,,,,,,,,,,,,,,,,,,,683,11,,,,,148,23,,,,,17,11,5740,3,,,,,,,,,,,,,,,,,3,10,,,,,7,17,,,,,30,11,,,,,85,24,,,,,,,,,,,,,,,,,,,33,14,,,,,107,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865,13
