bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,125863,1,223,1,79,1,50,1,158,1,63,1,3469,1,35,1,31,1,43,1,427,1,42,1,41,1,,,70,1,612,1,43,1,106,1,340,1,29,1,58,2,232,1,25,1,290,1,30,1,35,1,53,1,936,1,30,1,47,1,745,1,6551,1,41,1,33,1,740,1,,,30133,2,76,1,17032,1,640,1,111,1,1815,2,1064,1,49,1,4664,2,,,31,1,27,1,43,1,32,1,31,1,58,1,178,1,26,1,1322,1,1637,1,40,1,467,1,26,1,30,1,984,1,346,1,30,1,2061,1,26,1,38,1,44,1,138,1,4513,1,3318,3,25,1,37,1,42,2,449,1,755,1,77,1,385,3,32,1,,,58,1,80,1,37,1,39,1,29,1,315,3,386,1,38,1,,,110,1,78,1,106,1,1011,1,175,2,32,1,29,1,31,1,34,1,47,1,25,1,1316,2,59,1,751,1,,,23,1,45,1,19,1,29,1,34,1,29,1,,,2862,1,24,1,32,1,4230,1,34,1,470,1,10116,2,38,1,31,1,43,1,48,1,36,1,26,1,205,2,60,1,479,1,249,1,,,301,1,264,3,,,31,2,1297,1,42,1,,,212,1,,,62,1,1,1,722,1,46,1,358,1,4956,1,34,1,,,383,2,87,1,195,1,98,1,31,1,1455,1,,,37,1,,,43,1,,,39,1,39,1,52,1,61,1,,,2530,3
1406,60734,2,39,2,,,,,,,,,33,12,,,,,,,,,,,,,,,,,293,3,,,,,,,,,,,,,,,65,3,,,,,,,140,13,,,17,2,287,3,2866,8,,,,,625,2,,,32093,1,16,4,2719,4,48,5,13,3,423,6,585,4,,,4309,3,55,1,,,,,12,2,,,,,,,,,,,423,4,,,,,240,3,,,,,195,9,32,3,8,3,1942,2,,,,,,,16,4,1480,5,2559,5,,,17,3,17,3,,,,,,,,,,,,,,,18,3,,,,,,,70,6,,,,,,,,,,,,,,,36,5,,,,,,,,,,,,,1682,1,14,4,413,2,,,,,1,7,,,,,,,,,,,637,8,,,,,329,13,,,124,6,2775,6,,,,,,,15,2,12,2,,,281,1,,,22,13,41,7,,,,,297,2,,,,,683,3,,,,,,,,,,,,,,,,,,,254,10,,,,,130,4,,,,,,,,,117,5,,,,,,,17,2,,,,,,,,,15,3,,,1184,6
2223,41188,3,,,,,,,,,,,636,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,11,,,,,,,448,4,,,,,,,1399,16,,,,,,,,,12527,6,,,2860,2,,,,,1165,3,998,2,,,1811,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,4,,,178,8,,,,,,,,,3617,2,1897,8,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,477,1,,,,,,,,,8,7,,,,,66,3,,,,,,,,,,,,,437,13,,,404,3,,,,,,,,,,,,,,,,,1981,2,,,,,2402,2,,,,,2284,8,,,,,,,,,,,,,,,9,2,,,99,2,,,,,52,6,,,,,144,15,,,,,,,,,,,,,401,2,,,,,2522,2,,,,,291,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,4
29351,40004,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,11,,,,,,,,,5335,24,,,160,50,269,2,,,,,118,19,,,111,77,,,,,,,,,,,,,,,,,,,252,7,,,,,,,,,,,45,26,15,5,,,,,,,,,,,,,,,146,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,2,167,2,,,,,,,,,,,,,,,,,,,,,,,,,,,94,40,,,,,,,,,,,,,,,,,,,,,550,10,,,,,,,,,,,28195,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,38,,,,,,,,,,,,,,,,,,,,,,,,,1816,1,,,,,,,,,351,4,,,,,,,,,,,,,,,,,,,,,,
2397,37668,5,14,3,21,2,,,15,2,,,653,2,,,,,16,2,99,2,13,2,,,,,18,2,604,2,,,,,9,5,,,62,1,37,2,,,57,4,,,14,2,10,2,382,5,,,10,4,476,2,3425,5,,,,,323,5,,,14745,4,21,3,2041,8,31,7,19,2,2724,1,172,9,,,1640,8,,,,,11,2,,,,,,,17,2,,,,,662,2,,,17,2,158,5,,,,,299,3,36,2,12,2,26,14,,,,,12,2,18,2,776,9,1598,9,,,,,,,46,2,24,2,,,29,21,13,2,,,,,27,2,,,,,14,2,90,4,70,3,,,,,30,2,18,2,,,,,18,7,,,,,,,,,,,,,289,16,15,3,234,4,,,,,15,2,,,,,,,8,2,,,609,9,8,2,,,677,5,,,,,1227,13,,,,,,,14,3,,,,,37,6,,,83,5,57,5,,,,,96,4,,,,,409,5,11,3,,,12,6,,,,,,,81,7,,,15,4,1400,4,,,,,,,21,2,,,,,13,2,62,7,21,1,,,,,14,3,,,,,,,,,20,2,,,548,12
10816,37303,6,,,,,,,,,,,422,4,,,,,,,,,,,18,2,,,12,3,160,6,,,,,,,,,,,21,3,,,31,12,,,,,,,203,10,,,,,198,4,2367,10,,,,,50,9,,,15568,3,,,2538,5,71,4,,,428,5,276,6,,,1858,6,,,,,,,,,,,,,,,,,,,332,5,56,5,,,125,6,,,,,265,4,,,,,108,9,,,,,,,,,1275,6,2927,4,,,,,,,,,,,11,2,147,6,,,,,,,,,,,,,,,,,55,5,,,,,,,,,,,,,,,,,,,,,,,10,2,,,793,6,9,10,181,6,17,1,,,,,,,,,,,,,,,1078,4,,,,,603,9,,,147,4,3304,5,,,,,,,,,,,,,66,4,,,49,9,,,,,,,,,,,,,544,4,,,,,,,,,22,2,,,,,,,18,3,684,7,,,,,109,7,,,,,,,,,112,6,,,,,,,14,4,,,,,,,,,,,,,21,143
1294,29031,7,,,,,,,,,,,50,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,25,,,,,,,,,,,,,56,17,870,27,,,,,,,,,10598,10,5,23,785,21,,,,,,,116,21,,,11769,1,,,,,,,,,,,,,,,,,,,142,10,,,,,,,,,,,97,19,,,,,46,11,,,,,4,4,,,2417,3,,,,,,,,,,,,,,,19,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,514,12,,,46,23,,,,,2,6,,,,,,,,,,,61,43,,,,,,,,,,,770,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,16,,,,,,,,,,,,,,,,,,,41,25,,,,,15,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,16
2093,28268,8,,,,,,,,,,,59,10,,,,,,,15,3,,,,,,,,,36,11,,,,,15,4,11,2,,,,,,,26,20,12,2,,,,,158,12,,,,,56,18,915,25,,,,,,,,,12039,7,12,5,1229,15,,,,,32,14,61,30,,,820,17,,,,,,,,,18,2,,,,,,,10,2,51,25,12,7,,,51,12,,,,,63,24,7,6,,,81,10,,,,,,,,,572,18,4937,1,,,37,2,,,,,,,,,126,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,6,,,,,,,,,,,,,278,17,,,85,10,,,,,,,,,,,,,,,,,324,21,,,,,390,12,,,,,1740,11,,,,,9,2,,,,,,,,,,,34,12,13,13,,,,,,,13,1,,,162,13,,,8,2,,,,,,,,,286,3,,,,,66,21,,,,,44,13,,,,,,,,,500,3,,,,,,,,,,,19,2,,,,,,,16,1,2796,2
2162,26307,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,10,42,,,,,,,212,9,,,,,21,30,1591,15,,,,,,,,,10736,9,,,1,134,,,,,,,124,16,,,811,18,,,,,3,3,,,,,,,,,,,,,43,27,,,,,,,,,,,228,8,,,,,,,,,,,,,8,7,639,14,6,105,,,,,,,10,4,,,,,77,10,,,,,,,,,,,,,,,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,36,7,11,,,,,,,,,,,,,,,,,,,920,5,,,,,296,14,,,25,10,9351,3,,,,,,,,,,,,,11,8,,,,,10,16,,,,,,,,,,,99,18,,,,,,,,,,,,,,,,,,,68,20,,,,,101,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783,8
2181,23965,10,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,222,5,,,,,,,,,,,,,,,28,16,,,,,,,257,7,,,,,190,5,1601,14,,,,,255,6,,,7700,14,11,6,1479,9,105,3,8,8,,,176,8,,,1243,10,,,,,,,,,,,,,,,,,,,259,6,,,,,78,11,,,,,259,5,,,,,282,4,,,,,,,17,3,66,83,970,13,,,,,,,38,3,,,,,31,19,,,,,,,,,,,,,,,54,7,38,6,,,,,,,,,,,,,,,,,,,,,,,,,,,578,11,11,7,186,5,,,,,,,,,,,,,,,,,1629,3,,,,,291,15,,,133,5,2288,7,,,,,,,9,4,,,,,39,5,,,68,8,27,9,,,,,,,12,2,,,781,2,,,,,,,,,,,,,249,4,,,,,894,6,,,,,112,5,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263,5
