bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,110112,1,112,1,46,1,26,1,23,1,24,1,3078,1,21,1,29,1,26,1,42,2,24,1,348,1,44,1,25,1,31,2,,,43,1,515,1,200,1,179,1,574,1,56,1,42,1,238,1,25,1,187,1,25,1,17,1,33,1,805,2,25,1,48,1,412,2,6031,1,14,1,21,1,25,1,430,3,17,1,31637,1,54,1,11261,1,483,1,38,1,1809,3,1381,3,23,1,39,1,4383,2,,,28,1,23,1,35,1,31,1,12,1,24,1,44,1,201,1,19,1,,,1400,1,1228,1,107,1,316,3,25,1,26,1,1010,1,193,1,,,58,1,1391,2,20,1,14,1,24,1,77,1,5267,2,4273,3,13,1,24,1,37,1,328,1,150,1,145,1,340,2,25,1,109,1,34,1,70,1,49,1,20,1,20,1,22,1,240,1,163,1,19,1,22,1,20,2,93,1,214,1,71,1,868,1,242,2,27,1,47,1,21,1,31,1,37,1,9,1,1032,7,41,1,450,3,10,1,,,25,1,38,1,24,1,25,1,26,1,35,1,,,18,1,2615,2,29,1,14,1,4299,2,31,1,14,1,332,1,6275,2,21,1,19,1,32,1,14,1,59,1,18,2,27,1,19,1,95,3,101,1,293,1,217,3,,,199,1,257,3,,,26,1,1072,3,30,2,,,178,2,,,343,1,4,1,388,2,14,1,38,1,65,1,1008,3,35,1,,,299,3,156,1,218,1,38,1,20,1,2036,2,,,26,1,,,25,1,,,30,2,15,1,15,1,21,1,21,1,,,2962,2
2223,90072,2,,,,,,,,,,,1840,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,5,,,,,,,1285,1,,,,,350,3,2528,12,,,,,,,,,,,23804,3,,,6603,2,,,,,2943,2,2760,1,,,,,4104,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,3,,,,,248,7,,,,,,,,,8187,1,3159,6,,,,,13,3,,,,,,,,,,,,,,,,,,,,,,,,,160,3,,,,,,,,,,,17,5,,,,,167,3,,,,,,,,,,,,,1081,6,,,1010,1,,,,,,,,,,,,,,,,,,,,,5577,1,,,,,10800,1,,,,,,,2999,6,,,,,,,,,,,,,,,,,,,17,4,,,373,2,,,,,98,7,,,,,324,11,,,,,,,,,,,,,313,4,,,,,,,3894,1,,,,,431,2,,,,,,,,,2583,1,,,,,,,,,,,16,5,,,,,,,,,,,2237,5
1406,58217,3,53,2,,,,,,,,,7,26,,,,,,,27,3,,,51,3,,,,,,,,,,,214,3,,,,,,,,,,,,,,,54,7,,,,,,,136,14,,,17,2,293,4,3368,8,,,,,,,360,4,,,25249,2,13,4,3691,4,81,4,13,3,476,6,1391,2,,,,,3047,4,47,1,,,,,11,2,,,,,,,,,,,,,,,861,4,,,,,363,2,,,,,171,11,64,4,,,8,3,3644,1,,,,,,,14,4,1386,5,2318,9,,,10,3,17,2,,,,,,,69,13,,,,,,,10,5,,,,,,,,,66,5,29,7,,,,,,,,,,,,,,,86,5,,,,,,,,,,,,,1707,2,11,9,478,2,,,,,,,38,2,,,,,,,,,,,,,468,13,,,,,553,11,,,,,116,6,3573,5,,,,,,,,,,,14,4,9,3,,,502,1,,,33,12,52,8,,,,,205,4,,,,,786,4,,,,,,,,,,,,,,,,,,,,,245,6,,,,,150,8,13,4,,,,,,,313,9,,,,,,,9,4,,,12,6,,,,,,,13,3,,,1202,10
10816,50169,4,,,,,,,,,,,386,7,,,,,,,62,1,,,,,,,,,44,1,,,25,2,137,6,,,,,,,,,,,26,2,,,66,4,,,,,,,364,5,,,,,199,7,3517,6,,,,,,,77,7,,,17788,5,,,5084,3,73,5,,,488,5,433,7,,,,,2348,6,,,,,,,,,,,,,,,,,,,,,,,289,6,43,6,,,189,5,,,,,424,4,,,,,,,626,3,,,,,,,,,1893,4,2143,11,,,,,,,,,,,29,2,160,8,,,,,,,,,,,,,,,,,,,65,3,,,,,,,,,,,,,,,,,,,,,,,,,25,2,,,965,9,31,2,310,5,,,24,1,,,,,,,,,,,,,,,,,1527,3,,,,,2497,3,,,,,174,3,3817,4,,,,,,,,,,,,,,,,,42,5,,,101,5,,,,,,,111,6,,,,,574,7,,,,,,,,,,,,,,,,,,,28,2,180,7,,,,,185,7,,,,,,,,,482,7,,,,,,,19,2,,,32,1,,,,,,,,,,,2067,6
2397,47318,5,20,3,21,2,,,13,2,,,1348,3,,,,,,,15,5,,,192,2,,,10,3,,,,,14,4,446,2,,,,,33,5,,,24,2,19,3,,,59,6,,,16,2,18,2,310,7,,,14,4,820,1,4614,3,,,,,,,453,2,,,18350,4,16,3,3153,5,28,10,17,2,3043,1,342,9,,,,,1639,10,,,,,11,3,,,,,,,,,16,2,,,,,,,1030,2,,,12,2,170,7,,,,,319,6,95,2,,,9,2,38,12,,,,,14,2,37,2,1100,6,2725,7,,,,,,,107,2,32,2,,,40,22,16,2,,,,,18,3,,,,,9,6,7,3,52,7,60,4,,,,,,,92,2,10,7,,,,,22,8,,,,,,,,,,,,,565,13,13,7,313,4,,,,,,,19,3,,,,,,,10,2,,,,,505,12,10,2,,,729,7,,,,,,,1561,9,,,,,,,,,,,7,6,,,,,61,4,,,72,8,60,6,,,,,126,5,,,,,737,5,17,3,,,35,4,,,,,,,63,8,,,,,12,3,512,5,,,,,110,10,21,3,,,,,16,2,118,12,16,1,,,,,10,3,,,12,7,,,,,,,17,2,,,483,18
2093,34747,6,,,,,,,,,,,84,15,,,,,,,,,,,18,4,,,,,,,,,,,47,12,,,,,15,6,11,2,,,,,,,45,10,12,2,,,,,102,18,,,,,61,20,1363,22,,,,,,,,,,,14967,6,11,6,1561,13,,,,,70,15,137,29,,,,,859,21,,,,,,,,,15,2,,,,,,,,,7,2,,,80,25,12,7,,,52,12,,,,,95,18,12,7,,,,,112,10,,,,,,,,,543,18,6608,1,,,18,2,11,4,,,10,4,,,198,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,6,,,,,,,,,,,,,417,20,,,51,23,,,,,,,,,,,,,,,,,,,,,383,17,,,,,696,10,,,,,,,1281,12,,,,,11,2,,,,,,,,,,,,,,,53,11,24,12,,,,,,,9,2,,,238,14,,,8,2,,,,,,,,,321,3,,,,,,,80,13,,,,,68,11,,,,,,,,,595,4,,,,,,,,,,,18,4,,,,,,,,,8,1,3302,1
2162,26394,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,,,,,17,31,,,,,,,130,15,,,,,25,36,1661,16,,,,,,,,,,,14349,7,,,849,25,,,,,,,156,27,,,,,1032,15,,,,,7,5,,,,,,,,,,,,,,,,,26,43,,,,,,,,,,,168,12,,,,,,,15,17,,,,,,,11,6,571,17,286,35,,,,,,,10,4,,,,,63,15,,,,,,,,,,,,,,,,,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,42,8,13,,,,,,,,,,,,,,,,,,,,,,,582,10,,,,,289,17,,,,,9,13,4252,3,,,,,,,,,,,,,,,,,13,8,,,,,13,16,,,,,16,16,,,,,192,17,,,,,,,,,,,,,,,,,,,,,54,15,,,,,118,9,,,,,,,,,93,13,,,,,,,,,,,,,,,,,,,,,,,1212,9
2243,25907,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,13,,,,,,,,,,,,,,,5,66,,,,,,,,,,,,,,,5003,2,,,,,,,,,,,9369,15,,,,,,,,,,,,,,,,,1650,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,9,,,,,161,13,,,,,,,,,,,,,,,,,617,16,3415,5,,,,,,,,,,,,,25,32,,,,,,,,,,,,,,,,,64,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313,3,,,,,,,,,,,8,6,,,,,,,,,,,,,1323,5,,,,,735,6,,,,,28,9,852,16,,,,,,,,,,,8,5,,,,,,,,,,,426,1,,,,,569,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,28
25821,24537,9,,,,,,,,,,,521,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3852,5,,,,,,,,,,,1337,86,6,22,1699,11,,,,,,,,,,,,,8827,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4101,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,6,,,,,,,,,,,,,,,,,,,,,,,1641,7
2181,23991,10,,,,,,,,,,,148,10,,,,,,,,,,,,,,,18,2,,,,,,,166,5,,,,,,,,,,,,,,,25,19,,,,,,,129,16,,,,,103,11,1459,21,,,,,,,240,5,,,7022,20,22,2,1458,17,443,2,10,6,,,305,11,,,,,1003,17,,,,,,,,,,,,,,,,,,,,,,,265,7,,,,,92,10,,,,,247,7,,,,,,,259,5,,,,,,,21,3,925,9,980,17,,,,,,,59,3,,,,,30,29,,,,,,,,,,,,,,,10,2,48,9,49,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,14,26,3,166,7,,,,,,,,,,,,,,,,,,,,,1368,4,,,,,291,16,,,,,152,4,2107,8,,,,,,,,,,,17,3,,,,,29,6,,,71,9,46,9,,,,,52,11,42,1,,,1596,1,,,,,,,,,,,,,195,5,,,,,,,174,8,,,,,201,5,33,2,,,,,,,,,,,,,,,,,,,23,3,,,,,,,,,,,1344,8
