,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,112165,232,1,33,1,42,1,23,1,32,1,3042,2,24,1,21,1,25,1,419,1,20,1,27,1,20,1,,,50,1,510,1,197,1,154,1,435,1,25,1,24,1,313,1,25,1,294,1,32,1,15,1,23,1,825,2,15,1,54,1,359,2,5349,1,24,1,21,1,26,1,546,3,17,1,30262,1,37,1,13122,1,716,1,82,1,2017,3,1281,2,18,1,32,1,4070,3,,,24,1,23,1,30,1,23,1,20,1,18,1,37,1,121,1,16,1,,,1435,1,1537,1,137,1,436,1,23,1,15,1,1092,1,211,1,,,29,1,1559,2,11,1,25,1,33,1,101,1,4816,2,3004,5,18,1,29,1,19,2,351,1,488,1,219,1,347,4,18,1,,,60,1,47,1,24,1,19,1,27,1,31,1,369,1,335,1,18,1,10,1,19,2,136,1,152,1,111,1,1992,1,192,2,21,1,44,1,22,1,26,1,54,1,17,1,981,6,26,3,459,2,14,1,,,17,1,13,3,22,1,23,1,12,1,23,1,,,28,1,2763,2,32,1,20,1,4338,2,19,1,26,1,429,1,6130,2,24,1,20,1,27,1,23,1,10,1,26,1,18,1,20,1,169,2,113,1,889,1,199,1,,,409,1,412,3,,,26,2,932,2,39,2,,,208,1,,,420,1,1,1,477,2,66,1,183,1,1413,2,17,1,,,929,1,82,1,250,1,47,1,14,2,1692,1,,,13,1,,,22,1,,,45,1,20,1,22,1,21,1,14,1,,,2557,5
1,2,2223,71712,,,,,,,,,,,1388,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,4,,,,,,,1123,1,,,,,182,5,2167,12,,,,,,,,,,,14537,3,,,5013,2,,,,,4801,1,2026,1,,,,,4380,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,4,,,,,243,8,,,,,,,,,7311,1,4777,3,,,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,189,3,,,,,,,,,,,24,3,,,,,102,4,,,,,,,,,,,,,804,8,,,870,1,,,,,,,,,,,,,,,,,,,,,4600,1,,,,,6721,1,,,,,,,3639,7,,,,,,,,,,,,,,,,,,,10,4,,,192,2,,,,,114,6,,,,,260,10,,,,,,,,,,,,,373,4,,,,,1434,1,,,,,339,4,,,,,,,,,1640,2,,,,,,,,,,,7,6,,,,,,,,,,,2303,6
2,3,1406,50140,21,2,,,,,,,,,12,21,,,,,7,5,79,3,,,,,,,,,,,268,4,,,,,,,,,,,,,,,66,3,,,,,,,182,11,,,6,4,245,3,3050,8,,,,,,,848,1,,,18091,2,15,3,2936,4,58,6,16,2,508,6,1042,3,,,,,3066,4,42,1,,,,,5,3,,,,,,,,,,,,,,,583,4,,,,,391,3,,,,,153,12,70,3,,,9,3,1682,1,,,,,,,10,6,2177,6,3965,4,,,18,2,11,4,,,,,,,125,9,,,,,,,6,5,,,,,,,,,75,4,31,9,,,,,,,,,,,,,,,86,5,,,,,,,,,,,,,1317,2,4,15,322,3,,,,,,,47,1,,,,,,,,,,,,,649,11,,,,,595,8,,,,,133,7,4262,4,,,,,,,,,,,15,2,7,2,,,602,1,,,40,12,41,7,,,,,235,4,,,,,413,4,,,,,,,,,,,,,,,,,,,147,10,,,,,175,5,6,4,,,,,,,225,8,,,,,,,6,4,,,5,7,,,,,,,9,3,,,930,11
3,4,2397,40062,18,3,19,2,,,19,2,,,4225,1,,,,,19,2,113,2,,,14,2,,,,,15,2,390,2,,,,,27,6,,,19,2,19,2,,,48,6,,,14,2,15,2,342,7,,,8,3,419,1,3566,5,,,,,,,355,4,,,12416,4,32,2,1736,8,51,7,8,3,4082,2,274,8,,,,,1518,12,,,,,12,2,,,,,,,,,16,2,,,,,,,656,2,,,19,2,148,8,,,,,312,4,91,2,,,26,2,35,13,,,,,22,2,28,2,1069,14,1555,10,,,,,,,76,2,22,2,,,33,23,18,2,,,,,13,3,,,,,21,2,13,3,74,7,75,4,,,,,,,74,2,11,5,,,,,11,9,,,,,,,,,,,,,511,15,40,1,274,4,,,,,,,17,2,,,,,,,11,2,,,,,635,13,13,2,,,582,9,,,,,,,1632,10,,,,,,,,,,,10,5,,,,,50,4,,,94,7,29,8,,,,,210,5,,,,,385,5,9,3,,,25,4,,,,,,,59,7,,,9,4,432,5,,,,,94,10,16,3,,,,,15,1,121,10,27,1,,,,,10,3,,,15,2,,,,,,,13,2,,,513,14
4,5,10816,39559,,,,,,,,,,,330,6,,,,,10,4,,,,,,,14,2,,,14,4,105,9,,,,,,,,,,,15,3,,,32,13,,,,,,,405,5,,,,,159,7,3405,7,,,,,,,91,8,,,11135,7,,,3607,3,75,4,,,819,5,365,6,,,,,1839,9,,,,,,,,,,,,,,,,,,,,,,,405,6,54,6,,,148,9,,,,,398,3,,,,,,,353,5,,,,,,,,,2294,5,1999,8,,,,,,,,,,,20,3,169,6,,,,,,,,,,,,,,,,,,,66,5,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,640,13,14,6,246,5,,,14,1,,,,,,,,,,,,,,,,,1399,3,,,,,1337,3,,,,,131,8,3657,6,,,,,,,,,,,,,,,,,12,6,,,99,6,,,,,,,67,7,,,,,446,3,,,,,,,,,,,,,,,,,13,3,332,6,,,,,161,6,,,,,,,,,443,7,,,,,,,12,2,,,15,3,,,,,,,,,,,2185,7
5,6,2093,30437,,,,,,,,,,,84,11,,,,,,,16,4,,,,,,,,,,,34,13,,,,,53,5,8,2,,,,,,,22,19,7,2,,,,,92,21,,,,,67,13,1117,23,,,,,,,,,,,11984,5,11,7,1298,15,,,,,74,14,124,26,,,,,948,17,,,,,,,,,13,2,,,,,,,,,6,2,,,78,21,9,7,,,114,11,,,,,90,17,9,7,,,,,88,11,,,,,,,,,656,22,5008,2,,,17,3,7,6,,,3,4,,,161,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,7,,,,,,,,,,,,,342,18,,,44,23,,,,,,,,,,,,,,,,,,,,,313,20,,,,,485,10,,,,,,,1404,11,,,,,8,2,,,,,,,,,,,,,,,42,11,6,17,,,,,,,19,2,,,166,18,,,7,2,,,,,,,,,334,5,,,,,78,13,,,,,80,11,,,,,,,,,667,4,,,,,,,,,,,5,8,,,,,,,,,7,1,4205,1
6,7,2181,23363,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,264,5,,,,,,,,,,,,,,,19,21,,,,,,,121,16,,,,,146,8,1638,18,,,,,,,273,6,,,6925,14,8,15,1393,12,138,2,5,7,,,240,10,,,,,1325,14,,,,,,,,,,,,,,,,,,,,,,,210,8,,,,,161,6,,,,,268,7,,,,,,,291,6,,,,,,,16,4,778,18,830,14,,,,,,,51,3,,,,,36,22,,,,,,,,,,,,,,,13,2,57,8,84,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699,9,14,4,163,6,,,,,,,,,,,,,,,,,,,,,1397,4,,,,,289,18,,,,,162,5,1853,9,,,,,,,,,,,10,3,,,,,19,5,,,66,10,24,10,,,,,47,10,25,1,,,1197,1,,,,,,,,,,,,,119,6,,,,,207,8,,,,,160,7,16,2,,,,,,,,,,,,,,,,,,,9,5,,,,,,,,,,,1588,8
7,8,2162,23125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,,,,,19,20,,,,,,,150,13,,,,,29,27,1513,21,,,,,,,,,,,11375,6,,,701,23,,,,,,,142,21,,,,,848,19,,,,,7,4,,,,,,,,,,,,,,,,,28,35,,,,,,,,,,,180,10,,,,,,,14,17,,,,,,,8,8,527,26,219,37,,,,,,,8,4,,,,,47,18,,,,,,,,,,,,,,,,,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,43,6,12,,,,,,,,,,,,,,,,,,,,,,,439,16,,,,,181,23,,,,,21,11,4693,3,,,,,,,,,,,,,,,,,8,8,,,,,10,14,,,,,35,11,,,,,131,20,,,,,,,,,,,,,,,,,,,44,21,,,,,112,9,,,,,,,,,14,24,,,,,,,,,,,,,,,,,,,,,,,1470,9
8,9,463,22934,7,7,10,3,,,,,,,,,,,,,,,13,5,,,,,,,,,,,22,16,,,,,,,,,11,5,,,,,45,7,,,,,,,265,8,,,,,61,15,1983,13,,,,,,,,,,,10716,8,6,34,1070,19,24,13,3,11,21,20,131,22,,,,,1149,15,,,,,,,,,,,,,,,,,,,,,,,118,12,,,,,22,14,,,,,60,23,,,,,,,36,12,,,,,,,,,929,16,2139,7,,,,,,,,,,,,,40,19,,,,,,,2,8,,,,,,,,,44,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,24,2,17,45,22,,,,,,,,,,,,,,,,,,,,,307,22,,,,,889,5,,,,,,,1256,14,,,,,,,,,,,,,,,,,,,,,,,6,16,,,,,14,16,,,,,121,21,,,,,,,,,,,,,53,10,,,,,63,17,,,,,47,15,,,,,,,,,35,17,,,,,,,,,,,,,,,,,,,,,,,934,10
9,10,29351,22569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,146,14,,,,,,,2956,9,,,,,,,,,,,3285,31,,,166,51,112,3,,,,,130,24,,,,,282,52,,,,,,,,,,,,,,,,,,,,,,,249,7,,,,,,,,,,,52,24,16,6,,,,,,,,,,,,,,,,,144,50,,,,,,,,,,,,,10,63,,,,,,,,,,,,,,,,,216,2,87,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,36,,,,,,,,,,,,,,,,,,,,,,,,,730,8,,,,,,,,,,,,,12416,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,46,,,,,,,,,,,,,,,,,,,,,,,,,734,2,,,,,,,,,596,5,,,,,,,,,,,,,,,,,,,,,,,55,58
