bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,110831,1,192,1,46,1,24,1,,,44,1,4376,1,34,1,41,1,34,1,257,1,22,1,17,1,74,1,476,2,23,1,130,1,208,1,15,1,44,1,149,1,23,1,441,1,28,1,31,1,23,1,658,1,26,1,41,1,501,1,4916,1,16,1,38,1,356,2,,,29759,1,73,1,17594,1,300,1,64,1,1946,2,979,1,30,1,4259,2,,,17,1,20,1,24,1,16,1,9,1,62,1,123,1,27,1,1233,1,903,1,38,1,356,1,13,1,18,1,1027,1,96,1,49,1,2422,1,22,1,17,1,26,1,66,1,4209,2,3489,3,23,1,23,1,40,1,198,1,147,1,50,1,588,3,14,1,23,1,61,1,26,1,25,1,21,1,241,3,246,1,24,1,,,93,1,28,1,25,1,174,1,130,2,22,1,18,1,13,1,20,1,18,1,28,1,1049,3,27,2,409,1,,,16,2,36,1,19,1,23,1,,,2029,1,20,1,45,1,3837,1,18,1,418,1,6984,3,26,1,25,1,19,1,25,1,25,1,19,1,132,2,37,1,351,1,146,1,,,267,1,234,2,,,24,2,1000,1,21,1,,,95,1,49,1,626,1,27,1,155,1,2547,1,56,1,,,572,2,47,1,90,1,236,1,24,1,1392,1,,,24,1,,,55,1,,,29,2,18,1,13,1,17,1,,,2569,1
2223,43108,2,,,,,,,,,,,978,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,12,,,,,,,308,3,,,,,,,1395,17,,,,,,,,,12594,10,,,5399,2,,,,,,,560,2,,,1859,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2,,,155,9,,,,,,,,,4430,1,2194,5,,,,,11,5,,,,,,,,,,,,,,,,,,,,,364,1,,,,,,,,,10,3,,,,,43,5,,,,,,,,,,,,,450,13,,,268,2,,,,,,,,,,,,,1506,2,,,,,2307,2,,,,,3777,6,,,,,,,,,,,,,,,9,2,,,69,2,,,,,26,5,,,,,135,11,,,,,,,,,190,4,,,,,1316,3,,,,,305,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2402,3
10816,38115,3,,,,,,,,,,,369,4,,,,,,,,,,,,,7,3,108,7,,,,,,,,,,,12,3,,,27,10,,,,,,,212,6,,,,,213,3,3256,5,,,,,29,8,,,15662,4,,,2951,4,47,4,,,227,4,15,64,,,1607,6,,,,,,,,,,,,,,,,,,,235,5,11,6,,,96,6,,,,,182,8,,,,,168,8,,,,,,,,,1322,5,2379,4,,,,,,,,,,,4,3,230,8,,,,,,,,,,,,,,,27,5,,,,,,,,,,,,,,,,,,,,,,,2,2,,,637,8,11,6,139,5,10,1,,,,,,,,,,,856,5,,,,,764,5,,,75,5,4871,4,,,,,,,,,,,,,46,3,,,48,6,,,,,,,,,,,,,533,3,,,,,,,6,4,,,,,11,2,446,7,,,,,113,6,,,,,,,,,123,6,,,,,,,3,4,,,,,,,,,,,,,25,74
1406,36642,4,8,3,,,,,,,,,36,10,,,,,,,,,,,,,,,182,4,,,,,,,,,,,,,,,41,7,,,,,,,91,12,,,18,2,245,2,2266,11,,,,,300,3,,,15795,3,26,3,2717,5,25,5,10,4,189,5,13,66,,,2700,4,4,1,,,,,8,3,,,,,,,,,,,361,3,,,,,141,4,,,,,145,9,17,3,11,2,1646,2,,,,,,,12,6,1352,4,2009,7,,,8,3,14,4,,,,,,,,,,,,,10,7,,,,,,,33,7,,,,,,,,,,,,,,,34,6,,,,,,,,,,,,,936,5,8,8,181,4,,,76,1,,,,,,,,,323,14,,,,,290,14,,,42,7,2027,7,,,,,,,3,7,9,3,,,141,1,,,19,12,18,8,,,,,180,3,,,,,388,5,,,,,,,,,,,,,,,181,11,,,,,73,8,,,,,,,,,159,5,,,,,,,4,3,,,,,,,,,3,3,,,1114,6
2162,33311,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,,9,31,,,,,,,194,7,,,,,17,40,2134,12,,,,,,,,,13715,7,,,1,129,,,,,,,92,16,,,1458,7,,,,,6,2,,,,,,,,,,,,,23,34,,,,,,,,,,,240,3,,,,,,,,,,,,,16,4,815,8,4,99,,,,,,,7,4,,,,,248,7,,,,,,,,,,,,,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,28,4,15,,,,,,,,,,,,,,,893,4,,,,,176,23,,,12,11,11817,2,,,,,,,,,,,,,6,7,,,,,11,13,,,,,,,,,,,117,15,,,,,,,,,,,,,,,76,17,,,,,123,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,8
2397,32956,6,6,4,7,3,,,16,1,,,505,3,,,,,11,2,79,2,,,,,8,2,617,1,,,,,,,,,26,3,32,2,,,43,6,,,13,2,2,2,181,8,,,15,3,148,5,4301,3,,,,,269,4,,,13171,9,10,9,1742,9,12,11,8,5,1971,1,147,9,,,1332,11,,,,,4,3,,,,,,,13,2,,,,,659,2,,,12,2,115,5,,,,,223,5,7,5,8,3,32,12,,,,,11,2,11,8,652,13,1447,9,,,,,,,40,2,24,2,,,29,27,7,2,,,18,2,,,,,7,3,54,5,35,4,,,,,24,2,4,7,,,,,6,8,,,,,,,,,,,,,276,19,7,10,239,3,,,7,4,,,,,2,2,,,473,9,5,2,,,632,7,,,,,1106,12,,,,,,,6,3,,,,,33,4,,,38,9,58,3,,,,,53,4,,,,,363,6,2,3,,,8,5,,,38,7,,,2,4,1070,5,,,,,,,7,3,,,,,8,2,39,10,10,1,,,,,24,2,,,,,,,,,4,2,,,332,16
5894,25498,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,28,,,,,,,,,,,,,,,390,46,,,,,,,,,22051,2,,,419,26,,,,,,,38,34,,,314,42,,,,,,,,,,,,,,,,,,,84,15,,,,,,,,,,,,,,,,,,,,,,,,,,,306,31,529,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,43,,,,,,,,,,,,,,,,,,,,,,,255,17,,,,,907,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,18,,,,,46,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,25039,8,,,10,2,,,,,,,,,,,,,,,,,,,,,,,25,13,,,,,,,,,7,5,,,,,16,22,,,,,,,242,5,,,,,60,15,2105,13,,,,,,,,,14652,6,,,,,9,13,,,,,112,11,,,,,,,,,,,,,,,,,,,,,,,72,19,,,,,26,13,,,,,75,19,,,,,29,13,,,,,,,,,859,7,2184,6,,,,,,,,,,,,,58,15,,,,,,,,,,,,,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318,17,5,14,61,9,,,,,,,,,,,,,491,8,,,,,856,4,,,,,1942,8,,,,,,,,,,,,,,,,,,,11,12,,,,,21,7,,,,,132,12,,,,,,,,,35,9,,,,,84,15,,,,,35,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,12
2093,24874,9,,,,,,,,,,,32,12,,,,,,,13,3,,,,,,,26,12,,,,,10,4,7,2,,,,,,,22,15,8,2,,,,,83,13,,,,,57,16,785,25,,,,,,,,,10402,11,21,4,1716,10,,,,,44,11,87,19,,,654,20,,,,,,,,,6,2,,,,,,,,,40,27,9,7,,,13,14,,,,,54,23,,,,,70,10,,,,,,,,,420,24,4832,1,,,16,2,,,,,5,3,,,303,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,3,,,,,,,,,,,,,166,24,,,28,24,,,,,,,,,,,,,256,17,,,,,264,16,,,,,1292,11,,,,,8,2,,,,,,,,,,,30,11,4,17,,,,,,,14,2,,,132,13,,,,,,,,,207,3,,,,,45,19,,,,,26,14,,,,,,,,,365,4,,,,,,,,,,,39,1,,,,,,,11,1,2167,4
29351,22522,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1564,14,,,,,,,,,5087,24,,,111,57,79,2,,,,,64,27,,,121,75,,,,,,,,,,,,,,,,,,,170,8,,,,,,,,,,,17,37,10,4,,,,,,,,,,,,,,,63,54,,,,,,,,,,,,,,,,,,,,,,,,,,,280,2,63,2,,,,,,,,,,,,,,,,,,,,,,,,,,,55,52,,,,,,,,,,,,,,,,,358,12,,,,,,,,,,,12923,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,39,,,,,,,,,,,,,,,,,,,,,1158,1,,,,,,,,,366,3,,,,,,,,,,,,,,,,,,,,,,
