,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,116259,127,1,50,1,41,1,31,1,21,1,3028,1,29,1,36,1,37,1,45,2,30,1,351,1,32,1,40,1,30,2,,,34,2,515,1,134,1,236,1,656,1,59,1,45,1,227,1,35,1,191,1,31,1,22,1,38,1,665,2,25,1,47,1,351,2,6230,1,28,1,21,1,50,1,510,2,19,1,35075,1,88,1,13021,1,437,1,59,1,1750,3,1443,2,49,1,31,1,4020,2,,,29,1,34,1,34,1,23,1,18,1,32,1,42,1,161,1,25,1,,,2149,1,1429,1,167,1,341,2,29,1,28,1,1103,1,178,1,,,99,1,1649,2,21,1,34,1,32,1,68,1,3187,2,3910,5,21,1,22,1,34,1,396,1,237,1,160,1,333,2,23,1,,,43,1,72,1,44,1,16,1,20,1,28,1,277,1,161,1,19,1,22,1,26,1,86,1,137,1,70,1,882,1,314,2,30,1,61,1,34,1,37,1,35,1,23,1,964,5,31,2,388,2,16,1,,,30,1,31,2,34,1,32,1,26,1,25,1,,,29,1,2652,2,32,1,15,1,5278,2,38,1,18,1,327,1,6892,2,32,1,36,1,34,1,20,1,32,1,40,1,36,1,29,1,112,3,107,1,305,1,167,3,,,224,1,274,3,,,21,1,978,2,49,2,,,178,1,,,339,1,3,1,420,2,17,1,35,1,88,1,940,4,38,1,,,319,3,105,1,476,1,44,1,37,1,1844,1,,,32,1,,,29,1,,,44,1,11,1,27,1,16,1,44,1,,,3264,3
1,2,2223,85841,,,,,,,,,,,1827,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,12,,,,,,,1055,1,,,,,212,5,2421,11,,,,,,,,,,,22464,2,,,6686,2,,,,,3227,1,2042,1,,,,,3944,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,3,,,,,221,7,,,,,,,,,7673,1,3779,6,,,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,132,3,,,,,,,,,,,31,4,,,,,122,3,,,,,,,,,,,,,913,6,,,620,1,,,,,,,,,,,,,,,,,,,,,4549,1,,,,,10925,1,,,,,,,2940,6,,,,,,,,,,,,,,,,,,,20,3,,,292,2,,,,,93,6,,,,,268,9,,,,,,,,,,,,,321,4,,,,,,,4119,1,,,,,377,2,,,,,,,,,1700,2,,,,,,,,,,,9,9,,,,,,,,,,,2721,4
2,3,1406,53595,45,2,,,,,,,,,7,24,,,,,,,27,3,,,96,3,,,,,,,,,,,215,3,,,,,,,,,,,,,,,56,7,,,,,,,134,13,,,25,2,218,3,2604,10,,,,,,,369,4,,,21939,3,15,6,3931,4,63,5,17,3,511,6,809,3,,,,,2851,5,59,1,,,,,13,3,,,,,,,,,,,,,,,843,4,,,,,321,3,,,,,184,9,60,4,,,16,2,4015,1,,,,,,,36,2,1205,6,2740,8,,,15,3,15,3,,,,,,,69,16,,,,,,,13,5,,,,,,,,,56,6,34,6,,,,,,,,,,,,,,,87,4,,,,,,,,,,,,,1272,3,12,9,329,3,,,,,,,47,1,,,,,,,,,,,,,448,13,,,,,598,11,,,,,98,7,3593,5,,,,,,,,,,,17,4,15,2,,,522,1,,,50,11,35,9,,,,,180,4,,,,,635,5,,,,,,,,,,,,,,,,,,,,,265,6,,,,,172,7,12,4,,,,,,,288,9,,,,,,,11,4,,,15,5,,,,,,,11,3,,,1257,10
3,4,2397,49302,17,4,22,2,,,18,2,,,1456,3,,,,,,,23,4,,,157,2,,,16,3,,,,,9,4,345,2,,,,,29,5,,,27,2,23,3,,,70,5,,,15,2,19,2,260,6,,,19,4,618,1,4638,3,,,,,,,452,3,,,19618,4,16,5,3150,7,34,8,19,2,2944,2,226,9,,,,,1578,10,,,,,17,2,,,,,,,,,22,2,,,,,,,1146,2,,,25,2,154,6,,,,,316,6,84,2,,,16,3,47,11,,,,,14,2,30,3,989,8,3427,7,,,,,,,105,2,24,2,,,41,23,19,2,,,,,25,2,,,,,17,2,19,2,63,4,74,3,,,,,,,72,2,17,6,,,,,29,7,,,,,,,,,,,,,582,12,20,5,233,5,,,,,,,20,3,,,,,,,14,2,,,,,499,12,17,2,,,811,7,,,,,,,1620,9,,,,,,,,,,,18,3,,,,,56,4,,,83,6,55,7,,,,,139,5,,,,,689,3,19,3,,,48,4,,,,,,,68,8,,,,,15,3,461,5,,,,,108,10,24,3,,,,,19,2,78,13,24,1,,,,,13,3,,,15,6,,,,,,,24,2,,,920,12
4,5,10816,44139,,,,,,,,,,,415,7,,,,,,,69,1,,,,,,,,,32,1,,,36,1,154,6,,,,,,,,,,,39,2,,,68,6,,,,,,,305,5,,,,,169,6,3223,6,,,,,,,85,7,,,11108,8,,,5680,3,86,4,,,519,5,376,6,,,,,2133,6,,,,,,,,,,,,,,,,,,,,,,,369,6,66,5,,,144,7,,,,,387,4,,,,,,,619,3,,,,,,,,,1855,4,2289,11,,,,,,,,,,,48,2,271,3,,,,,,,,,,,,,,,,,,,68,4,,,,,,,,,,,,,,,,,,,,,,,,,33,2,,,754,9,43,1,245,4,,,28,1,,,,,,,,,,,,,,,,,1510,3,,,,,2744,3,,,,,183,4,4004,4,,,,,,,,,,,,,,,,,37,5,,,124,4,,,,,,,83,7,,,,,371,7,,,,,,,,,,,,,,,,,,,29,2,205,8,,,,,158,8,,,,,,,,,480,5,,,,,,,28,2,,,39,2,,,,,,,,,,,2428,6
5,6,2093,35488,,,,,,,,,,,69,16,,,,,,,,,,,18,4,,,,,,,,,,,51,12,,,,,13,6,21,2,,,,,,,30,14,14,2,,,,,111,18,,,,,65,14,1245,22,,,,,,,,,,,14038,6,17,4,1804,11,,,,,76,15,118,26,,,,,905,17,,,,,,,,,12,2,,,,,,,,,13,2,,,89,25,11,7,,,52,12,,,,,106,16,11,7,,,,,125,10,,,,,,,,,571,18,7626,2,,,16,2,11,5,,,16,3,,,150,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,6,,,,,,,,,,,,,388,17,,,39,21,,,,,,,,,,,,,,,,,,,,,320,18,,,,,755,10,,,,,,,1411,10,,,,,17,2,,,,,,,,,,,,,,,47,12,27,11,,,,,,,13,2,,,170,12,,,13,2,,,,,,,,,361,3,,,,,,,84,13,,,,,60,14,,,,,,,,,594,4,,,,,,,,,,,13,8,,,,,,,,,10,1,3721,1
6,7,2162,26480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,,,,,13,36,,,,,,,125,16,,,,,41,23,1392,20,,,,,,,,,,,14521,5,,,916,24,,,,,,,149,18,,,,,1388,11,,,,,9,4,,,,,,,,,,,,,,,,,26,46,,,,,,,,,,,145,11,,,,,,,9,18,,,,,,,10,7,561,19,321,33,,,,,,,6,4,,,,,64,17,,,,,,,,,,,,,,,,,21,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,52,6,15,,,,,,,,,,,,,,,,,,,,,,,509,11,,,,,255,20,,,,,17,12,4223,3,,,,,,,,,,,,,,,,,6,12,,,,,13,16,,,,,20,15,,,,,133,17,,,,,,,,,,,,,,,,,,,,,34,23,,,,,117,9,,,,,,,,,43,15,,,,,,,,,,,,,,,,,,,,,,,1289,9
7,8,2243,24800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,14,,,,,,,,,,,,,,,18,26,,,,,,,,,,,,,,,4817,2,,,,,,,,,,,7739,15,,,,,,,,,,,,,,,,,1611,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,9,,,,,151,10,,,,,,,,,,,,,,,,,658,14,4537,3,,,,,,,,,,,,,15,50,,,,,,,,,,,,,,,,,52,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096,4,,,,,,,,,,,7,7,,,,,,,,,,,,,1155,5,,,,,813,6,,,,,25,10,836,15,,,,,,,,,,,9,6,,,,,,,,,,,330,1,,,,,539,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,27
8,9,28,24181,,,,,,,,,,,354,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,74,,,,,,,,,,,4859,29,,,1366,19,,,,,,,69,33,,,,,264,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,12,,,,,,,,,259,34,16374,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,59,,,,,,,,,,,,,,,,,,,,,111,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,2181,23823,,,,,,,,,,,129,12,,,,,,,,,,,,,,,16,2,,,,,,,212,4,,,,,,,,,,,,,,,30,15,,,,,,,142,12,,,,,116,8,1399,19,,,,,,,217,5,,,6691,19,26,3,1526,17,93,3,10,7,,,273,7,,,,,1037,15,,,,,,,,,,,,,,,,,,,,,,,237,9,,,,,98,10,,,,,197,8,,,,,,,375,5,,,,,,,23,5,1370,5,942,19,,,,,,,60,3,,,,,33,29,,,,,,,,,,,,,,,13,3,48,9,38,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,16,28,3,107,9,,,,,,,,,,,,,,,,,,,,,1302,4,,,,,333,15,,,,,142,6,2140,8,,,,,,,,,,,14,5,,,,,32,6,,,67,9,55,6,,,,,40,11,49,1,,,1021,1,,,,,,,,,,,,,169,5,,,,,,,243,7,,,,,222,5,34,2,,,,,,,,,,,,,,,,,,,14,7,,,,,,,,,,,2024,7
