bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,139278,1,183,1,49,1,19,1,,,47,1,3714,1,26,1,40,1,14,1,481,1,26,1,22,1,34,1,570,2,46,1,73,1,195,1,25,1,73,1,228,1,26,1,356,1,32,1,35,1,32,1,1194,1,19,1,41,1,667,1,6287,4,20,1,21,1,506,2,,,46235,1,62,1,15160,1,555,1,66,1,1771,1,1222,1,38,1,5626,1,15,1,24,1,33,1,28,1,24,1,31,1,106,1,13,1,1086,1,840,1,37,1,565,1,21,1,13,1,1163,1,743,1,23,1,2368,1,23,1,23,1,26,1,162,1,5014,1,3961,3,29,1,18,2,371,1,555,1,71,1,636,3,22,1,,,46,1,81,1,33,1,19,1,18,1,324,2,372,1,21,1,,,73,1,52,2,88,1,330,1,187,2,23,1,20,1,16,1,28,1,30,1,21,1,1983,2,39,2,657,1,,,21,1,33,1,21,1,25,1,,,3113,1,37,1,22,1,3398,1,18,1,508,1,10546,2,21,1,20,1,21,1,23,1,34,1,19,1,199,2,34,1,524,1,224,1,,,356,1,313,2,,,24,2,1225,2,25,1,,,68,1,44,1,1,1,724,1,33,1,309,1,3567,1,23,1,,,427,2,84,1,138,1,77,1,21,1,1892,1,,,24,1,,,32,1,,,42,2,21,1,19,1,20,1,,,2567,3
10816,53715,2,,,,,,,,,,,331,4,,,,,,,,,,,,,19,3,156,6,,,,,,,,,,,20,3,,,49,11,,,,,,,252,7,,,,,253,3,3385,11,,,,,46,9,,,28827,2,,,3172,4,58,5,,,176,5,22,55,,,2616,4,,,,,,,,,,,,,,,,,270,4,27,5,,,132,7,,,,,306,4,,,,,157,9,,,,,,,,,1278,5,3265,4,,,,,,,,,16,2,300,7,,,,,,,,,,,,,,,,,36,5,,,,,,,,,,,,,,,,,,,,,,,14,2,,,1007,4,15,6,304,3,14,1,,,,,,,,,,,1264,4,,,,,806,4,,,92,5,3542,6,,,,,,,,,,,,,70,3,,,68,9,,,,,,,,,,,,,499,4,,,,,,,12,4,,,,,,,17,4,541,7,,,,,85,8,,,,,,,,,159,6,,,,,,,17,2,,,,,,,,,,,,,20,85
1406,49655,3,24,3,,,,,,,,,39,11,,,,,,,,,,,,,,,280,3,,,,,,,,,,,,,,,73,6,,,,,,,140,11,,,9,5,381,2,6490,2,,,,,483,3,,,19284,4,16,4,2721,6,58,4,9,9,210,3,14,84,,,2754,3,,,,,,,,,,,,,,,,,306,3,,,,,277,4,,,,,184,10,26,3,6,3,1040,2,,,,,,,9,7,1443,4,2648,5,6,3,10,4,,,,,,,,,,,,,,,7,8,,,,,,,79,6,,,,,,,,,,,,,,,45,4,,,,,,,,,,,,,2635,1,10,12,300,4,,,7,4,,,,,,,,,618,13,,,,,250,16,,,58,7,3626,5,,,,,,,7,4,7,3,,,328,1,,,38,12,,,,,,,261,3,,,,,529,3,,,,,,,,,,,,,,,,,232,9,,,,,103,6,,,,,,,,,279,5,,,,,,,7,4,,,,,,,,,5,3,,,1284,5
2223,41049,4,,,,,,,,,,,662,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,25,,,,,,,502,3,,,,,,,1622,17,,,,,,,,,9431,13,,,5863,2,,,,,,,949,2,,,2293,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,,,218,8,,,,,,,,,3513,2,2285,6,,,6,5,,,,,,,,,,,,,,,,,,,,,,,489,1,,,,,,,,,65,1,,,,,41,5,,,,,,,,,,,,,705,9,,,594,2,,,,,,,,,,,,,1796,2,,,,,2014,2,,,,,3832,4,,,,,,,,,,,,,,,17,3,,,174,2,,,,,53,6,,,,,306,6,,,,,,,,,,,301,2,,,,,873,5,,,,,189,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2217,4
2397,39373,5,23,4,13,3,,,14,1,,,638,3,,,,,12,2,49,2,,,,,19,2,571,1,,,,,,,,,26,2,45,2,,,65,7,,,20,2,17,2,242,8,,,12,2,192,4,4472,6,,,,,278,5,,,17448,5,21,2,1779,8,24,9,25,2,1717,2,152,11,,,1538,11,,,13,3,,,,,,,10,2,,,,,578,2,,,15,2,182,5,,,,,277,5,27,2,14,2,43,11,,,,,10,2,44,2,747,10,1523,8,,,,,41,2,45,2,,,46,20,13,2,,,,,20,2,,,,,15,2,94,5,53,4,,,,,46,2,8,6,,,,,10,8,,,,,,,,,,,,,369,17,13,8,236,5,,,7,5,,,,,9,2,,,599,14,14,2,,,653,6,,,,,1738,11,,,,,,,18,2,,,,,58,4,,,77,6,62,6,,,,,72,4,,,,,373,5,13,3,,,12,5,,,,,40,8,,,18,2,1217,3,,,,,,,6,3,,,,,14,2,46,9,17,1,,,,,11,3,,,,,,,,,13,2,,,382,14
2093,34730,6,,,,,,,,,,,36,12,,,,,,,14,4,,,,,,,39,11,,,,,14,4,13,2,,,,,,,38,12,10,2,,,,,85,15,,,,,38,22,1054,26,,,,,,,,,16481,6,13,7,1203,16,,,,,30,10,90,24,,,839,22,,,,,,,8,2,,,,,,,,,50,25,7,7,,,31,14,,,,,83,22,,,,,119,10,,,,,,,,,563,20,5921,2,17,2,,,,,5,3,,,380,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,6,,,,,,,,,,,,,271,20,,,49,26,,,,,,,,,,,,,248,27,,,,,423,9,,,,,1659,12,,,,,8,2,,,,,,,,,,,28,13,19,11,,,,,,,18,1,,,154,17,,,,,,,,,,,270,3,,,,,49,22,,,,,41,13,,,,,,,,,496,3,,,,,,,,,,,48,1,,,,,,,5,2,3728,1
2162,27812,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,,13,37,,,,,,,132,12,,,,,13,42,1549,18,,,,,,,,,11743,9,,,3,125,,,,,,,98,20,,,910,21,,,5,4,,,,,,,,,,,,,16,40,,,,,,,,,,,212,8,,,,,,,,,,,,,13,6,757,9,9,95,,,,,5,4,,,,,197,8,,,,,,,,,,,,,,,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,40,3,17,,,,,,,,,,,,,,,646,12,,,,,134,25,,,10,11,10236,3,,,,,,,,,,,,,4,6,,,,,12,13,,,,,,,,,,,99,19,,,,,,,,,,,,,,,,,64,19,,,,,145,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664,9
2181,26655,8,,,,,,,,,,,,,,,,,,,,,15,2,,,,,208,5,,,,,,,,,,,,,,,24,23,,,,,,,165,9,,,,,145,6,2069,14,,,,,192,6,,,7592,15,17,3,1339,13,83,3,15,4,,,283,4,,,1734,8,,,,,,,,,,,,,,,,,212,6,,,,,108,9,,,,,201,9,,,,,305,5,,,,,,,14,5,90,70,1140,11,,,,,27,3,,,,,22,36,,,,,,,,,,,,,,,52,8,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,709,8,19,4,218,6,,,,,,,,,,,,,1675,3,,,,,321,13,,,117,3,2499,7,,,,,,,5,5,,,,,,,,,104,3,25,10,,,,,,,14,2,,,2543,1,,,,,,,,,,,180,5,,,,,799,6,,,,,101,7,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,6
463,25988,9,,,13,2,,,,,,,,,,,,,,,,,,,,,,,41,10,,,,,,,,,7,5,,,,,24,22,,,,,,,295,6,,,,,105,9,2270,13,,,,,,,,,13844,7,,,,,15,12,,,,,184,7,,,,,,,,,,,,,,,,,,,,,88,15,,,,,35,13,,,,,96,20,,,,,35,12,,,,,,,,,924,6,2246,7,,,,,,,,,,,89,13,,,,,,,,,,,,,,,33,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,16,5,15,83,15,,,,,,,,,,,,,678,10,,,,,904,3,,,,,2364,8,,,,,,,,,,,,,,,,,,,26,9,,,,,28,8,,,,,187,12,,,,,,,,,,,56,7,,,,,120,15,,,,,46,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759,8
29351,25930,10,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1818,15,,,,,,,,,6395,18,,,199,46,110,2,,,,,97,21,,,183,69,,,,,,,,,,,,,,,,,210,7,,,,,,,,,,,28,31,13,5,,,,,,,,,,,,,,,124,46,,,,,,,,,,,,,,,,,,,,,,,,,,,283,3,118,2,,,,,,,,,,,,,,,,,,,,,,,,,,,59,59,,,,,,,,,,,,,,,,,530,17,,,,,,,,,,,13947,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,37,,,,,,,,,,,,,,,,,,,,,,,1473,1,,,,,,,,,297,4,,,,,,,,,,,,,,,,,,,,,,
