bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,129981,1,240,1,77,1,43,1,38,1,38,1,4021,1,22,1,32,1,31,1,1117,1,26,1,36,1,,,60,1,542,1,52,1,77,1,344,1,22,1,76,2,190,1,25,1,338,1,30,1,34,1,52,1,762,1,31,1,41,1,687,1,6599,1,29,1,29,1,678,1,,,34406,1,74,1,15518,1,620,1,73,1,2597,2,1165,2,59,1,5249,2,,,27,1,37,1,39,1,31,1,30,1,99,1,293,1,21,1,1329,1,1668,1,29,1,488,1,31,1,20,1,957,1,404,1,35,1,2255,1,32,1,19,1,52,1,125,1,4050,2,3678,3,33,1,33,2,37,2,506,1,834,1,113,1,473,3,32,1,,,45,1,64,1,47,1,29,1,29,1,352,2,349,1,25,1,,,82,1,95,1,62,1,1128,1,190,2,27,1,35,1,27,1,35,1,33,1,29,1,1524,2,58,1,725,1,,,31,1,45,1,25,1,34,1,29,1,39,1,,,2790,2,26,1,29,1,3030,2,34,1,413,1,10230,2,31,1,32,1,28,1,33,1,37,1,25,1,175,2,58,1,433,1,248,1,,,342,1,296,2,,,33,2,1269,1,40,1,,,237,1,,,105,1,3,1,748,1,58,1,300,1,4559,1,40,1,,,452,2,61,1,197,1,77,1,30,1,1148,1,,,36,1,,,46,1,,,31,1,25,1,35,1,46,1,,,2932,3
1406,55131,2,43,2,,,,,,,,,25,13,,,,,,,,,,,,,,,,,224,4,,,,,,,,,,,,,,,78,3,,,,,,,182,11,,,20,2,291,3,2647,10,,,,,636,2,,,26754,2,26,2,2481,5,41,5,28,2,342,6,569,4,,,4798,3,68,1,,,,,20,2,,,,,,,,,,,415,3,,,,,283,3,,,,,169,10,43,2,21,2,1941,2,,,,,,,17,3,1362,4,1871,7,,,14,3,27,3,,,,,,,,,,,,,,,19,4,,,,,,,71,7,,,,,,,,,,,,,,,55,3,,,,,,,,,,,,,2409,1,21,2,339,3,,,,,1,6,,,,,,,,,,,537,10,,,,,355,13,,,106,6,2981,6,,,,,,,15,2,17,2,,,244,1,,,36,11,65,6,,,,,255,3,,,,,410,5,,,,,,,,,,,,,,,,,,,272,10,,,,,121,7,,,,,,,,,128,6,,,,,,,17,2,,,,,,,,,18,2,,,1203,6
10816,44767,3,,,,,,,,,,,480,4,,,,,,,,,,,22,2,,,25,2,117,8,,,,,,,,,,,23,3,,,50,6,,,,,,,283,5,,,,,241,4,3013,8,,,,,59,9,,,19355,3,,,3262,3,62,4,,,463,5,353,6,,,2089,9,,,,,,,,,,,,,,,,,,,313,5,54,5,,,164,5,,,,,281,3,,,,,174,9,,,,,,,,,1300,5,3134,4,,,,,,,,,,,19,2,254,5,,,,,,,,,,,,,,,,,69,3,,,,,,,,,,,,,,,,,,,,,,,20,2,,,882,8,19,3,211,6,24,1,,,,,,,,,,,,,,,1193,5,,,,,828,6,,,112,5,4032,4,,,,,,,,,,,,,61,5,,,58,6,,,,,,,,,,,,,635,3,,,,,,,,,25,3,,,,,,,24,2,670,7,,,,,126,6,,,,,,,,,150,5,,,,,,,17,3,,,,,,,,,,,,,21,97
2223,44668,4,,,,,,,,,,,650,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,21,,,,,,,395,4,,,,,,,2214,11,,,,,,,,,11393,9,,,3872,2,,,,,1052,3,1240,1,,,2195,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4,,,312,6,,,,,,,,,4250,1,1535,10,,,,,9,5,,,,,,,,,,,,,,,,,,,,,,,483,1,,,,,,,,,7,6,,,,,52,4,,,,,,,,,,,,,864,9,,,624,2,,,,,,,,,,,,,,,,,1889,3,,,,,3457,1,,,,,2587,7,,,,,,,,,,,,,,,7,4,,,174,2,,,,,65,5,,,,,170,12,,,,,,,,,,,,,351,2,,,,,2219,2,,,,,289,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2268,4
29351,44044,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1836,14,,,,,,,,,5413,21,,,139,54,271,2,,,,,143,13,,,100,85,,,,,,,,,,,,,,,,,,,220,7,,,,,,,,,,,18,37,14,6,,,,,,,,,,,,,,,123,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,3,102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,95,51,,,,,,,,,,,,,,,,,,,,,506,12,,,,,,,,,,,32274,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,32,,,,,,,,,,,,,,,,,,,,,,,,,2083,1,,,,,,,,,315,4,,,,,,,,,,,,,,,,,,,,,,
2397,39717,6,18,4,17,2,,,19,2,,,641,3,,,,,20,2,112,2,9,3,,,,,13,3,516,2,,,,,45,3,,,77,1,56,2,,,54,4,,,13,2,11,2,265,6,,,16,3,414,2,3603,5,,,,,348,5,,,15281,4,21,3,2183,6,29,7,14,3,2917,1,175,9,,,2144,8,,,,,9,2,,,,,,,21,2,,,,,661,2,,,9,2,156,6,,,,,269,4,36,3,17,3,28,15,,,,,20,2,17,4,901,6,1746,8,,,,,,,47,2,21,2,,,36,18,12,2,,,,,24,2,,,,,6,2,99,4,58,5,,,,,35,2,16,3,,,,,24,7,,,,,,,,,,,,,422,16,13,6,286,4,,,,,18,2,,,,,,,15,2,,,658,9,9,2,,,805,7,,,,,1322,13,,,,,,,10,4,,,,,64,4,,,56,7,55,7,,,,,94,4,,,,,465,4,13,3,,,11,7,,,,,,,67,7,,,22,3,1337,4,,,,,,,11,3,,,,,8,2,57,8,23,1,,,,,16,4,,,,,,,,,10,3,,,551,10
2093,30780,7,,,,,,,,,,,74,10,,,,,,,28,3,,,,,,,,,38,12,,,,,21,5,15,2,,,,,,,43,8,12,2,,,,,229,8,,,,,72,14,1105,22,,,,,,,,,13678,6,20,4,1281,15,,,,,60,12,72,29,,,936,16,,,,,,,,,15,2,,,,,,,13,2,72,19,31,7,,,55,13,,,,,50,26,15,5,,,92,10,,,,,,,,,647,16,4736,1,,,36,1,,,,,2,3,,,157,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,5,,,,,,,,,,,,,283,21,,,71,14,,,,,,,,,,,,,,,,,300,20,,,,,408,12,,,,,1688,11,,,,,14,2,,,,,,,,,,,39,10,28,10,,,,,,,25,1,,,205,9,,,14,2,,,,,,,,,249,4,,,,,96,19,,,,,49,12,,,,,,,,,446,3,,,,,,,,,,,24,2,,,,,,,12,1,3176,2
1294,28778,8,,,,,,,,,,,47,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,15,,,,,,,,,,,,,59,16,948,27,,,,,,,,,9737,10,6,26,786,21,,,,,,,112,23,,,13797,1,,,,,,,,,,,,,,,,,,,187,9,,,,,,,,,,,88,21,,,,,38,12,,,,,8,4,,,886,7,,,,,,,,,,,,,,,33,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,508,13,,,56,20,,,,,2,5,,,,,,,,,,,40,51,,,,,,,,,,,898,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,18,,,,,,,,,,,,,,,,,,,57,24,,,,,15,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,18
2162,27576,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,,,,,10,39,,,,,,,199,10,,,,,23,30,1733,16,,,,,,,,,12007,8,,,1,135,,,,,,,115,22,,,889,19,,,,,5,4,,,,,,,,,,,,,38,30,,,,,,,,,,,213,7,,,,,,,,,,,,,9,8,780,13,6,105,,,,,,,13,4,,,,,110,8,,,,,,,,,,,,,,,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,33,4,15,,,,,,,,,,,,,,,,,,,688,8,,,,,296,18,,,11,11,8999,3,,,,,,,,,,,,,9,9,,,,,12,17,,,,,,,,,,,93,23,,,,,,,,,,,,,,,,,,,92,20,,,,,98,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961,7
2181,26813,10,,,,,,,,,,,,,,,,,,,,,9,2,,,,,,,228,3,,,,,,,,,,,,,,,31,14,,,,,,,163,12,,,,,216,5,2025,12,,,,,157,6,,,8925,12,16,6,1824,8,92,3,12,5,,,190,8,,,1509,10,,,,,,,,,,,,,,,,,,,249,6,,,,,89,11,,,,,228,6,,,,,312,5,,,,,,,20,2,51,99,1174,11,,,,,,,41,3,,,,,35,20,,,,,,,,,,,,,,,61,8,38,6,,,,,,,,,,,,,,,,,,,,,,,,,,,734,10,13,5,236,5,,,,,,,,,,,,,,,,,1605,4,,,,,353,14,,,130,4,2205,8,,,,,,,7,5,,,,,54,6,,,97,3,44,9,,,,,,,11,2,,,731,2,,,,,,,,,,,,,265,3,,,,,1266,5,,,,,137,5,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209,5
463,23593,11,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,17,15,,,,,,,,,8,5,,,,,27,16,,,,,,,228,9,,,,,88,11,1957,13,,,,,,,,,12726,7,9,17,,,13,13,8,9,,,136,14,,,,,,,,,,,,,,,,,,,,,,,119,12,,,,,24,14,,,,,82,22,,,,,33,14,,,,,,,,,815,9,2351,6,,,,,,,,,,,,,65,13,,,,,,,6,8,,,,,,,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,17,10,9,69,17,,,,,,,,,,,,,,,,,518,11,,,,,1014,3,,,,,1811,10,,,,,,,,,,,,,,,,,,,18,14,,,,,16,9,,,,,129,19,,,,,,,,,,,,,42,9,,,,,81,21,,,,,47,13,,,,,,,,,17,15,,,,,,,,,,,,,,,,,,,,,717,9
2243,17924,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,11,,,,,,,,,,,,,,,17,26,,,,,,,,,,,,,,,4119,3,,,,,,,,,6582,19,,,,,,,,,,,,,,,2167,7,,,,,,,,,,,,,,,,,,,,,,,,,101,9,,,,,130,14,,,,,,,,,,,,,,,551,20,195,35,,,,,,,,,,,,,24,29,,,,,,,,,,,,,,,74,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027,5,,,,,,,,,,,,,,,,,,,,,64,39,,,,,1003,4,,,32,10,1039,15,,,,,,,11,3,,,,,,,,,,,113,4,,,,,536,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,36
181,17826,13,18,3,,,,,,,,,292,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,13,,,,,,,,,,,,,129,8,1818,15,,,,,,,,,9415,11,,,1706,9,,,8,8,,,85,26,,,927,18,,,,,,,,,,,,,,,,,,,141,10,,,,,230,4,,,,,155,11,,,,,,,,,,,,,,,225,36,169,38,,,,,,,,,,,,,,,,,,,,,13,5,,,,,,,37,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492,15,,,74,12,,,,,,,,,,,,,,,,,227,26,,,,,209,25,,,,,678,22,,,,,,,,,,,,,170,3,,,,,,,,,1,3,,,,,,,200,10,,,,,,,,,,,,,21,13,,,,,143,14,,,,,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,24
