bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,ary,ary_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,117011,1,120,1,27,1,32,1,33,1,25,1,4155,1,45,1,21,1,16,1,50,1,42,2,6,1,12,1,411,1,38,1,18,1,18,2,,,37,1,467,2,191,1,125,1,546,1,23,1,36,1,247,1,27,1,269,1,20,1,8,1,19,2,823,2,25,1,38,1,378,3,5703,1,16,1,22,1,21,1,527,3,16,1,32787,1,52,1,10151,1,403,1,32,1,2516,3,1191,2,9,1,32,1,5449,1,,,12,1,27,1,24,1,21,1,19,1,18,1,32,1,99,1,20,1,,,1565,1,1311,1,67,1,488,2,25,1,28,1,1210,1,149,1,,,28,1,1450,2,29,1,28,1,36,1,94,1,3781,3,2951,2,35,1,20,1,18,5,281,1,147,1,201,1,424,4,19,1,15,1,41,1,109,1,32,1,20,1,19,2,26,1,14,1,275,2,150,1,12,1,15,1,25,2,73,2,365,1,63,1,643,1,2420,1,17,1,56,1,13,1,32,1,24,1,14,1,1144,7,39,1,298,5,27,1,,,21,1,18,3,19,1,9,2,14,1,22,1,,,17,1,2828,2,24,1,21,1,2750,2,29,1,14,1,467,1,8398,4,20,1,24,1,16,1,23,1,12,1,18,1,15,1,15,1,110,3,217,1,345,1,216,2,,,178,1,347,3,,,19,2,926,3,59,1,,,249,1,,,327,1,15,1,952,2,20,1,42,1,84,1,1278,3,17,1,,,435,2,40,1,249,1,27,1,15,1,2042,1,,,28,1,,,16,2,,,25,2,21,1,21,1,27,1,23,1,,,5934,1
2181,101238,2,,,,,,,,,,,197,12,,,,,,,,,,,,,,,,,,,4,3,,,,,,,332,3,,,,,,,,,,,,,,,34,15,,,,,,,158,16,,,,,195,7,1708,15,,,,,,,241,5,,,7839,9,16,3,1204,12,89,4,5,14,,,231,11,,,,,1409,14,,,,,,,,,,,,,,,,,,,,,,,272,8,,,,,103,10,,,,,265,7,,,,,,,657,4,,,,,,,27,2,972,8,1232,11,,,,,,,26,3,,,,,20,39,,,,,,,,,,,,,,,17,2,,,19,10,22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619,14,39,2,168,8,,,,,,,,,,,,,,,,,,,,,1284,5,,,,,274,17,,,,,153,6,76857,1,,,,,,,,,,,5,4,,,,,32,5,,,59,10,146,5,,,,,29,14,14,2,,,1300,2,,,,,,,,,,,,,234,6,,,,,,,556,7,,,,,304,4,21,2,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,1843,9
2223,65832,3,,,,,,,,,,,2891,2,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,11,,,,,,,1904,1,,,,,313,4,2089,12,,,,,,,,,,,10314,8,,,3757,2,,,,,3668,1,2437,1,,,,,4336,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,2,,,,,449,6,,,,,,,,,6620,1,2218,4,,,,,19,4,,,,,,,136,8,,,,,,,,,,,,,,,,,,,109,3,,,,,,,,,,,16,5,,,,,96,6,,,,,,,,,,,,,1602,5,,,1470,1,,,,,,,,,,,,,,,,,,,,,4586,1,,,,,4001,1,,,,,255,3,3254,8,,,,,,,,,,,,,,,,,,,12,4,,,553,1,,,41,2,155,5,,,,,393,9,,,,,,,,,,,,,295,5,,,,,,,2767,1,,,,,372,3,,,,,,,,,1142,3,,,,,,,,,,,4,9,,,,,,,,,,,3429,6
10816,53511,4,,,,,,,,,,,584,7,,,,,,,,,35,3,,,,,,,,,,,36,1,,,31,2,246,4,,,,,,,,,,,23,2,,,57,8,,,,,,,435,6,,,,,389,2,3882,3,,,,,,,90,8,,,12985,6,,,3130,3,101,3,,,739,5,550,6,,,,,2743,6,,,,,,,,,,,,,,,,,,,,,,,385,6,50,6,,,295,5,,,,,498,4,,,,,,,519,5,,,,,,,,,2779,4,2187,5,,,,,,,,,,,24,2,169,5,,,,,,,,,,,,,,,,,,,,,57,3,,,,,,,,,,,,,,,,,,,,,,,,,24,2,,,998,9,23,4,299,4,,,29,1,,,,,,,,,,,,,,,,,1657,3,,,,,1475,3,,,,,299,2,9747,3,,,,,,,,,,,,,,,,,31,6,,,94,5,,,,,,,133,8,,,,,486,7,,,,,,,,,,,,,,,,,,,35,2,666,6,,,,,209,6,,,,,,,,,603,6,,,,,,,19,1,,,39,1,,,,,,,,,,,3626,5
1406,48126,5,26,2,,,,,,,,,1065,5,,,,,,,,,45,1,,,,,62,3,,,,,,,,,,,203,6,,,,,,,,,,,,,,,63,6,,,,,,,167,15,,,11,3,296,5,2657,8,,,,,,,348,4,,,16830,2,10,8,2852,4,40,5,20,2,473,7,886,4,,,,,3505,5,14,1,,,,,8,2,,,,,,,14,4,,,,,,,726,3,,,,,399,4,,,,,404,5,65,4,,,6,3,1552,1,,,,,,,14,5,1699,5,1800,8,,,19,2,20,3,,,,,,,153,7,,,,,26,2,11,5,,,,,,,,,,,52,7,12,12,,,,,,,,,,,,,,,108,5,,,,,,,,,,,,,1678,3,7,12,694,2,,,,,,,33,1,,,,,,,,,,,,,475,11,,,,,399,10,,,,,108,8,2959,9,,,,,,,,,,,9,3,6,2,,,404,1,,,30,14,33,10,,,,,133,7,,,,,686,6,,,,,,,,,,,,,32,11,,,,,,,115,14,,,,,190,7,13,4,,,,,,,636,5,,,,,,,7,3,,,7,5,,,,,,,20,2,,,2791,7
27443,46892,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,25,,,,,,,172,14,,,16,2,31,27,647,30,,,,,,,48,12,,,5796,17,15,4,436,29,38,6,,,,,207,12,,,,,424,44,,,,,,,,,,,,,,,,,,,,,,,36,38,,,,,25,13,,,,,,,,,,,,,,,,,,,,,,,347,25,1677,9,,,,,,,,,,,,,610,2,,,,,,,,,,,,,,,,,,,,,24,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,35,,,,,,,,,,,,,,,,,,,,,,,,,416,14,,,,,276,15,,,,,,,5875,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25435,1,,,,,,,,,,,,,74,11,,,,,,,,,263,9,,,,,,,,,,,,,,,,,,,,,,,3812,4
2397,44922,7,10,5,15,3,,,9,2,,,1799,3,,,,,,,,,16,5,,,,,148,2,,,11,2,,,,,13,3,593,1,,,,,16,5,,,27,2,18,3,,,59,7,,,7,2,20,1,428,7,,,7,6,821,1,3439,6,,,,,,,683,2,,,15423,4,23,2,2318,6,29,8,14,4,3278,2,272,8,,,,,2135,9,,,,,16,4,,,,,,,,,21,2,,,,,,,1129,2,,,17,2,271,7,,,,,331,6,73,3,,,13,2,32,12,,,,,8,4,25,3,1193,6,1468,10,,,,,,,115,2,18,2,,,40,20,7,2,,,,,57,3,,,,,10,5,13,3,,,56,5,45,5,,,,,,,113,1,7,7,,,,,13,9,,,,,,,,,,,,,927,10,13,8,392,3,,,,,,,19,2,,,,,,,9,2,,,,,809,7,17,2,,,533,7,,,,,,,2635,10,,,,,,,,,,,11,2,,,,,107,4,,,69,8,72,7,,,,,134,6,,,,,756,5,22,3,,,27,4,,,,,,,81,8,,,,,17,4,726,5,,,,,130,10,18,3,,,,,10,2,136,12,30,1,,,,,7,4,,,7,7,,,,,,,19,3,,,467,20
2093,34781,8,,,,,,,,,,,114,16,,,,,,,,,,,,,,,19,4,,,,,,,,,,,44,11,,,,,11,6,10,4,,,,,,,66,5,8,2,,,,,112,20,,,,,83,12,1148,19,,,,,,,,,,,13618,5,7,15,1487,8,,,,,62,16,125,25,,,,,1005,19,,,,,,,,,18,2,,,,,,,,,12,2,,,97,20,38,7,,,63,12,,,,,98,16,16,8,,,,,118,10,,,,,,,,,683,12,3831,1,,,13,3,11,6,,,4,3,,,159,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,8,,,8,2,,,,,,,,,346,22,,,64,19,,,,,,,,,,,,,,,,,,,,,311,19,,,,,480,8,,,,,,,4390,7,,,,,4,2,,,,,,,,,,,,,,,57,11,18,15,,,,,,,22,1,,,215,13,,,1,2,,,,,,,,,426,3,,,,,,,151,10,,,,,186,8,,,,,,,,,486,7,,,,,,,,,,,21,3,,,,,,,,,9,1,4455,3
2162,30071,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,,7,55,,,,,,,202,11,,,,,20,34,1673,16,,,,,,,,,,,16073,3,,,1072,14,,,,,,,117,26,,,,,1062,17,,,,,2,6,,,,,,,,,,,,,,,,,29,41,,,,,,,,,,,163,11,,,,,,,18,16,,,,,,,16,4,527,16,299,25,,,,,,,7,4,,,,,95,11,,,,,,,,,,,,,,,,,,,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,42,7,13,,,,,,,,,,,,,,,,,,,,,,,627,10,,,,,274,16,,,,,33,12,5026,6,,,,,,,,,,,,,,,,,7,9,,,,,17,16,,,,,24,15,,,,,180,15,,,,,,,,,,,,,,,,,,,,,95,15,,,,,153,9,,,,,,,,,194,10,,,,,,,,,,,,,,,,,,,,,,,1903,8
463,24265,10,4,6,20,2,,,,,,,53,22,,,,,,,,,,,,,,,16,5,,,,,,,,,,,18,15,,,,,,,,,3,5,,,,,26,17,,,,,,,248,9,,,,,63,17,1713,14,,,,,,,,,,,11226,7,4,24,1224,11,17,12,16,3,98,12,140,21,,,,,1431,12,,,,,,,,,,,,,,,,,,,,,,,141,11,,,,,24,14,,,,,93,17,,,,,,,24,14,,,,,,,,,1040,7,2404,3,,,,,,,,,,,,,72,13,2,3,,,,,4,8,,,,,,,,,,,13,12,,,,,,,,,,,,,,,,,7,10,,,,,,,,,,,,,379,19,2,17,70,17,,,,,,,,,,,,,,,,,,,,,431,13,,,,,991,5,,,,,,,1041,15,,,,,,,,,,,,,,,,,,,,,,,24,11,,,,,21,16,,,,,152,20,,,,,,,,,,,,,99,7,,,,,,,54,20,,,,,60,14,,,,,,,,,47,17,,,,,,,,,,,,,,,,,,,,,,,750,15
