,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,109865,140,1,47,1,21,1,,,47,1,3734,1,26,1,34,1,23,1,261,1,17,1,17,1,49,1,384,2,29,1,56,1,221,1,15,1,31,1,133,1,32,1,218,1,17,1,29,1,31,1,809,1,24,1,54,1,427,1,5103,1,18,1,17,1,368,2,,,30849,1,84,1,16086,1,378,1,58,1,1720,3,1087,1,25,1,4368,2,18,1,17,1,27,1,12,1,19,1,66,1,126,1,20,1,1277,1,894,1,38,1,342,1,15,1,16,1,679,1,107,1,28,1,2339,2,19,1,17,1,21,1,63,1,4830,2,3521,3,17,1,20,1,28,1,186,1,140,1,63,1,555,3,22,1,,,32,1,63,1,23,1,19,1,18,1,248,3,235,1,16,2,,,77,1,33,1,46,1,229,1,156,2,13,1,17,1,16,1,16,1,14,1,31,1,1098,2,36,2,434,1,,,18,2,21,1,11,1,20,1,,,1924,1,13,1,27,1,3554,1,21,1,602,1,7937,3,21,1,20,1,15,1,25,1,28,1,20,1,150,2,49,1,293,1,174,1,,,215,1,251,2,,,24,2,1079,1,22,1,,,96,1,70,1,3,1,519,1,28,1,143,1,2276,1,20,1,,,248,3,52,1,107,1,298,1,20,1,1327,1,,,22,1,,,21,1,,,28,1,16,1,16,1,18,1,,,2504,3
1,2,2397,48788,11,4,6,3,,,7,1,,,506,3,,,,,9,2,62,2,,,,,9,2,438,1,,,,,,,,,15,3,26,2,,,33,8,,,10,2,6,2,191,6,,,7,6,179,4,3809,4,,,,,328,3,,,29881,2,13,7,1619,9,7,15,12,5,1949,2,197,7,,,1106,11,,,2,4,,,,,,,12,2,,,,,588,2,,,8,2,182,3,,,,,208,5,25,4,9,3,34,13,,,,,3,6,9,7,651,11,1593,10,,,,,,,37,2,10,2,,,45,19,8,2,,,,,13,5,,,,,2,3,66,6,33,7,,,,,20,2,2,7,,,,,10,8,,,,,,,,,,,,,263,18,6,11,215,3,,,3,6,,,,,2,2,,,433,9,5,2,,,616,6,,,,,1128,13,,,,,,,6,4,,,,,40,3,,,38,10,27,7,,,,,42,5,,,,,392,5,3,3,,,8,5,,,,,30,8,,,10,2,1084,5,,,,,,,6,3,,,,,4,2,37,10,6,1,,,,,6,2,,,,,,,,,4,3,,,368,15
2,3,2223,44053,,,,,,,,,,,877,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,29,,,,,,,302,3,,,,,,,1332,17,,,,,,,,,11465,8,,,5385,2,,,,,,,992,2,,,1775,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3,,,80,10,,,,,,,,,5018,1,2264,6,,,,,10,5,,,,,,,,,,,,,,,,,,,,,,,495,1,,,,,,,,,14,2,,,,,45,6,,,,,,,,,,,,,457,12,,,249,2,,,,,,,,,,,,,1326,2,,,,,2199,2,,,,,4160,4,,,,,,,,,,,,,,,13,2,,,60,3,,,,,34,6,,,,,195,9,,,,,,,,,,,213,4,,,,,2181,2,,,,,310,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2559,2
3,4,1406,38090,16,2,,,,,,,,,31,13,,,,,,,,,,,,,,,156,4,,,,,,,,,,,,,,,50,4,,,,,,,121,10,,,14,2,263,2,2019,12,,,,,297,4,,,16433,3,13,6,2704,5,32,5,16,2,246,5,8,93,,,2388,3,,,,,12,2,,,,,,,,,,,422,3,,,,,148,5,,,,,150,10,45,2,14,2,2950,1,,,,,,,11,5,1191,5,1915,8,,,14,2,16,2,,,,,,,,,,,,,,,13,4,,,,,,,77,4,,,,,,,,,,,,,,,39,7,,,,,,,,,,,,,873,3,15,4,162,5,,,44,1,,,,,,,,,295,14,,,,,304,12,,,58,7,2069,9,,,,,,,8,3,9,3,,,196,1,,,32,11,15,9,,,,,145,3,,,,,383,6,,,,,,,,,,,,,,,,,254,9,,,,,89,7,,,,,,,,,165,5,,,,,,,4,4,,,,,,,,,4,2,,,1142,6
4,5,10816,35955,,,,,,,,,,,311,5,,,,,,,,,,,,,5,3,130,6,,,,,,,,,,,10,3,,,20,18,,,,,,,167,8,,,,,182,3,3149,6,,,,,17,9,,,14266,5,,,3130,3,56,4,,,216,6,13,73,,,1698,6,,,,,,,,,,,,,,,,,295,5,11,6,,,79,8,,,,,209,4,,,,,205,8,,,,,,,,,1240,4,2381,4,,,,,,,,,,,4,3,232,7,,,,,,,,,,,,,,,,,37,3,,,,,,,,,,,,,,,,,,,,,,,6,2,,,654,6,5,16,180,4,3,1,,,,,,,,,,,865,5,,,,,779,4,,,85,5,3937,5,,,,,,,,,,,,,30,4,,,69,5,,,,,,,,,,,,,444,4,,,,,,,3,4,,,,,,,7,4,532,7,,,,,101,5,,,,,,,,,165,6,,,,,,,5,3,,,,,,,,,,,,,22,85
5,6,2162,29306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,10,33,,,,,,,179,7,,,,,13,31,1667,14,,,,,,,,,12899,7,,,2,129,,,,,,,98,20,,,1146,9,,,8,2,,,,,,,,,,,,,24,33,,,,,,,,,,,234,3,,,,,,,,,,,,,12,4,731,8,5,99,,,,,,,3,4,,,,,227,8,,,,,,,,,,,,,,,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,31,7,9,,,,,,,,,,,,,,,952,4,,,,,154,22,,,15,11,9544,2,,,,,,,,,,,,,7,8,,,,,11,11,,,,,,,,,,,84,20,,,,,,,,,,,,,,,,,168,12,,,,,79,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894,8
6,7,29351,25005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473,15,,,,,,,,,5407,21,,,108,57,134,2,,,,,78,24,,,120,76,,,,,,,,,,,,,,,,,184,8,,,,,,,,,,,18,35,17,5,,,,,,,,,,,,,,,74,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,2,87,2,,,,,,,,,,,,,,,,,,,,,,,,,,,52,55,,,,,,,,,,,,,,,,,320,13,,,,,,,,,,,14888,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,33,,,,,,,,,,,,,,,,,,,,,,,1318,1,,,,,,,,,318,4,,,,,,,,,,,,,,,,,,,,,,
7,8,2093,24468,,,,,,,,,,,33,12,,,,,,,10,4,,,,,,,24,12,,,,,3,4,1,4,,,,,,,25,16,5,2,,,,,68,16,,,,,33,19,802,26,,,,,,,,,10483,10,6,24,1212,15,,,,,39,10,55,29,,,876,16,,,,,,,9,2,,,,,,,,,37,29,2,7,,,23,13,,,,,60,23,,,,,123,9,,,,,,,,,510,16,4438,2,,,5,3,,,,,5,3,,,343,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,3,,,,,,,,,,,,,218,20,,,31,21,,,,,,,,,,,,,205,22,,,,,245,14,,,,,1231,11,,,,,1,2,,,,,,,,,,,25,12,9,12,,,,,,,25,2,,,87,18,,,,,,,,,,,224,3,,,,,39,25,,,,,36,12,,,,,,,,,329,3,,,,,,,,,,,28,2,,,,,,,5,2,2356,4
8,9,463,23629,,,15,2,,,,,,,,,,,,,,,,,,,,,,,25,11,,,,,,,,,5,7,,,,,25,15,,,,,,,235,5,,,,,63,11,1904,13,,,,,,,,,13279,6,,,,,14,11,,,,,151,9,,,,,,,,,,,,,,,,,,,,,46,25,,,,,21,14,,,,,84,18,,,,,34,12,,,,,,,,,834,6,2157,7,,,,,,,,,,,,,42,20,,,,,,,14,3,,,,,,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,16,6,10,62,10,,,,,,,,,,,,,493,8,,,,,826,3,,,,,2142,7,,,,,,,,,,,,,,,,,,,8,14,,,,,23,7,,,,,168,10,,,,,,,,,,,35,7,,,,,63,19,,,,,28,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534,10
9,10,2181,20672,,,,,,,,,,,,,,,,,,,,,11,2,,,,,148,5,,,,,,,,,,,,,,,26,12,,,,,,,85,12,,,,,109,6,1340,16,,,,,152,5,,,6391,18,23,3,1266,13,91,3,14,3,,,200,6,,,1061,13,,,,,,,,,,,,,,,,,176,9,,,,,50,9,,,,,182,7,,,,,250,6,,,,,,,20,2,80,70,1194,12,,,,,,,28,3,,,,,29,31,,,,,,,,,,,,,,,52,7,34,6,,,,,,,,,,,,,,,,,,,,,,,,,,,686,5,23,3,135,6,,,,,,,,,,,,,1068,3,,,,,285,13,,,99,4,2079,8,,,,,,,9,2,,,,,18,5,,,52,6,20,8,,,,,,,34,1,,,799,2,,,,,,,,,,,264,2,,,,,691,6,,,,,166,4,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214,5
