bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,105930,1,176,1,41,1,38,1,34,1,35,1,2802,1,33,1,34,1,33,1,233,1,36,1,32,1,118,1,442,2,32,1,98,1,243,1,78,1,66,2,142,1,35,1,152,1,26,1,40,1,40,1,869,1,28,1,48,1,485,1,5941,1,31,1,29,1,421,3,,,31520,1,87,1,12346,1,386,1,43,1,3298,1,805,1,34,1,4196,2,,,30,1,37,1,45,1,29,1,24,1,42,1,256,1,29,1,1465,1,1598,1,51,1,307,3,23,1,24,1,685,1,104,1,33,1,2331,1,29,1,26,1,34,1,84,1,3764,3,3451,2,33,1,24,1,38,1,156,1,109,1,98,1,380,3,37,1,,,38,1,52,1,38,1,33,1,33,1,203,3,188,1,29,1,,,78,1,64,1,37,1,557,1,138,2,31,1,31,1,26,1,29,1,37,1,33,1,1226,3,43,1,370,1,,,24,1,38,1,29,1,28,1,28,1,,,2140,2,21,1,26,1,3095,2,31,1,308,1,6445,3,35,1,33,1,36,1,31,1,35,1,26,1,117,2,38,1,345,1,125,2,,,212,1,202,3,,,37,3,932,1,41,2,,,124,1,101,1,721,1,53,1,154,1,1570,4,43,1,,,236,3,70,1,146,1,50,1,30,1,1314,1,,,25,1,34,1,,,43,1,49,1,134,1,25,1,,,2254,3
2223,63376,2,,,,,,,,,,,1013,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,11,,,,,,,796,2,,,,,,,1989,13,,,,,,,,,11867,7,,,6494,2,,,,,,,666,2,,,3886,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,,,50,10,,,,,,,,,14688,1,2454,5,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,432,1,,,,,,,,,3,5,,,,,46,5,,,,,,,,,,,,,812,7,,,350,2,,,,,,,,,,,,,,,3618,1,,,,,4434,1,,,,,4550,4,,,,,,,,,,,,,,,22,2,,,227,1,,,,,54,6,,,,,180,10,,,,,,,,,209,5,,,,,1880,2,,,,,275,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2334,2
29351,39586,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2672,8,,,,,,,,,4142,24,,,158,49,154,2,,,,,76,22,,,166,65,,,,,,,,,,,,,,,,,,,246,7,,,,,,,,,,,34,27,15,5,,,,,,,,,,,,,,,106,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,2,113,2,,,,,,,,,,,,,,,,,,,,,,,,,,,96,41,,,,,,,,,,,,,,,,,,,651,8,,,,,,,,,,,28093,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,37,,,,,,,,,,,,,,,,,,,,,2085,1,,,,,,,,,329,3,,,,,,,,,,,,,,,,,,,,
10816,38595,4,,,,,,,,,,,473,3,,,,,,,,,,,,,15,2,140,7,,,,,,,,,,,13,3,,,38,5,,,,,,,201,7,,,,,116,6,2418,11,,,,,37,7,,,14888,3,,,3293,4,50,4,,,264,5,15,66,,,2634,5,,,,,,,,,,,,,,,,,,,285,6,16,6,,,118,8,,,,,305,5,,,,,158,8,,,,,,,,,2399,4,2709,4,,,,,,,,,,,11,3,280,4,,,,,,,,,,,,,,,,,26,5,,,,,,,,,,,,,,,,,,,,,,,9,2,,,838,6,9,7,169,5,11,1,,,,,,,,,,,,,1008,4,,,,,676,6,,,58,7,3551,5,,,,,,,,,,,,,33,5,,,62,6,,,,,,,,,,,,,419,4,,,,,,,11,3,,,,,19,2,531,7,,,,,107,5,,,,,,,,,150,6,,,,,13,2,,,,,,,,,,,,,19,109
1406,36417,5,30,2,,,,,,,,,40,11,,,,,,,,,,,,,,,225,4,,,,,,,,,,,,,,,34,6,,,,,,,127,10,,,15,2,189,2,2652,9,,,,,414,4,,,14666,4,13,3,2746,5,36,5,8,3,265,4,5,110,,,1932,8,29,1,,,,,9,2,,,,,,,,,,,424,4,,,,,318,2,,,,,204,9,23,3,6,2,955,2,,,,,,,9,5,1719,5,2139,7,,,7,3,9,4,,,,,,,,,,,,,,,9,4,,,,,,,92,4,,,,,,,,,,,,,,,28,6,,,,,,,,,,,,,1109,5,9,5,213,3,,,,,33,2,,,,,,,,,518,10,,,,,280,14,,,63,5,2051,7,,,,,,,8,2,12,2,,,406,1,,,23,11,20,10,,,,,309,2,,,,,472,3,,,,,,,,,,,,,,,196,9,,,,,83,6,,,,,,,,,183,5,,,,,6,3,,,,,,,,,3,3,,,1043,6
2397,36337,6,13,4,6,3,,,6,2,,,470,4,,,,,6,2,97,2,,,,,11,3,732,1,,,,,,,,,71,1,35,2,,,41,4,,,8,2,6,2,282,6,,,6,5,158,4,5302,3,,,,,518,2,,,12258,6,10,7,2029,7,16,11,8,5,2400,2,153,7,,,1943,7,,,,,5,3,,,,,,,5,2,,,,,743,3,,,13,2,129,7,,,,,305,4,33,2,3,3,32,11,,,,,5,3,15,3,1034,6,1587,9,,,,,,,41,2,16,2,,,41,16,10,2,,,,,7,7,,,,,3,2,50,8,35,4,,,,,26,2,7,4,,,,,10,8,,,,,,,,,,,,,397,14,8,8,190,4,,,,,5,5,,,,,5,2,,,704,6,7,2,,,754,3,,,,,1220,12,,,,,,,3,6,,,,,49,3,,,55,8,57,6,,,,,87,4,,,,,384,5,4,3,,,5,7,,,52,8,,,3,4,1179,5,,,,,,,9,3,,,,,3,2,63,8,7,1,,,4,4,,,,,,,,,5,2,,,338,15
2181,24565,7,,,,,,,,,,,,,,,,,,,,,12,2,,,,,343,3,,,,,,,,,,,,,,,11,25,,,,,,,122,12,,,,,180,3,1538,16,,,,,219,5,,,7578,11,12,5,1548,10,68,3,8,4,,,409,4,,,1486,11,,,,,,,,,,,,,,,,,,,229,8,,,,,79,10,,,,,301,6,,,,,671,4,,,,,,,17,2,108,64,978,13,,,,,,,29,3,,,,,25,25,,,,,,,,,,,,,,,62,6,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,568,11,17,2,141,6,,,,,,,,,,,,,,,1375,3,,,,,414,10,,,120,3,2386,6,,,,,,,6,4,,,,,25,6,,,60,7,37,8,,,,,,,8,2,,,732,2,,,,,,,,,324,2,,,,,977,6,,,,,170,4,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1145,5
2093,24207,8,,,,,,,,,,,41,10,,,,,,,15,3,,,,,,,33,12,,,,,116,2,10,2,,,,,,,26,10,7,2,,,,,95,14,,,,,40,17,980,25,,,,,,,,,9287,10,12,4,1027,17,,,,,30,12,62,26,,,777,20,,,,,,,,,21,2,,,,,,,,,59,21,12,7,,,28,13,,,,,81,22,,,,,92,9,,,,,,,,,657,15,5392,1,,,15,2,,,,,1,3,,,183,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,3,,,,,,,,,,,,,197,22,,,48,14,,,,,,,,,,,,,,,257,20,,,,,281,13,,,,,1443,11,,,,,9,2,,,,,,,,,,,22,12,14,13,,,,,,,21,1,,,116,17,,,4,2,,,,,253,3,,,,,56,21,,,,,39,12,,,,,,,,,307,4,,,,,,,,,43,2,,,,,,,15,1,1929,4
463,23764,9,,,10,2,,,,,,,,,,,,,,,,,,,,,,,48,11,,,,,,,,,10,6,,,,,17,16,,,,,,,300,5,,,,,56,13,2143,12,,,,,,,,,13029,5,28,2,,,17,10,,,,,136,8,,,,,,,,,,,,,,,,,,,,,,,87,14,,,,,20,14,,,,,110,16,,,,,23,13,,,,,,,,,949,8,2275,6,,,,,,,,,,,,,37,18,,,,,,,7,6,,,,,,,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,15,5,10,64,10,,,,,,,,,,,,,,,471,12,,,,,698,5,,,,,2007,8,,,,,,,,,,,,,,,,,,,19,12,,,,,11,9,,,,,187,9,,,,,,,,,33,9,,,,,54,24,,,,,49,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,9
2162,22968,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,,,,,15,20,,,,,,,113,13,,,,,15,32,1332,18,,,,,,,,,9484,8,,,1,131,,,,,,,76,21,,,835,18,,,,,6,2,,,,,,,,,,,,,16,42,,,,,,,,,,,204,10,,,,,,,,,,,,,2,8,660,14,18,89,,,,,,,20,4,,,,,149,8,,,,,,,,,,,,,,,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,47,9,6,,,,,,,,,,,,,,,,,679,7,,,,,130,25,,,13,12,8275,2,,,,,,,,,,,,,10,8,,,,,10,16,,,,,,,,,,,100,19,,,,,,,,,,,,,,,63,18,,,,,76,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,8
