bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
171,117661,1,120,1,65,1,30,1,,,64,1,2558,1,17,1,25,1,22,1,277,1,25,1,22,1,42,1,457,2,24,1,48,1,125,1,17,1,48,1,147,1,22,1,343,1,23,1,22,1,30,1,852,1,18,1,33,1,560,1,5639,1,18,1,24,1,423,3,,,33328,1,87,1,17399,1,566,1,58,1,1811,1,947,1,26,1,4384,1,18,1,28,1,27,1,16,1,20,1,51,1,65,1,1236,1,838,1,32,1,380,1,21,1,1,1,818,1,170,1,21,1,1537,1,13,1,20,1,33,1,91,1,4162,1,4021,3,15,1,39,2,245,1,269,1,83,1,636,3,17,1,,,33,1,59,1,32,1,14,1,16,1,360,2,252,1,19,1,,,104,1,50,1,57,1,217,1,105,2,18,1,25,1,13,1,29,1,29,1,21,1,1304,2,36,1,697,1,,,29,1,18,1,19,1,25,1,,,2437,1,28,1,26,1,4309,1,18,1,470,1,9067,3,24,1,33,1,19,1,20,1,20,1,18,1,188,2,33,1,388,1,148,1,,,214,1,911,1,,,20,2,1264,1,28,2,,,86,1,102,1,2,1,604,1,31,1,172,1,2549,1,22,1,,,386,2,39,1,107,1,52,1,13,1,2194,1,,,18,1,,,26,1,,,38,1,15,1,17,1,19,1,2236,1
1406,49094,2,16,2,,,,,,,,,37,10,,,,,,,,,,,,,,,259,3,,,,,,,,,,,,,,,83,2,,,,,,,224,7,,,13,2,333,2,3567,4,,,,,430,2,,,20775,2,25,2,3063,2,54,4,6,5,178,3,11,68,,,3351,2,,,,,,,,,,,,,,,787,2,,,,,217,4,,,,,204,5,19,2,5,2,1152,2,,,,,,,6,5,2382,2,2055,7,2,3,17,3,,,,,,,,,,,,,,,6,5,,,,,,,102,5,,,,,,,,,,,,,,,88,3,,,,,,,,,,,,,1569,1,8,6,191,5,,,8,3,,,,,,,,,650,8,,,,,451,9,,,68,6,3847,4,,,,,,,9,2,9,2,,,279,1,,,29,12,,,,,,,349,2,,,,,489,3,,,,,,,,,,,,,,,,,198,8,,,,,131,4,,,,,,,,,189,4,,,,,,,4,3,,,,,,,,,2,3,1147,5
10816,36515,3,,,,,,,,,,,294,4,,,,,,,,,,,,,5,3,119,7,,,,,,,,,,,4,3,,,37,8,,,,,,,176,10,,,,,198,3,3377,5,,,,,39,9,,,15528,4,,,2559,3,39,5,,,140,5,15,57,,,1904,4,,,,,,,,,,,,,,,348,4,4,7,,,99,8,,,,,246,4,,,,,166,9,,,,,,,,,1132,5,2212,6,,,,,,,,,6,3,258,7,,,,,,,,,,,,,,,,,34,5,,,,,,,,,,,,,,,,,,,,,,,5,2,,,932,5,3,17,208,3,6,1,,,,,,,,,,,923,4,,,,,849,5,,,63,7,3511,6,,,,,,,,,,,,,36,4,,,61,9,,,,,,,,,,,,,461,4,,,,,,,3,4,,,,,,,4,4,301,7,,,,,92,6,,,,,,,,,102,6,,,,,,,3,4,,,,,,,,,,,13,102
2397,33525,4,13,3,7,2,,,6,1,,,415,3,,,,,3,2,63,2,,,,,9,2,472,1,,,,,,,,,36,3,25,2,,,54,6,,,9,2,9,2,268,5,,,4,7,126,7,4276,3,,,,,196,4,,,12361,6,14,5,1685,7,20,10,6,6,1414,2,186,7,,,1685,5,,,7,3,,,,,,,16,2,,,605,3,,,7,2,137,5,,,,,255,3,15,3,4,3,44,11,,,,,7,2,17,2,665,9,1495,8,,,,,25,2,13,2,,,27,24,10,2,,,,,7,2,,,,,6,2,83,6,47,4,,,,,24,2,5,5,,,,,9,8,,,,,,,,,,,,,419,17,5,11,188,6,,,4,5,,,,,5,2,,,670,6,2,2,,,702,6,,,,,1681,11,,,,,,,6,4,,,,,52,3,,,66,6,45,5,,,,,42,5,,,,,396,5,32,1,,,5,7,,,,,51,8,,,5,3,1759,2,,,,,,,7,2,,,,,4,2,52,9,20,1,,,,,7,2,,,,,,,,,3,2,405,12
2223,30795,5,,,,,,,,,,,513,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,17,,,,,,,331,3,,,,,,,1334,17,,,,,,,,,10268,10,,,147,50,,,,,,,771,2,,,1326,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,,,190,8,,,,,,,,,2378,3,2362,4,,,6,5,,,,,,,,,,,,,,,,,,,,,,,372,1,,,,,,,,,,,,,,,88,4,,,,,,,,,,,,,579,15,,,269,2,,,,,,,,,,,,,1326,3,,,,,2297,2,,,,,3583,5,,,,,,,,,,,,,,,9,2,,,76,2,,,,,36,6,,,,,156,13,,,,,,,,,,,190,2,,,,,408,6,,,,,154,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1594,4
2162,27933,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,,,,,5,48,,,,,,,101,13,,,,,6,56,1693,13,,,,,,,,,11950,7,,,3,125,,,,,,,98,18,,,940,15,,,2,4,,,,,,,,,,,11,42,,,,,,,,,,,174,8,,,,,,,,,,,,,,,672,8,7,93,,,,,2,4,,,,,175,8,,,,,,,,,,,,,,,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,50,3,15,,,,,,,,,,,,,,,641,9,,,,,213,20,,,28,11,10334,2,,,,,,,,,,,,,5,6,,,,,6,13,,,,,,,,,,,110,18,,,,,,,,,,,,,,,,,49,19,,,,,13,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596,9
29351,25145,7,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658,14,,,,,,,,,5808,17,,,141,53,114,2,,,,,89,23,,,120,84,,,,,,,,,,,,,,,190,8,,,,,,,,,,,18,34,9,5,,,,,,,,,,,,,,,65,54,,,,,,,,,,,,,,,,,,,,,,,,,,,242,3,82,2,,,,,,,,,,,,,,,,,,,,,,,,,,,61,58,,,,,,,,,,,,,,,,,251,23,,,,,,,,,,,14790,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,41,,,,,,,,,,,,,,,,,,,,,,,1307,1,,,,,,,,,166,5,,,,,,,,,,,,,,,,,,,,
2181,25033,8,,,,,,,,,,,,,,,,,,,,,9,2,,,,,142,5,,,,,,,,,,,,,,,29,10,,,,,,,163,11,,,,,126,6,1492,16,,,,,187,5,,,9425,11,17,3,1470,9,100,3,3,10,,,267,4,,,1333,9,,,,,,,,,,,,,,,304,5,,,,,108,7,,,,,170,9,,,,,353,5,,,,,,,14,3,71,78,1493,9,,,,,22,3,,,,,14,39,,,,,,,,,,,,,,,41,8,27,6,,,,,,,,,,,,,,,,,,,,,,,,,,,767,8,12,4,198,4,,,,,,,,,,,,,1336,2,,,,,294,14,,,121,3,2224,9,,,,,,,1,7,,,,,,,,,79,3,24,8,,,,,,,3,3,,,880,2,,,,,,,,,,,173,4,,,,,684,5,,,,,103,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,751,7
463,24303,9,,,4,3,,,,,,,,,,,,,,,,,,,,,,,36,10,,,,,,,,,9,6,,,,,25,12,,,,,,,257,6,,,,,79,14,2130,11,,,,,,,,,13096,5,,,,,11,11,,,,,170,8,,,,,,,,,,,,,,,,,,,78,17,,,,,22,13,,,,,88,20,,,,,31,13,,,,,,,,,913,6,2255,5,,,,,,,,,,,80,10,,,,,,,,,,,,,,,23,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,16,8,5,53,14,,,,,,,,,,,,,461,15,,,,,945,3,,,,,2220,10,,,,,,,,,,,,,,,,,,,27,7,,,,,14,8,,,,,164,12,,,,,,,,,,,67,7,,,,,79,17,,,,,38,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,10
2093,23421,10,,,,,,,,,,,22,12,,,,,,,11,3,,,,,,,26,12,,,,,5,4,6,2,,,,,,,21,16,3,2,,,,,78,16,,,,,36,20,956,27,,,,,,,,,9273,12,13,6,1233,13,,,,,24,10,71,26,,,632,27,,,,,,,7,2,,,,,,,41,26,6,6,,,19,14,,,,,81,21,,,,,107,10,,,,,,,,,391,27,5223,2,12,2,,,,,,,,,416,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,6,,,,,,,,,,,,,197,27,,,31,24,,,,,,,,,,,,,222,26,,,,,252,15,,,,,1536,12,,,,,6,2,,,,,,,,,,,30,11,10,11,,,,,,,16,1,,,107,19,,,,,,,,,,,163,5,,,,,43,21,,,,,34,15,,,,,,,,,274,3,,,,,,,,,,,20,2,,,,,,,1722,3
