bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,108210,1,102,1,50,1,21,1,19,1,24,1,2923,1,20,1,21,1,19,1,542,1,32,1,27,1,19,1,,,72,1,520,2,41,1,68,1,309,1,19,1,34,1,246,1,25,1,246,1,18,1,14,1,32,1,948,1,14,1,28,1,485,2,6618,2,32,1,16,1,482,3,,,31654,1,43,1,9540,1,389,1,76,1,2522,1,1923,1,37,1,4271,2,,,21,1,41,1,23,1,15,1,15,1,47,1,230,1,20,1,1588,1,2416,1,34,1,409,3,21,1,13,1,1083,1,198,1,22,1,2352,2,21,1,36,1,24,1,68,1,3509,3,3008,3,27,1,34,1,19,1,338,1,802,1,128,1,400,3,22,1,,,67,1,71,1,21,1,35,1,20,1,322,2,238,1,20,1,16,1,,,148,1,71,1,125,1,1024,1,134,2,30,1,14,1,27,1,33,1,20,1,16,1,1088,5,39,1,568,3,,,15,1,21,1,19,1,15,1,19,1,23,1,,,28,1,2209,2,14,1,25,1,2455,2,21,1,407,1,7566,2,24,1,23,1,20,1,25,1,21,1,17,1,123,3,56,1,473,1,267,1,,,377,1,367,3,,,29,2,1123,1,26,1,,,273,1,,,119,1,2,1,478,1,55,1,105,1,572,1,26,1,,,395,3,46,1,257,1,64,1,18,1,1579,1,,,17,1,,,15,1,,,25,1,24,1,15,1,30,1,21,1,,,2594,4
1406,68499,2,40,2,,,,,,,,,15,18,,,,,10,4,,,,,,,,,,,,,357,3,,,,,,,,,,,,,,,68,6,,,,,,,190,12,,,13,2,323,3,5584,4,,,,,971,1,,,20751,3,15,3,4861,2,82,4,19,2,381,5,1661,3,,,2862,5,35,1,,,,,8,2,,,,,,,,,,,528,5,,,,,2699,1,,,,,413,10,52,2,10,2,3050,1,,,,,,,19,3,2702,6,3352,2,,,17,3,17,2,,,,,,,,,,,,,,,13,3,,,,,,,93,5,,,,,,,,,,,,,,,,,75,3,,,,,,,,,,,,,1847,2,11,5,933,1,,,,,,,,,,,,,,,,,,,744,9,,,,,553,10,,,127,7,2886,5,,,,,,,5,4,8,3,,,2684,1,,,45,12,77,7,,,,,4489,1,,,,,731,3,,,,,,,,,,,,,,,,,,,114,6,,,,,221,4,,,,,,,,,130,6,,,,,,,5,4,,,,,,,,,,,8,3,,,1595,6
2223,60319,3,,,,,,,,,,,506,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,18,,,,,,,793,2,,,,,,,2062,17,,,,,,,,,12737,7,,,3557,3,,,,,1792,3,1832,2,,,2727,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,3,,,164,7,,,,,,,,,12953,1,2512,6,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,547,1,,,,,,,,,,,8,5,,,,,64,4,,,,,,,,,,,,,599,13,,,683,2,,,,,,,,,,,,,,,,,,,4073,1,,,,,6036,1,,,,,2520,7,,,,,,,,,,,,,,,13,2,,,132,2,,,,,85,5,,,,,260,20,,,,,,,,,,,,,246,2,,,,,421,2,,,,,534,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2380,5
10816,43153,4,,,,,,,,,,,507,3,,,,,18,2,,,,,,,9,2,,,11,3,131,9,,,,,,,,,,,13,3,,,34,16,,,,,,,267,9,,,,,215,5,3470,9,,,,,163,7,,,16680,4,,,2993,5,69,5,,,330,6,392,14,,,2884,4,,,,,,,,,,,,,,,,,,,266,7,43,5,,,132,9,,,,,448,7,,,,,216,6,,,,,,,,,2736,5,2852,4,,,,,,,,,,,13,2,243,5,,,,,,,,,,,,,,,,,53,5,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,968,9,12,4,193,9,11,1,,,,,,,,,,,,,,,,,974,4,,,,,959,5,,,111,8,3502,4,,,,,,,,,,,,,56,5,,,90,6,,,,,,,,,,,,,607,4,,,,,,,,,12,3,,,,,,,16,3,94,8,,,,,132,6,,,,,,,,,189,5,,,,,,,13,2,,,,,,,,,,,,,,,15,102
2397,38932,5,21,3,16,2,,,10,2,,,649,2,,,,,12,3,122,2,,,12,3,,,,,10,4,530,1,,,,,16,4,,,32,2,27,2,,,51,7,,,9,2,8,2,383,5,,,9,5,626,1,4014,8,,,,,336,4,,,14407,5,13,5,1969,12,33,9,10,4,2437,2,380,15,,,1869,9,,,,,7,2,,,,,,,22,2,,,,,1179,2,,,11,2,197,5,,,,,461,5,38,4,7,3,354,3,,,,,10,2,36,2,1196,14,1478,12,,,,,,,57,3,25,2,,,30,25,13,2,,,,,12,4,,,,,3,4,68,7,78,4,,,,,,,50,2,10,3,,,,,10,8,,,,,,,,,,,,,521,16,14,3,348,4,,,,,13,2,,,,,,,5,2,,,,,747,8,6,2,,,679,9,,,,,1245,14,,,,,,,8,3,,,,,56,4,,,105,3,51,8,,,,,178,4,,,,,604,5,7,3,,,15,5,,,,,,,62,9,,,22,2,244,4,,,,,74,11,16,3,,,,,11,2,82,7,23,1,,,,,10,3,,,,,,,,,,,12,2,,,411,13
50381,34450,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,19,,,,,,,,,,,30173,2,,,835,22,,,,,14,18,365,16,,,579,42,,,,,,,,,,,,,,,,,,,224,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1272,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093,26483,7,,,,,,,,,,,73,10,,,,,,,12,3,,,,,,,,,,,46,11,,,,,8,5,8,2,,,,,,,33,17,9,2,,,,,168,13,,,,,72,18,1296,29,,,,,,,,,10523,9,15,4,1050,16,,,,,43,15,103,31,,,911,25,,,,,,,,,6,2,,,,,,,7,2,96,19,12,7,,,35,13,,,,,92,21,12,5,,,75,12,,,,,,,,,592,27,4444,1,,,21,2,10,4,,,6,3,,,194,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,7,,,,,,,,,,,,,337,24,,,38,28,,,,,,,,,,,,,,,,,,,227,27,,,,,400,16,,,,,1443,9,,,,,9,2,,,,,,,,,,,31,14,18,13,,,,,,,15,1,,,337,16,,,8,2,,,,,,,,,214,3,,,,,38,16,,,,,38,16,,,,,,,,,416,3,,,,,,,,,,,21,2,,,,,,,,,7,1,2898,2
13,26189,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,4,,,,,,,271,8,,,2,9,82,16,2021,19,,,,,27,11,,,12746,6,,,2684,6,,,3,11,,,,,4,2,1171,18,,,,,,,,,,,1,4,,,,,,,866,3,,,,,,,,,,,441,9,,,,,,,,,,,,,,,727,23,1705,9,,,,,,,,,,,,,140,10,,,,,,,,,,,,,,,,,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,137,5,11,84,19,,,,,,,,,,,,,,,,,,,534,14,,,,,504,12,,,132,5,973,16,,,,,,,,,,,,,,,,,35,13,81,5,,,,,58,6,,,,,374,12,,,,,,,,,,,,,,,,,,,37,17,,,,,,,,,,,,,,,17,12,,,,,,,,,,,,,,,,,,,,,,,368,19
2243,24535,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,13,,,,,,,,,,,,,,,7,59,,,,,,,,,,,,,,,8474,1,,,,,,,,,7074,18,,,,,,,,,,,,,,,2240,8,,,,,,,,,,,,,,,,,,,,,,,,,152,8,,,,,296,13,,,,,,,,,,,,,,,941,18,162,43,,,,,,,,,,,,,26,28,,,,,,,,,,,,,,,68,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,6,,,,,,,,,,,,,,,,,,,,,,,870,6,,,,,1273,3,,,35,10,940,18,,,,,,,5,5,,,,,,,,,,,89,4,,,,,717,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,49
1294,23634,10,,,,,,,,,,,43,11,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,21,,,,,,,,,,,,,78,17,3166,11,,,,,,,,,9672,11,4,25,1552,13,,,,,,,415,13,,,3026,3,,,,,,,,,,,,,9,3,,,,,172,11,,,,,,,,,,,445,8,,,,,79,11,,,,,5,4,,,2510,8,,,,,,,,,,,,,,,43,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,692,11,,,63,22,,,,,1,5,,,,,,,,,,,,,155,30,,,,,,,,,,,753,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,15,,,,,,,,,,,,,,,,,,,35,20,,,,,10,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,20
