,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
0,1,171,90001,152,1,44,1,18,1,,,31,1,2029,1,15,1,22,1,29,1,108,1,21,1,15,1,25,1,278,2,28,1,29,1,107,1,9,1,35,1,117,1,16,1,166,1,18,1,19,1,27,1,446,2,16,1,30,1,500,2,5371,3,19,1,15,1,312,4,,,29670,1,43,1,11183,1,367,1,42,1,1038,2,1063,1,33,1,3056,3,28,1,20,1,25,1,20,1,10,2,39,1,102,1,846,1,513,1,21,1,290,3,18,1,1120,1,59,1,27,1,1278,1,29,1,24,1,23,1,45,1,3813,3,3209,3,20,1,38,1,103,1,51,1,82,1,529,3,30,1,10,1,57,1,29,1,19,1,20,1,211,3,138,1,11,1,,,46,1,34,1,30,1,215,1,166,2,18,1,15,1,18,1,23,1,21,1,11,1,1074,6,36,1,552,2,,,13,1,16,1,16,1,23,1,,,2347,1,22,1,5,1,2938,1,13,1,231,1,5704,3,19,1,18,1,11,1,28,1,20,1,8,1,120,2,20,1,257,1,121,2,,,142,1,156,3,,,30,1,964,1,33,1,,,78,1,27,1,2,1,378,1,18,1,160,1,1160,3,22,1,,,120,5,24,1,53,1,32,1,12,1,1009,1,,,20,1,,,32,1,,,26,1,18,1,34,1,19,1,1754,2
1,2,29351,50522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2077,12,,,,,,,,,12729,8,,,164,44,171,2,,,,,137,10,,,168,63,,,,,,,,,,,,,,,93,13,,,,,,,,,22,30,12,3,,,,,,,,,,,,,,,75,45,,,,,,,,,,,,,,,,,,,,,,,,,300,2,87,2,,,,,,,,,,,,,,,,,,,,,,,,,,,93,44,,,,,,,,,,,,,,,,,436,12,,,,,,,,,,,31085,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,35,,,,,,,,,,,,,,,,,,,,,,,2614,1,,,,,,,,,211,5,,,,,,,,,,,,,,,,,,,,
2,3,10816,42798,,,,,,,,,,,343,4,,,,,,,,,,,,,4,3,133,6,,,,,,,,,,,6,3,,,40,7,,,,,,,245,6,,,,,316,3,3646,5,,,,,35,7,,,18033,4,,,3328,3,54,4,,,114,5,12,77,,,2906,4,,,,,,,,,,,,,,,208,4,6,7,,,118,7,,,423,3,,,,,212,7,,,,,,,,,1796,4,2417,4,,,,,,,,,3,3,276,7,,,,,,,,,,,,,,,22,6,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1274,5,3,18,310,5,6,1,,,,,,,,,,,1078,4,,,,,798,5,,,81,5,3144,5,,,,,,,,,,,,,57,4,,,116,3,,,,,,,,,,,,,626,4,,,,,,,7,3,,,,,,,7,4,366,7,,,,,94,6,,,,,,,,,119,6,,,,,,,5,4,,,,,,,,,,,9,128
3,4,2223,42474,,,,,,,,,,,987,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,,,,,,,654,1,,,,,,,1815,14,,,,,,,,,11252,10,,,263,34,,,,,,,955,2,,,3086,2,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,,,198,8,,,,,,,,,6645,1,2006,6,,,,,,,,,,,,,,,,,,,,,,,,,409,1,,,,,,,,,,,,,,,42,5,,,,,,,,,,,,,983,7,,,676,1,,,,,,,,,,,,,2278,2,,,,,2497,2,,,,,3559,4,,,,,,,,,,,,,,,6,2,,,226,1,,,,,58,4,,,,,250,9,,,,,,,,,,,116,5,,,,,891,4,,,,,214,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2378,1
4,5,1406,40909,16,2,,,,,,,,,29,12,,,,,,,,,,,,,,,184,3,,,,,,,,,,,,,,,42,5,,,,,,,163,8,,,11,3,617,1,2963,7,,,,,474,2,,,16851,5,20,3,3437,2,21,8,15,3,147,4,8,92,,,2595,5,,,,,1,4,,,,,,,,,355,3,,,,,362,1,,,204,7,10,5,3,3,1021,2,,,,,,,7,6,1651,5,1352,8,9,3,17,3,,,,,,,,,,,,,11,4,,,,,,,69,5,,,,,,,,,,,,,,,31,7,,,,,,,,,,,,,1824,2,14,5,381,3,,,8,4,,,,,,,,,490,9,,,,,460,8,,,108,3,2274,8,,,,,,,3,5,9,2,,,413,1,,,37,10,,,,,,,206,2,,,,,564,6,,,,,,,,,,,,,,,,,183,9,,,,,88,7,,,,,,,,,212,4,,,,,,,8,3,,,,,,,,,6,3,925,5
5,6,2397,35990,15,4,15,2,,,15,1,,,427,3,,,,,20,2,46,2,,,,,7,2,471,1,,,,,,,,,21,2,39,2,,,42,6,,,5,2,6,2,178,7,,,13,2,212,4,5492,1,,,,,365,3,,,13105,7,23,2,2046,6,27,6,13,5,1370,1,172,6,,,2098,7,,,10,2,,,,,,,16,2,,,591,2,,,8,2,166,6,,,193,8,11,4,8,2,25,12,,,,,9,2,10,5,813,7,1428,7,,,,,25,2,7,2,,,22,26,11,2,,,17,2,,,,,7,2,55,7,43,3,,,,,29,2,8,3,,,,,10,8,,,,,,,,,,,,,561,12,14,7,365,4,,,8,5,,,,,6,2,,,429,13,5,2,,,423,9,,,,,1307,10,,,,,,,10,4,,,,,70,3,,,77,4,34,8,,,,,51,5,,,,,583,5,13,3,,,3,7,,,,,30,8,,,9,2,1907,2,,,,,,,8,3,,,,,6,2,47,9,15,1,,,,,21,2,,,,,,,,,11,2,212,18
6,7,463,30988,,,11,3,,,,,,,,,,,,,,,,,,,,,,,37,11,,,,,,,,,6,7,,,,,20,14,,,,,,,262,5,,,,,102,9,2724,9,,,,,,,,,18077,3,,,,,15,11,,,,,233,4,,,,,,,,,,,,,,,,,,,110,10,,,,,45,13,,,135,14,,,,,37,11,,,,,,,,,1293,6,2165,5,,,,,,,,,,,77,12,,,,,,,,,,,,,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,16,8,11,60,20,,,,,,,,,,,,,626,7,,,,,1086,3,,,,,2401,7,,,,,,,,,,,,,,,,,,,37,7,,,,,29,8,,,,,224,11,,,,,,,,,,,49,7,,,,,110,12,,,,,27,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,7
7,8,2162,26850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,9,34,,,,,,,10,43,,,,,11,42,1568,17,,,,,,,,,11052,11,,,2,125,,,,,,,98,15,,,917,17,,,3,4,,,,,,,,,,,13,40,,,,,,,,,241,5,,,,,,,,,,,,,5,7,630,11,5,94,,,,,3,4,,,,,92,10,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,50,3,17,,,,,,,,,,,,,,,746,6,,,,,210,19,,,20,12,10494,2,,,,,,,,,,,,,10,5,,,,,6,12,,,,,,,,,,,115,18,,,,,,,,,,,,,,,,,74,16,,,,,16,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,10
8,9,2093,25663,,,,,,,,,,,32,9,,,,,,,18,3,,,,,,,18,14,,,,,5,4,6,2,,,,,,,36,8,4,2,,,,,118,11,,,,,38,21,791,28,,,,,,,,,13723,6,10,9,1018,12,,,,,12,12,62,24,,,601,23,,,,,,,18,2,,,,,,,35,24,8,6,,,46,12,,,92,22,,,,,123,10,,,,,,,,,478,17,3614,2,11,2,,,,,2,3,,,365,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,3,,,,,,,,,,,,,236,21,,,52,23,,,,,,,,,,,,,167,26,,,,,241,16,,,,,1082,13,,,,,8,2,,,,,,,,,,,17,15,9,11,,,,,,,14,2,,,181,15,,,,,,,,,,,171,3,,,,,30,23,,,,,29,15,,,,,,,,,356,3,,,,,,,,,,,14,2,,,,,,,1636,3
9,10,2243,21580,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17,,,,,,,,,,,,,,,10,28,,,,,,,,,,,,,,,5408,2,,,,,,,,,6479,20,,,,,,,,,,,,,,,2519,6,,,,,,,,,,,,,,,,,,,,,95,8,,,103,19,,,,,,,,,,,,,,,613,12,121,37,,,,,,,,,,,,,,,,,,,,,,,,,64,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973,1,,,,,,,,,,,,,,,,,2209,3,,,,,479,7,,,59,8,832,14,,,,,,,20,2,,,,,,,,,,,84,4,,,,,469,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,58
