bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,130038,1,162,1,37,1,36,1,36,1,19,1,2839,1,20,1,27,1,50,1,604,1,39,1,35,1,20,2,,,43,1,562,1,126,1,321,1,503,1,23,2,46,1,320,1,23,1,293,1,20,1,15,1,51,1,1015,1,20,1,61,1,404,3,5794,1,27,1,22,1,496,3,28,1,34466,1,69,1,21390,1,509,1,100,1,2584,2,1305,3,33,1,4904,1,,,26,1,30,1,69,1,20,1,24,1,41,1,58,1,89,1,20,1,,,1665,1,2454,1,246,1,436,2,23,1,30,1,1138,1,334,1,,,29,1,2044,1,20,1,20,1,29,1,128,1,4409,2,2583,4,30,1,33,1,24,3,558,1,452,1,151,1,403,2,31,1,,,67,1,52,1,41,1,26,1,23,1,27,1,392,1,277,1,20,1,20,1,25,2,169,1,163,1,138,1,1877,1,173,2,32,1,63,1,20,1,33,1,22,2,16,1,1308,4,47,1,590,1,19,1,,,25,1,23,1,28,1,25,1,13,1,26,1,,,30,1,3526,2,18,1,33,1,3847,2,21,1,48,1,695,1,6850,2,18,1,22,1,14,2,18,1,22,1,44,1,27,1,18,1,138,3,119,1,477,2,275,1,,,332,1,387,3,,,22,2,932,1,49,1,,,195,2,,,511,1,4,1,513,2,35,1,167,1,473,2,27,1,,,725,2,121,1,416,1,137,1,22,1,3182,1,,,21,1,,,21,2,,,39,1,23,1,27,1,21,1,38,1,,,2414,4
1406,60925,2,77,2,,,,,,,,,8,22,,,,,30,2,56,3,,,,,,,,,,,389,3,,,,,,,,,,,,,,,81,5,,,,,,,336,6,,,19,3,536,2,4307,2,,,,,688,1,,,23338,2,25,3,3764,3,83,5,28,2,328,6,1450,2,,,3599,4,121,1,,,,,22,2,,,,,,,,,,,,,,,639,4,,,,,446,1,,,,,839,2,40,4,,,27,2,1943,2,,,,,,,21,4,2328,3,3108,2,,,25,2,26,2,,,,,,,,,,,,,,,20,2,,,,,,,,,102,4,57,7,,,,,,,,,,,,,,,83,4,,,,,,,,,,,,,2106,1,20,2,350,3,,,,,,,,,,,,,,,,,,,,,1006,8,,,,,838,4,,,,,266,3,4372,4,,,,,,,,,,,29,2,22,2,,,493,1,,,59,12,67,6,,,,,260,4,,,,,521,4,,,,,,,,,,,,,,,,,,,82,8,,,,,271,5,29,2,,,,,,,174,8,,,,,,,17,3,,,19,4,,,,,,,20,2,,,915,10
2223,56571,3,,,,,,,,,,,776,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,8,,,,,,,748,2,,,,,167,7,1752,15,,,,,,,,,13051,4,,,4333,2,,,,,2316,3,1738,1,,,3777,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,2,,,,,220,8,,,,,,,,,4954,1,1941,6,,,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,246,2,,,,,,,,,,,10,6,,,,,100,3,,,,,,,,,,,,,783,12,,,482,2,,,,,,,,,,,,,,,,,,,,,4514,1,,,,,6591,1,,,,,,,2839,7,,,,,,,,,,,,,,,,,,,12,3,,,159,2,,,,,75,7,,,,,302,8,,,,,,,,,,,,,412,4,,,,,602,1,,,,,494,3,,,,,,,,,786,3,,,,,,,,,,,9,7,,,,,,,,,,,2249,6
10816,38973,4,,,,,,,,,,,306,6,,,,,22,3,,,,,,,24,1,,,28,2,105,9,,,,,,,,,,,26,2,,,49,14,,,,,,,439,4,,,,,181,6,3814,5,,,,,114,8,,,11629,8,,,2782,4,99,3,,,478,5,371,7,,,2161,6,,,,,,,,,,,,,,,,,,,,,,,382,6,64,6,,,148,9,,,,,391,6,,,,,,,356,6,,,,,,,,,2100,5,1583,9,,,,,,,,,,,25,2,210,6,,,,,,,,,,,,,,,,,,,82,4,,,,,,,,,,,,,,,,,,,,,,,,,26,1,,,779,13,20,3,230,5,,,27,1,,,,,,,,,,,,,,,,,1325,4,,,,,1518,3,,,,,159,7,3464,6,,,,,,,,,,,,,,,,,33,4,,,94,7,,,,,,,92,6,,,,,548,3,,,,,,,,,36,3,,,,,,,24,2,95,6,,,,,144,7,,,,,,,,,293,6,,,,,,,29,1,,,35,2,,,,,,,,,,,2033,7
2397,35003,5,9,4,10,3,,,12,2,,,888,2,,,,,13,5,117,2,,,14,2,,,,,10,4,400,2,,,,,13,6,,,34,2,20,3,,,66,9,,,11,2,10,2,326,7,,,11,5,392,4,3143,8,,,,,334,4,,,12201,6,12,8,1936,8,49,8,13,5,3002,1,233,16,,,1994,7,,,,,9,2,,,,,,,,,30,2,,,,,,,717,3,,,14,2,176,7,,,,,542,4,54,3,,,18,3,60,11,,,,,4,5,14,5,951,12,1328,11,,,,,,,91,2,33,2,,,37,19,15,2,,,,,13,4,,,,,13,2,8,4,47,7,52,8,,,,,,,69,2,8,7,,,,,13,8,,,,,,,,,,,,,423,18,5,12,234,4,,,,,,,10,3,,,,,,,9,3,,,,,744,9,8,2,,,586,8,,,,,,,1553,10,,,,,,,,,,,6,6,,,,,28,5,,,103,6,52,7,,,,,127,5,,,,,391,6,14,3,,,24,4,,,,,,,82,8,,,9,3,214,4,,,,,123,10,18,4,,,,,15,2,80,11,22,1,,,,,11,4,,,12,5,,,,,,,14,3,,,497,14
2093,29553,6,,,,,,,,,,,63,13,,,,,,,17,6,,,,,,,,,,,79,10,,,,,17,5,24,1,,,,,,,59,10,14,2,,,,,68,24,,,,,42,26,1339,22,,,,,,,,,12384,5,8,15,1541,13,,,,,80,15,149,24,,,937,22,,,,,,,,,18,2,,,,,,,,,16,2,,,77,24,17,7,,,60,13,,,,,71,24,13,6,,,,,114,10,,,,,,,,,599,21,4630,1,,,20,3,12,4,,,2,4,,,161,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,7,,,,,,,,,,,,,369,22,,,46,23,,,,,,,,,,,,,,,,,,,,,365,23,,,,,480,9,,,,,,,1442,11,,,,,16,1,,,,,,,,,,,,,,,47,13,20,12,,,,,,,23,1,,,291,11,,,15,2,,,,,,,,,292,6,,,,,35,16,,,,,60,18,,,,,,,,,548,4,,,,,,,,,,,20,3,,,,,,,,,21,1,2800,2
2181,24347,7,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,275,5,,,,,,,,,,,,,,,22,28,,,,,,,145,15,,,,,116,9,1579,17,,,,,324,5,,,8223,14,13,7,1250,17,120,2,16,3,,,154,23,,,1332,11,,,,,,,,,,,,,,,,,,,,,,,335,7,,,,,87,10,,,,,223,13,,,,,,,519,4,,,,,,,25,2,727,17,781,15,,,,,,,47,3,,,,,35,21,,,,,,,,,,,,,,,14,2,34,9,63,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934,8,16,5,185,6,,,,,,,,,,,,,,,,,,,,,1205,6,,,,,324,16,,,,,197,6,2197,8,,,,,,,,,,,19,3,,,,,27,6,,,78,11,36,9,,,,,29,12,17,2,,,686,2,,,,,,,,,,,,,423,3,,,,,122,5,,,,,180,6,22,3,,,,,,,,,,,,,,,,,,,11,6,,,,,,,,,,,1169,8
463,24051,8,,,24,2,,,,,,,,,,,,,,,29,4,,,,,,,,,,,39,13,,,,,,,,,13,4,,,,,58,11,,,,,,,316,8,,,,,92,12,2047,12,,,,,,,,,11791,7,21,4,1042,20,25,13,15,4,23,20,105,28,,,997,21,,,,,,,,,,,,,,,,,,,,,,,128,15,,,,,40,14,,,,,91,20,,,,,,,56,12,,,,,,,,,725,18,1962,5,,,,,,,,,,,,,46,16,,,,,,,18,3,,,,,,,,,34,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,23,19,4,69,13,,,,,,,,,,,,,,,,,,,,,518,17,,,,,815,5,,,,,,,1403,12,,,,,,,,,,,,,,,,,,,,,,,34,10,,,,,39,10,,,,,142,23,,,,,,,,,,,,,99,7,,,,,48,11,,,,,73,15,,,,,,,,,43,13,,,,,,,,,,,,,,,,,,,,,,,656,12
50381,23701,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,23,1514,20,,,,,,,,,18568,3,,,730,24,,,,,82,14,243,15,,,445,43,,,,,,,,,,,,,,,,,,,,,,,161,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972,11,98,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,23105,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,7,,,,,,,111,17,,,8,7,65,19,1791,14,,,,,50,12,,,10901,9,2,40,1878,9,,,6,9,,,70,34,7,2,1022,18,,,,,,,,,,,,,3,4,,,,,,,,,851,2,,,,,,,,,,,289,9,,,19,1,,,,,,,,,,,,,573,23,1718,8,,,,,,,,,,,,,54,15,,,,,,,,,,,,,,,,,,,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974,7,15,6,56,21,,,,,,,,,,,,,,,,,,,,,259,25,,,,,455,12,,,,,56,9,839,18,,,,,,,,,,,,,,,,,,,,,23,15,46,8,,,,,64,9,,,,,295,9,,,,,,,,,,,,,,,,,,,35,15,,,,,,,,,,,,,,,19,20,,,,,,,,,,,,,,,,,,,,,,,460,17
