bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
171,131496,1,157,1,29,1,26,1,,,44,1,5583,1,26,1,22,1,26,1,287,1,36,1,19,1,37,1,530,2,73,1,45,1,146,1,17,1,73,1,253,1,14,1,248,1,28,1,17,1,30,1,761,1,21,1,54,1,540,1,7995,1,20,1,29,1,493,3,,,41002,2,87,1,10235,1,978,1,59,1,1813,1,1338,1,29,1,5417,1,26,1,31,1,27,1,15,1,15,1,39,1,159,1,1260,1,1226,1,34,1,827,3,19,1,1,1,1127,1,130,1,22,1,1895,1,21,1,30,1,19,1,88,1,5689,2,5000,2,14,2,27,3,239,1,311,1,117,1,542,3,19,1,,,31,1,64,1,35,1,13,1,11,1,277,3,274,1,16,1,,,68,1,49,1,92,1,336,1,195,2,16,1,21,1,12,1,17,1,31,1,22,1,1485,2,27,1,877,1,,,23,1,18,1,17,1,20,1,,,2893,1,28,1,33,1,2264,2,23,1,450,1,11108,2,16,1,23,1,17,1,16,1,26,1,18,1,227,2,30,1,568,1,218,1,,,305,1,333,3,,,21,1,1327,2,39,1,,,136,1,97,1,1,1,654,1,36,1,278,1,4253,1,35,1,,,288,3,82,1,85,1,23,1,21,1,1490,1,,,23,1,,,56,1,,,39,2,20,1,19,1,22,1,2202,2
1406,63642,2,30,2,,,,,,,,,37,11,,,,,,,,,,,,,,,475,3,,,,,,,,,,,,,,,69,5,,,,,,,221,10,,,11,3,496,2,4995,7,,,,,1113,1,,,23168,3,19,5,5625,2,88,5,17,2,192,4,13,83,,,2730,3,,,,,,,,,,,,,,,458,3,,,,,822,4,,,,,364,5,68,2,9,2,1147,2,,,,,,,10,5,3578,4,3102,5,9,3,28,2,,,,,,,,,,,,,,,11,5,,,,,,,170,5,,,,,,,,,,,,,,,36,5,,,,,,,,,,,,,1644,1,8,10,220,5,,,4,4,,,,,,,,,1056,9,,,,,552,9,,,101,9,6359,5,,,,,,,4,5,11,2,,,954,1,,,52,11,,,,,,,814,1,,,,,668,4,,,,,,,,,,,,,,,,,349,8,,,,,228,4,,,,,,,,,178,5,,,,,,,14,2,,,,,,,,,6,3,1309,5
2223,52696,3,,,,,,,,,,,893,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,19,,,,,,,598,2,,,,,,,2522,14,,,,,,,,,13977,8,,,291,41,,,,,,,1074,2,,,2051,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,4,,,245,6,,,,,,,,,8706,1,3486,4,,,7,5,,,,,,,,,,,,,,,,,,,,,,,806,1,,,,,,,,,,,,,,,44,4,,,,,,,,,,,,,545,14,,,315,2,,,,,,,,,,,,,2122,3,,,,,3856,1,,,,,7369,4,,,,,,,,,,,,,,,7,3,,,129,2,,,,,63,6,,,,,238,14,,,,,,,,,,,271,2,,,,,834,6,,,,,400,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798,4
10816,52656,4,,,,,,,,,,,396,5,,,,,,,,,,,,,7,3,222,6,,,,,,,,,,,10,3,,,34,12,,,,,,,265,7,,,,,251,3,4991,8,,,,,140,7,,,19952,4,,,4219,5,91,4,,,184,5,15,76,,,2231,4,,,,,,,,,,,,,,,235,6,12,5,,,216,8,,,,,388,3,,,,,181,9,,,,,,,,,3195,5,1911,7,,,,,,,,,4,3,196,8,,,,,,,,,,,,,,,,,29,6,,,,,,,,,,,,,,,,,,,,,,,9,2,,,1019,5,4,17,234,4,3,1,,,,,,,,,,,2740,2,,,,,1611,3,,,232,3,5013,6,,,,,,,,,,,,,125,3,,,126,6,,,,,,,,,,,,,1335,1,,,,,,,5,4,,,,,,,9,3,516,7,,,,,132,7,,,,,,,,,149,6,,,,,,,9,4,,,,,,,,,,,10,130
50381,47402,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45699,1,,,,,,,,,16,12,200,10,,,,,,,,,,,,,,,,,,,87,18,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,42987,6,20,4,12,3,,,15,1,,,498,3,,,,,15,2,62,2,,,,,14,2,734,1,,,,,,,,,26,2,62,2,,,69,6,,,9,2,14,2,261,8,,,11,4,146,6,5821,3,,,,,299,4,,,15329,6,39,2,2891,9,14,13,11,7,1637,2,226,7,,,1694,11,,,11,2,,,,,,,11,2,,,522,2,,,8,2,884,1,,,,,270,8,26,3,7,3,45,11,,,,,3,4,16,3,1063,18,1769,9,,,,,26,3,11,2,,,33,24,10,2,,,,,18,2,,,,,6,2,115,6,50,4,,,,,31,2,2,6,,,,,9,8,,,,,,,,,,,,,410,17,9,9,241,3,,,5,3,,,,,8,2,,,706,14,7,2,,,603,7,,,,,2717,8,,,,,,,2,7,,,,,87,4,,,106,8,67,6,,,,,77,5,,,,,564,6,11,3,,,8,6,,,,,56,7,,,7,4,1970,3,,,,,,,7,3,,,,,10,2,51,8,7,1,,,,,10,3,,,,,,,,,8,2,358,15
181,31909,7,23,3,,,,,,,,,425,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,7,,,,,,,,,,,,,189,5,3602,10,,,,,,,,,15569,5,,,4363,4,,,9,9,,,134,19,,,1705,10,,,,,,,,,,,,,,,152,10,,,,,883,2,,,,,268,9,,,,,,,,,,,,,,,478,36,189,39,,,,,,,,,,,,,,,,,,,12,4,,,,,,,111,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576,12,,,125,8,,,,,,,,,,,,,494,19,,,,,303,16,,,,,1213,21,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,598,5,,,,,,,,,,,33,10,,,,,153,15,,,,,23,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,21
29351,30652,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2568,12,,,,,,,,,6575,21,,,157,59,192,2,,,,,118,20,,,140,85,,,,,,,,,,,,,,,181,8,,,,,,,,,,,45,25,17,5,,,,,,,,,,,,,,,76,52,,,,,,,,,,,,,,,,,,,,,,,,,,,420,2,93,2,,,,,,,,,,,,,,,,,,,,,,,,,,,72,56,,,,,,,,,,,,,,,,,546,17,,,,,,,,,,,17691,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,38,,,,,,,,,,,,,,,,,,,,,,,1458,1,,,,,,,,,248,4,,,,,,,,,,,,,,,,,,,,
2093,28525,9,,,,,,,,,,,29,12,,,,,,,9,3,,,,,,,31,13,,,,,13,4,4,2,,,,,,,45,11,8,2,,,,,147,11,,,,,41,23,1280,30,,,,,,,,,11229,11,13,8,1168,18,,,,,45,10,102,22,,,770,26,,,,,,,11,2,,,,,,,27,34,10,7,,,27,14,,,,,76,23,,,,,125,10,,,,,,,,,830,23,6114,1,17,1,,,,,8,3,,,406,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,6,,,,,,,,,,,,,281,20,,,47,22,,,,,,,,,,,,,246,27,,,,,302,17,,,,,1634,18,,,,,9,2,,,,,,,,,,,23,14,10,11,,,,,,,15,1,,,191,16,,,,,,,,,,,221,3,,,,,59,22,,,,,73,13,,,,,,,,,349,3,,,,,,,,,,,42,1,,,,,,,2411,1
13,28414,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,2,,,,,,,242,9,,,4,8,74,11,2448,15,,,,,,,,,13330,9,4,32,3185,8,,,7,11,,,,,12,2,1452,13,,,,,,,,,1,4,,,,,353,4,,,,,,,,,,,349,7,,,,,,,,,,,,,,,1011,19,1573,10,,,,,,,,,,,206,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,98,6,11,71,16,,,,,,,,,,,,,762,13,,,,,486,10,,,105,8,1652,17,,,,,,,,,,,,,,,,,39,12,62,7,,,,,94,4,,,,,363,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,,,,,,,,,,,,,,,,,,,383,14
