bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,112954,1,135,1,49,1,36,1,25,1,32,1,2746,1,21,1,26,1,35,1,394,1,48,1,21,1,29,1,,,37,1,512,2,72,1,117,1,299,1,26,1,45,1,280,1,21,1,247,1,28,1,22,1,29,1,831,1,19,1,51,1,538,1,5393,1,21,1,20,1,665,1,16,1,33146,1,46,1,13130,1,497,1,77,1,1788,3,1195,2,36,1,6730,1,,,23,1,26,1,28,1,23,1,25,1,47,1,75,1,24,1,,,1234,1,1604,1,30,1,444,1,22,1,19,1,1171,1,307,1,22,1,1272,2,24,1,16,1,30,1,99,1,3747,2,2866,2,17,1,24,1,26,2,547,1,352,1,126,1,457,2,21,1,,,43,1,51,1,31,1,17,1,20,1,15,1,299,2,223,1,17,1,20,1,50,1,95,1,99,1,147,1,1463,1,200,2,21,1,37,1,21,1,25,1,26,1,24,1,997,4,41,1,527,2,18,1,,,22,1,22,1,22,1,15,1,19,1,19,1,,,30,1,2630,2,21,1,25,1,4252,2,22,1,21,1,451,1,6575,2,25,1,27,1,22,1,19,1,19,1,22,1,20,1,20,1,166,2,58,1,363,1,235,1,,,308,1,355,2,,,27,2,1177,2,30,2,,,159,1,,,109,1,1,1,581,1,35,1,124,1,450,2,29,1,,,455,2,63,1,152,1,38,1,18,1,1888,1,,,21,1,,,23,1,,,25,1,19,1,27,1,18,1,19,1,,,2855,3
2223,55472,2,,,,,,,,,,,397,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,14,,,,,,,732,2,,,,,273,3,1884,14,,,,,,,,,11870,5,,,4667,2,,,,,5410,1,1432,1,,,2196,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,,,149,8,,,,,,,,,4784,1,2206,7,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,537,1,,,,,,,,,,,13,5,,,,,56,4,,,,,,,,,,,,,499,13,,,762,1,,,,,,,,,,,,,,,,,,,,,3394,1,,,,,5921,1,,,,,,,2732,6,,,,,,,,,,,,,,,,,,,21,2,,,146,2,,,,,71,6,,,,,230,8,,,,,,,,,,,,,414,2,,,,,1451,1,,,,,364,3,,,,,,,,,515,4,,,,,,,,,,,3,7,,,,,,,,,,,2258,5
1406,48585,3,41,2,,,,,,,,,23,16,,,,,14,3,50,3,,,,,,,,,,,638,1,,,,,,,,,,,,,,,63,5,,,,,,,178,10,,,7,4,264,4,3105,8,,,,,609,2,,,19295,2,9,8,3603,3,58,4,15,2,384,6,657,4,,,5806,2,32,1,,,,,9,3,,,,,,,,,,,,,494,4,,,,,277,3,,,,,142,11,32,4,5,3,1879,1,,,,,,,7,8,1247,6,2357,4,,,7,3,9,5,,,,,,,,,,,,,,,6,5,,,,,,,,,86,4,14,11,,,,,,,,,,,,,,,38,5,,,,,,,,,,,,,1289,2,10,5,376,3,,,,,,,6,5,,,,,,,,,,,,,490,10,,,,,441,12,,,,,119,6,2318,7,,,,,,,,,,,3,7,5,3,,,272,1,,,15,15,39,6,,,,,189,4,,,,,504,4,,,,,,,,,,,,,,,,,,,59,8,,,,,104,6,10,3,,,,,,,93,8,,,,,,,7,3,,,6,5,,,,,,,3,3,,,767,11
10816,38736,4,,,,,,,,,,,298,6,,,,,10,6,,,,,,,10,2,,,7,4,156,8,,,,,,,,,,,9,3,,,50,9,,,,,,,219,8,,,,,180,6,3119,7,,,,,72,8,,,11227,8,,,2899,4,50,5,,,855,5,380,6,,,1923,5,,,,,,,,,,,,,,,,,,,,,376,6,33,6,,,137,8,,,,,391,3,,,,,324,5,,,,,,,,,3112,3,2232,6,,,,,,,,,,,6,3,270,4,,,,,,,,,,,,,,,,,,,75,4,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,1229,3,7,9,203,5,,,11,1,,,,,,,,,,,,,,,,,1247,3,,,,,857,5,,,,,129,5,2993,5,,,,,,,,,,,,,,,,,22,6,,,64,7,,,,,,,50,9,,,,,688,3,,,,,,,,,13,3,,,,,,,7,4,86,7,,,,,105,5,,,,,,,,,279,6,,,,,,,7,4,,,5,6,,,,,,,,,,,2310,4
2397,32559,5,11,4,9,2,,,9,2,,,1959,2,,,,,13,5,131,2,,,8,3,,,,,12,3,276,3,,,,,9,5,,,13,3,18,2,,,49,10,,,11,2,6,2,247,7,,,4,8,428,2,2943,9,,,,,352,4,,,11550,6,11,6,1792,8,29,9,7,8,2980,2,197,8,,,1247,9,,,,,2,4,,,,,,,17,2,,,,,,,569,3,,,6,2,156,6,,,,,310,4,63,2,9,2,26,13,,,,,4,4,11,6,733,13,1209,9,,,,,,,51,2,21,2,,,19,33,5,2,,,,,8,3,,,,,11,2,5,4,49,7,41,6,,,,,,,62,2,6,7,,,,,8,10,,,,,,,,,,,,,408,14,6,10,236,4,,,,,,,7,4,,,,,,,4,2,,,,,476,11,5,2,,,445,11,,,,,,,1506,11,,,,,,,,,,,7,5,,,,,38,5,,,81,6,39,7,,,,,117,5,,,,,350,6,13,3,,,28,5,,,,,,,117,6,,,10,3,249,3,,,,,101,8,9,4,,,,,6,2,64,11,24,1,,,,,9,2,,,3,8,,,,,,,6,2,,,473,16
2093,30078,6,,,,,,,,,,,52,12,,,,,,,11,4,,,,,,,,,,,33,11,,,,,14,4,8,3,,,,,,,28,20,8,2,,,,,93,17,,,,,45,22,1024,24,,,,,,,,,12912,4,12,4,1096,19,,,,,48,16,87,27,,,902,18,,,,,,,,,13,2,,,,,,,11,2,,,68,23,17,7,,,28,13,,,,,85,20,11,6,,,98,10,,,,,,,,,513,19,4818,1,,,13,2,13,4,,,4,4,,,193,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,6,,,,,,,,,,,,,284,18,,,42,20,,,,,,,,,,,,,,,,,,,,,269,20,,,,,476,9,,,,,,,1611,9,,,,,4,2,,,,,,,,,,,,,,,47,10,22,10,,,,,,,14,1,,,161,12,,,7,2,,,,,,,,,218,4,,,,,37,11,,,,,57,14,,,,,,,,,571,3,,,,,,,,,,,13,2,,,,,,,,,9,1,3949,1
463,24500,7,,,6,3,,,,,,,,,,,,,,,9,5,,,,,,,,,,,18,17,,,,,,,,,7,4,,,,,31,18,,,,,,,214,9,,,,,78,14,1935,13,,,,,,,,,11299,7,5,12,1133,17,15,14,3,13,17,22,146,19,,,1091,14,,,,,,,,,,,,,,,,,,,,,85,20,,,,,26,14,,,,,74,21,,,,,41,12,,,,,,,,,822,12,2246,5,,,,,,,,,,,,,83,8,,,,,,,5,6,,,,,,,,,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,16,4,14,32,24,,,,,,,,,,,,,,,,,,,,,436,14,,,,,1148,3,,,,,,,1404,12,,,,,,,,,,,,,,,,,,,,,,,18,12,,,,,22,12,,,,,147,14,,,,,,,,,,,,,68,9,,,,,23,18,,,,,60,13,,,,,,,,,49,12,,,,,,,,,,,,,,,,,,,,,,,1351,8
2181,23708,8,,,,,,,,,,,,,,,,,,,,,,,15,2,,,,,,,247,4,,,,,,,,,,,,,,,35,16,,,,,,,141,12,,,,,158,7,1602,15,,,,,333,5,,,6927,14,12,5,1288,14,125,2,8,5,,,181,11,,,1176,10,,,,,,,,,,,,,,,,,,,,,233,8,,,,,79,11,,,,,222,5,,,,,298,6,,,,,,,20,2,721,14,1107,11,,,,,,,29,3,,,,,32,17,,,,,,,,,,,,,,,10,2,44,8,45,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723,11,19,3,166,6,,,,,,,,,,,,,,,,,,,,,1149,5,,,,,248,18,,,,,153,4,1999,8,,,,,,,,,,,9,2,,,,,42,4,,,62,8,20,11,,,,,38,10,12,2,,,2690,1,,,,,,,,,,,,,108,7,,,,,126,6,,,,,100,9,12,2,,,,,,,,,,,,,,,,,,,7,4,,,,,,,,,,,937,9
2162,21162,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,6,54,,,,,,,86,20,,,,,37,24,1089,22,,,,,,,,,10268,9,,,786,22,,,,,,,119,24,,,697,20,,,,,2,3,,,,,,,,,,,,,,,22,38,,,,,,,,,,,130,14,,,,,,,,,,,,,7,9,391,25,8,111,,,,,,,7,4,,,,,59,12,,,,,,,,,,,,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,37,3,15,,,,,,,,,,,,,,,,,,,,,,,469,12,,,,,162,23,,,,,7,12,5532,3,,,,,,,,,,,,,,,,,5,9,,,,,13,15,,,,,23,11,,,,,84,24,,,,,,,,,,,,,,,,,,,15,23,,,,,103,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894,10
2425,19162,10,,,,,,,,,,,58,11,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,63,6,,,,,,,134,13,,,,,139,8,1293,18,,,,,,,,,4831,20,3,31,1232,16,,,6,10,229,8,175,12,,,1087,15,,,,,,,,,,,,,,,,,,,,,151,11,,,,,,,,,,,161,9,,,,,,,,,,,,,,,1003,8,570,19,,,,,,,,,,,,,11,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,23,,,,,,,,,,,,,,,,,,,,,,,,,789,8,,,,,1080,4,,,,,202,2,4971,4,,,,,,,,,,,,,,,,,,,,,56,9,,,,,,,,,,,,,158,13,,,,,19,7,,,,,,,,,,,,,,,,,,,305,4,,,,,,,,,29,15,,,,,,,,,,,,,,,,,,,,,,,181,29
