,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
0,1,171,94535,96,1,41,1,18,1,,,27,1,2212,1,17,1,20,1,30,1,151,1,24,1,21,1,18,1,324,2,18,1,40,1,149,1,19,1,36,1,115,1,33,1,137,1,12,1,9,2,22,1,537,2,14,1,29,1,539,2,5199,2,18,1,18,1,320,4,,,29470,1,43,1,11737,1,372,1,33,1,965,2,1230,2,18,1,3399,2,16,1,21,1,20,1,13,1,13,1,36,1,132,1,887,1,656,1,21,1,338,1,14,1,2,1,1056,1,72,1,24,1,1060,2,19,1,18,1,26,1,41,1,3405,3,4146,3,16,1,23,1,114,1,53,1,81,1,799,2,21,1,13,1,53,1,20,2,125,1,19,1,273,3,137,1,14,1,,,51,1,41,1,25,1,206,1,113,3,14,1,13,1,21,1,776,1,25,1,17,1,1129,6,25,1,480,2,,,17,1,18,1,12,1,17,1,,,1917,2,13,1,13,1,2910,1,20,1,234,1,7182,3,19,1,21,1,9,1,17,1,21,1,16,1,152,2,22,1,343,1,96,2,,,152,1,199,3,,,20,2,1032,1,41,1,,,98,1,39,1,4,1,504,1,17,1,165,1,1485,2,27,1,,,172,4,26,1,133,1,25,1,11,1,1050,1,,,17,1,,,29,1,,,22,1,10,1,15,1,9,1,1901,2
1,2,29351,56674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883,13,,,,,,,,,13310,7,,,139,51,174,2,,,,,129,12,,,123,72,,,,,,,,,,,,,,,140,9,,,,,,,,,,,34,25,5,5,,,,,,,,,,,,,,,72,51,,,,,,,,,,,,,,,,,,,,,,,,,324,2,109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,81,46,,,,,,,,,,,,,,,,,434,15,,,,,,,,,,,36317,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,34,,,,,,,,,,,,,,,,,,,,,,,3110,1,,,,,,,,,241,5,,,,,,,,,,,,,,,,,,,,
2,3,1406,47916,8,4,,,,,,,,,37,10,,,,,,,,,,,,,,,150,4,,,,,,,,,,,,,,,28,9,,,,,,,160,9,,,9,2,675,1,2663,9,,,,,526,2,,,20715,3,22,2,3532,2,24,6,11,2,167,4,7,94,,,2731,5,,,,,,,,,,,,,,,430,3,,,,,302,3,,,,,155,10,19,3,5,2,1486,1,,,,,,,11,2,1541,5,1650,7,14,3,11,2,,,,,,,,,,,,,9,3,,,,,,,100,4,,,,,,,,,,,,,,,38,6,,,,,,,,,,,,,1390,3,15,3,362,4,,,8,3,,,,,,,,,558,10,,,,,2891,2,,,78,7,2486,8,,,,,,,9,3,9,2,,,317,1,,,48,10,,,,,,,203,2,,,,,567,6,,,,,,,,,,,,,,,,,195,10,,,,,103,6,,,,,,,,,241,4,,,,,,,7,3,,,,,,,,,5,3,1188,5
3,4,10816,45375,,,,,,,,,,,435,5,,,,,,,,,,,,,3,3,143,5,,,,,,,,,,,10,3,,,46,2,,,,,,,483,3,,,,,408,3,3870,6,,,,,38,8,,,19305,4,,,3301,3,71,4,,,161,5,23,42,,,2737,4,,,,,,,,,,,,,,,283,4,6,7,,,105,7,,,,,390,4,,,,,185,6,,,,,,,,,1770,4,2653,4,,,,,,,,,5,3,282,7,,,,,,,,,,,,,,,24,4,,,,,,,,,,,,,,,,,,,,,,,5,2,,,1230,5,1,19,321,5,7,1,,,,,,,,,,,1113,4,,,,,876,5,,,104,4,3458,5,,,,,,,,,,,,,74,3,,,78,3,,,,,,,,,,,,,681,4,,,,,,,6,3,,,,,,,6,4,434,7,,,,,95,7,,,,,,,,,133,6,,,,,,,5,4,,,,,,,,,,,11,174
4,5,2223,44172,,,,,,,,,,,1429,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15,,,,,,,705,1,,,,,,,1871,14,,,,,,,,,11527,10,,,294,32,,,,,,,1256,1,,,3015,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4,,,264,4,,,,,,,,,6408,1,2043,6,,,,,,,,,,,,,,,,,,,,,,,,,509,1,,,,,,,,,,,,,,,41,5,,,,,,,,,,,,,887,7,,,698,1,,,,,,,,,,,,,2168,1,,,,,2786,3,,,,,4165,4,,,,,,,,,,,,,,,6,2,,,204,1,,,,,63,4,,,,,268,10,,,,,,,,,,,123,4,,,,,830,4,,,,,252,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2327,1
5,6,2397,36095,12,2,6,2,,,18,1,,,583,3,,,,,13,2,55,2,,,,,6,2,543,1,,,,,,,,,12,3,30,2,,,44,3,,,10,1,9,2,239,8,,,9,3,209,4,5303,1,,,,,389,3,,,12778,8,9,6,2095,4,16,11,9,4,1667,1,186,7,,,1902,8,,,4,4,,,,,,,16,2,,,682,2,,,14,2,136,6,,,,,175,9,22,2,5,3,25,12,,,,,5,2,11,4,920,7,1440,9,,,,,28,2,9,2,,,37,19,10,2,,,9,4,,,,,10,2,63,8,21,6,,,,,26,2,3,6,,,,,6,9,,,,,,,,,,,,,557,13,10,6,398,3,,,12,2,,,,,4,2,,,488,12,9,2,,,473,9,,,,,1588,11,,,,,,,11,2,,,,,53,4,,,50,9,46,6,,,,,58,5,,,,,619,5,7,3,,,13,4,,,,,38,8,,,9,3,1455,3,,,,,,,8,3,,,,,8,2,42,9,9,1,,,,,11,2,,,,,,,,,9,2,281,17
6,7,320,30668,,,,,,,,,,,232,6,,,,,,,,,,,,,,,57,8,,,,,,,,,4,5,,,,,32,6,,,,,,,414,6,,,6,4,60,16,4973,3,,,,,193,5,,,10052,12,9,5,1993,6,19,8,,,,,229,4,,,2635,6,,,,,5,2,,,9,2,,,9,3,80,19,24,4,,,,,,,,,657,2,,,,,241,5,,,,,,,5,6,307,27,1601,8,,,10,3,,,,,6,2,59,16,,,,,8,5,,,,,,,27,10,,,,,,,,,5,5,,,,,29,7,,,,,,,,,,,,,653,10,19,2,62,16,,,,,,,,,,,,,673,7,,,,,368,10,,,106,3,3213,6,,,,,,,,,6,3,,,,,,,71,4,46,5,,,,,,,,,,,202,14,,,,,5,7,2,4,,,27,9,,,,,204,8,,,159,1,157,5,,,,,,,,,69,7,,,,,,,,,,,,,,,,,,,636,7
7,8,463,28465,,,5,3,,,,,,,,,,,,,,,,,,,,,,,38,10,,,,,,,,,7,4,,,,,19,16,,,,,,,305,7,,,,,101,11,2577,10,,,,,,,,,16268,5,,,,,12,12,,,,,207,5,,,,,,,,,,,,,,,,,,,121,11,,,,,32,13,,,,,90,20,,,,,31,11,,,,,,,,,1208,6,2154,5,,,,,,,,,,,94,11,,,,,,,,,,,,,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,17,9,7,63,14,,,,,,,,,,,,,579,8,,,,,959,4,,,,,2208,10,,,,,,,,,,,,,,,,,,,21,9,,,,,21,9,,,,,178,17,,,,,,,,,,,51,7,,,,,93,14,,,,,31,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554,10
8,9,2093,28275,,,,,,,,,,,32,11,,,,,,,8,3,,,,,,,22,13,,,,,8,4,8,2,,,,,,,25,11,11,2,,,,,131,13,,,,,53,20,1144,20,,,,,,,,,15033,6,16,3,1058,13,,,,,15,12,73,24,,,627,22,,,,,,,8,2,,,,,,,53,21,11,5,,,23,14,,,,,60,23,,,,,124,10,,,,,,,,,460,14,4167,2,15,2,,,,,4,3,,,421,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,2,,,,,,,,,,,,,188,23,,,41,25,,,,,,,,,,,,,198,24,,,,,281,15,,,,,1198,13,,,,,5,2,,,,,,,,,,,13,16,13,10,,,,,,,17,1,,,220,12,,,,,,,,,,,207,2,,,,,41,22,,,,,34,12,,,,,,,,,290,3,,,,,,,,,,,20,2,,,,,,,1724,3
9,10,2162,26519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,,4,59,,,,,,,13,38,,,,,19,34,1570,18,,,,,,,,,10877,11,,,1,125,,,,,,,91,18,,,900,17,,,4,3,,,,,,,,,,,28,32,,,,,,,,,,,184,7,,,,,,,,,,,,,4,8,690,9,6,93,,,,,1,4,,,,,126,10,,,,,,,,,,,,,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,47,4,12,,,,,,,,,,,,,,,704,6,,,,,214,18,,,19,11,10172,2,,,,,,,,,,,,,6,5,,,,,5,12,,,,,,,,,,,111,22,,,,,,,,,,,,,,,,,67,18,,,,,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,8
