bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,179008,1,267,1,47,2,33,1,27,1,20,1,2610,1,21,1,25,1,32,1,545,1,36,1,20,1,27,1,,,39,1,555,1,41,1,83,1,357,1,19,1,35,1,327,1,22,1,244,1,24,1,9,1,26,1,918,2,19,1,27,1,530,1,6210,2,16,1,19,1,465,2,16,1,33110,1,74,1,8523,1,632,1,88,1,70405,1,1522,2,21,1,4260,2,,,28,1,35,1,30,1,17,1,14,1,68,1,188,1,12,1,,,1967,1,2708,1,25,1,485,2,16,1,10,1,1185,1,244,1,14,1,1373,2,19,1,12,1,22,1,96,1,3991,2,2713,5,21,1,27,1,26,2,490,1,706,1,89,1,408,3,17,1,74,1,58,1,24,1,21,1,23,1,12,1,304,2,240,1,24,1,21,1,,,106,1,59,1,147,1,1222,1,207,1,20,1,37,1,29,1,30,1,31,1,16,1,1180,8,29,1,990,1,14,1,,,15,1,18,1,19,1,16,1,18,1,18,1,,,20,1,3539,2,14,1,22,1,2195,2,25,1,42,1,518,1,7501,2,18,1,20,1,19,1,18,1,20,1,16,1,16,1,16,1,200,3,72,1,310,1,277,1,,,560,1,550,3,,,18,1,1101,1,28,2,,,235,1,,,255,1,2,1,618,1,73,1,118,1,630,1,30,1,,,551,2,67,1,367,1,61,1,19,1,1720,1,,,22,1,,,23,1,,,21,1,13,1,22,1,13,1,21,1,,,2568,4
2223,64978,2,,,,,,,,,,,436,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,14,,,,,,,1026,1,,,,,241,5,2331,15,,,,,,,,,15009,6,,,3785,3,,,,,2789,3,1879,1,,,2501,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,4,,,123,10,,,,,,,,,10156,1,2663,6,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,528,1,,,,,,,,,,,8,5,,,,,71,5,,,,,,,,,,,,,488,18,,,710,2,,,,,,,,,,,,,,,,,,,,,4089,1,,,,,9321,1,,,,,,,2113,9,,,,,,,,,,,,,,,,,,,10,3,,,195,2,,,,,87,7,,,,,260,17,,,,,,,,,,,,,516,2,,,,,546,2,,,,,541,3,,,,,,,,,379,4,,,,,,,,,,,3,9,,,,,,,,,,,2085,5
1406,62998,3,47,2,,,,,,,,,19,17,,,,,10,4,42,3,,,,,,,,,,,535,2,,,,,,,,,,,,,,,85,5,,,,,,,202,14,,,8,5,283,3,5837,5,,,,,860,1,,,24258,3,13,6,4546,2,78,5,14,5,442,6,1334,3,,,4121,3,17,1,,,,,13,2,,,,,,,,,,,,,551,6,,,,,489,1,,,,,281,10,54,3,6,3,2740,1,,,,,,,15,5,2793,5,2969,3,,,8,3,11,3,,,,,,,,,,,,,17,3,,,,,,,,,100,5,,,,,,,,,,,,,,,,,51,6,,,,,,,,,,,,,1778,3,10,7,409,3,,,,,,,17,2,,,,,,,,,,,,,869,9,,,,,533,11,,,,,157,5,2977,7,,,,,,,,,,,3,7,8,2,,,481,1,,,38,12,62,7,,,,,478,4,,,,,758,2,,,,,,,,,,,,,,,,,,,113,5,,,,,201,5,5,4,,,,,,,135,8,,,,,,,6,4,,,9,3,,,,,,,11,3,,,1091,7
10816,45972,4,,,,,,,,,,,323,6,,,,,14,2,,,,,,,5,2,,,13,4,158,9,,,,,,,,,,,16,3,,,44,12,,,,,,,340,7,,,,,205,6,5174,6,,,,,159,8,,,13572,7,,,3001,5,84,4,,,702,5,433,13,,,2754,4,,,,,,,,,,,,,,,,,,,,,355,8,47,6,,,148,7,,,,,507,4,,,,,219,7,,,,,,,,,2635,7,2836,4,,,,,,,,,,,11,3,278,5,,,,,,,,,,,,,,,,,69,3,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,1725,5,8,10,221,8,,,9,1,,,,,,,,,,,,,,,,,1424,5,,,,,850,6,,,,,139,7,3720,4,,,,,,,,,,,,,,,,,56,5,,,93,6,,,,,,,44,9,,,,,522,5,,,,,,,,,7,4,,,,,,,13,2,82,8,,,,,153,8,,,,,,,,,187,6,,,,,,,7,3,,,9,4,,,,,,,,,,,2590,3
2397,39581,5,11,4,6,4,,,17,2,,,691,2,,,,,7,6,131,2,,,7,2,,,,,15,2,435,4,,,,,20,4,,,34,2,32,2,,,63,7,,,7,2,15,2,380,6,,,14,2,528,2,3994,8,,,,,284,5,,,15615,5,20,3,2134,9,43,8,31,2,3006,2,336,15,,,1781,10,,,,,5,3,,,,,,,10,3,,,,,,,709,4,,,10,2,210,6,,,,,349,5,67,2,8,2,50,11,,,,,9,2,33,2,959,17,1624,10,,,,,,,75,2,32,2,,,53,17,14,2,,,19,2,,,,,12,2,12,2,86,6,61,5,,,,,,,72,2,10,4,,,,,11,9,,,,,,,,,,,,,676,13,12,5,337,4,,,,,,,14,3,,,,,,,3,2,,,,,687,12,4,2,,,520,12,,,,,,,1231,13,,,,,,,,,,,7,3,,,,,72,4,,,85,7,57,8,,,,,125,5,,,,,496,7,10,3,,,19,5,,,,,,,60,8,,,3,4,184,3,,,,,152,9,10,3,,,,,3,2,62,11,22,1,,,,,9,2,,,4,8,,,,,,,14,2,,,546,16
50381,38105,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,28,2555,14,,,,,,,,,30176,2,,,766,24,,,,,165,9,435,12,,,870,27,,,,,,,,,,,,,,,,,,,,,145,15,,,,,,,,,,,,,,,,,,,,,,,,,,,1673,9,101,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6819,37993,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,19,33818,1,,,,,,,,,1938,67,21,2,135,61,,,,,,,25,57,,,327,59,,,,,,,,,,,,,,,,,,,,,46,29,,,,,,,,,,,,,,,,,,,,,,,7,3,,,193,61,63,69,,,,,,,,,,,,,17,44,,,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,150,39,,,22,32,,,,,,,,,,,,,,,,,,,,,570,16,,,,,51,39,,,,,,,171,51,,,,,,,,,,,,,,,,,,,,,23,14,,,,,,,,,,,,,116,27,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,37
2093,37839,8,,,,,,,,,,,105,10,,,,,,,16,4,,,,,,,,,,,59,12,,,,,12,5,8,3,,,,,,,29,20,8,2,,,,,85,22,,,,,85,21,1387,33,,,,,,,,,17678,4,7,19,1517,13,,,,,63,15,114,30,,,1023,24,,,,,,,,,6,2,,,,,,,12,2,,,80,23,16,7,,,61,12,,,,,78,23,8,6,,,137,9,,,,,,,,,631,28,5762,1,,,16,2,5,6,,,,,,,159,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,7,,,,,,,,,,,,,401,22,,,77,18,,,,,,,,,,,,,,,,,,,,,331,24,,,,,409,14,,,,,,,2878,8,,,,,5,2,,,,,,,,,,,,,,,28,13,21,14,,,,,,,18,1,,,263,14,,,7,2,,,,,,,,,302,4,,,,,55,12,,,,,95,12,,,,,,,,,496,3,,,,,,,,,,,11,2,,,,,,,,,12,1,3247,2
463,26579,9,,,10,3,,,,,,,,,,,,,,,10,6,,,,,,,,,,,37,15,,,,,,,,,8,5,,,,,30,19,,,,,,,221,10,,,,,114,15,2149,18,,,,,,,,,12061,10,8,13,935,20,17,12,12,6,11,21,131,26,,,1282,17,,,,,,,,,,,,,,,,,,,,,149,14,,,,,23,15,,,,,81,22,,,,,48,12,,,,,,,,,923,18,1796,9,,,,,,,,,,,,,55,15,,,,,4,9,,,,,,,,,27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,23,11,6,38,28,,,,,,,,,,,,,,,,,,,,,446,19,,,,,988,4,,,,,,,3327,6,,,,,,,,,,,,,,,,,,,,,,,16,15,,,,,21,11,,,,,131,23,,,,,,,,,,,,,70,7,,,,,35,19,,,,,71,15,,,,,,,,,37,12,,,,,,,,,,,,,,,,,,,,,,,870,13
2181,25294,10,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,296,6,,,,,,,,,,,,,,,23,23,,,,,,,137,17,,,,,190,8,1749,26,,,,,418,4,,,7484,16,8,14,895,22,104,3,4,13,,,209,22,,,1633,11,,,,,,,,,,,,,,,,,,,,,270,9,,,,,106,10,,,,,257,12,,,,,309,4,,,,,,,16,4,921,19,1154,13,,,,,,,22,3,,,,,37,23,,,,,,,,,,,,,8,3,43,9,33,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,10,6,11,135,13,,,,,,,,,,,,,,,,,,,,,2995,3,,,,,292,17,,,,,125,8,2056,10,,,,,,,,,,,6,5,,,,,50,6,,,66,10,27,9,,,,,,,12,2,,,716,3,,,,,,,,,,,,,260,5,,,,,109,6,,,,,172,7,18,2,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,1023,9
