bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2223,132164,1,,,,,,,,,,,4423,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,12,,,,,,,1760,1,,,,,249,4,3069,16,,,,,,,,,,,25833,3,,,10433,3,,,,,8160,1,2324,1,,,,,10075,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,4,,,,,206,9,,,,,,,,,16901,1,4578,3,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,471,2,,,,,,,,,,,27,3,,,,,284,2,,,,,,,,,,,,,1344,10,,,783,1,,,,,,,,,,,,,,,,,,,,,8651,1,,,,,17747,1,,,,,,,5069,5,,,,,,,,,,,,,,,,,,,20,2,,,584,1,,,,,189,6,,,,,234,11,,,,,,,,,,,,,361,3,,,,,2469,1,,,,,591,4,,,,,,,,,2340,1,,,,,,,,,,,7,9,,,,,,,,,,,2819,4
171,131146,2,142,1,54,1,46,1,36,1,39,1,4053,2,34,1,36,1,36,1,381,1,40,1,35,1,34,2,,,66,1,878,3,178,1,199,1,352,1,33,1,91,1,482,1,35,1,485,1,28,1,25,1,72,1,1144,2,29,1,72,1,438,2,7211,3,27,1,37,1,35,1,917,4,39,1,30884,1,51,1,16170,1,603,1,120,1,2694,3,1389,3,35,1,31,1,6442,4,,,30,1,28,1,41,1,39,1,38,1,27,1,56,1,208,1,38,1,,,2246,3,1339,1,156,1,909,3,38,1,33,1,1527,1,329,1,,,34,1,1653,3,36,1,52,1,31,1,93,1,9077,2,2888,5,49,1,47,1,33,2,489,1,450,1,125,1,375,3,47,1,,,54,1,70,1,46,1,27,1,44,1,47,1,418,3,322,1,36,1,27,1,30,2,117,2,213,1,203,1,1257,1,153,4,50,1,44,1,34,1,35,1,24,1,26,1,1416,8,49,1,557,3,35,1,,,34,1,28,2,43,1,39,1,25,1,23,1,,,37,1,3612,4,82,1,30,1,3418,2,46,1,39,1,370,4,7025,2,40,1,30,1,42,1,37,1,36,1,47,1,31,1,34,1,235,3,108,1,465,2,345,3,,,527,1,397,4,,,27,2,849,2,59,1,,,153,2,,,382,1,6,1,562,2,56,1,246,1,1516,3,35,1,,,592,3,76,1,249,1,50,1,38,1,2086,2,,,29,1,,,28,1,,,48,1,32,1,46,1,27,1,35,1,,,2541,5
1406,99251,3,38,2,,,,,,,,,13,23,,,,,10,5,106,3,,,,,,,,,,,883,2,,,,,,,,,,,,,,,124,7,,,,,,,424,10,,,19,2,386,3,5562,6,,,,,,,4054,1,,,26443,2,15,5,11361,2,112,4,30,2,713,6,1464,2,,,,,5995,5,45,1,,,,,13,3,,,,,,,,,,,,,,,3201,1,,,,,2184,1,,,,,409,9,107,2,,,19,2,3901,1,,,,,,,17,5,4375,5,4145,4,,,27,2,10,5,,,,,,,112,13,,,,,,,12,5,,,,,,,,,314,4,81,4,,,,,,,,,,,,,,,248,3,,,,,,,,,,,,,4663,1,14,9,579,2,,,,,,,58,1,,,,,,,,,,,,,1503,11,,,,,1239,6,,,,,231,6,5553,4,,,,,,,,,,,18,4,15,2,,,3546,1,,,83,11,180,5,,,,,1616,3,,,,,583,4,,,,,,,,,,,,,,,,,,,363,9,,,,,401,5,8,4,,,,,,,238,8,,,,,,,13,3,,,18,4,,,,,,,13,3,,,1344,8
2397,62145,4,17,4,22,2,,,21,2,,,2078,4,,,,,16,3,156,2,,,17,3,,,,,11,5,681,4,,,,,23,6,,,23,2,22,2,,,139,5,,,18,2,54,2,449,8,,,18,3,652,1,6885,4,,,,,,,1032,3,,,20867,5,18,4,4615,9,36,10,23,3,5618,2,297,11,,,,,3192,11,,,,,19,2,,,,,,,,,25,3,,,,,,,1119,5,,,23,2,265,8,,,,,478,8,106,3,,,16,3,37,13,,,,,20,2,21,2,2725,10,1607,10,,,,,,,102,2,21,2,,,47,21,26,2,,,,,20,2,,,,,29,2,27,2,104,7,51,9,,,,,,,207,1,18,6,,,,,15,8,,,,,,,,,,,,,867,12,25,4,384,4,,,,,,,14,3,,,,,,,18,2,,,,,1071,13,22,2,,,917,11,,,,,,,1999,10,,,,,,,,,,,21,3,,,,,81,4,,,115,9,160,6,,,,,215,5,,,,,469,6,16,3,,,31,4,,,,,,,98,7,,,22,3,556,7,,,,,186,7,14,3,,,,,26,2,94,12,37,1,,,,,14,2,,,25,2,,,,,,,21,2,,,499,17
2425,59223,5,,,,,,,,,,,335,9,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2,,,,,,,197,4,,,,,,,671,5,,,,,185,7,4760,8,,,,,,,,,,,8565,21,43,2,8349,5,,,15,4,364,9,493,7,,,,,7781,3,,,,,,,,,,,,,,,,,,,,,,,354,9,,,,,,,,,,,553,4,,,,,,,,,,,,,,,,,6709,3,651,18,,,,,,,,,,,,,24,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702,18,,,,,,,,,,,,,,,,,,,,,,,,,5275,2,,,,,3157,3,,,,,1065,1,6490,3,,,,,,,,,,,,,,,,,,,,,370,3,,,,,,,,,,,,,258,9,,,,,13,6,,,,,,,,,,,,,,,,,,,951,2,,,,,,,,,41,16,,,,,,,,,,,,,,,,,,,,,,,829,12
10816,49554,6,,,,,,,,,,,466,7,,,,,12,4,,,,,,,51,1,,,13,3,158,9,,,,,,,,,,,13,3,,,62,14,,,,,,,436,9,,,,,144,8,3307,14,,,,,,,104,10,,,12558,11,,,8421,4,80,6,,,1191,5,347,9,,,,,2302,14,,,,,,,,,,,,,,,,,,,,,,,583,7,59,6,,,199,9,,,,,522,5,,,,,,,359,6,,,,,,,,,3258,8,1842,9,,,,,,,,,,,21,2,181,8,,,,,,,,,,,,,,,,,,,83,3,,,,,,,,,,,,,,,,,,,,,,,,,18,2,,,892,11,15,8,203,8,,,22,1,,,,,,,,,,,,,,,,,1775,8,,,,,2539,4,,,,,156,8,3330,7,,,,,,,,,,,,,,,,,15,7,,,154,7,,,,,,,77,10,,,,,514,5,,,,,,,,,,,,,,,,,17,4,394,8,,,,,124,8,,,,,,,,,455,6,,,,,,,10,4,,,14,6,,,,,,,,,,,2058,7
811,43279,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,3,,,,,,,26,40,,,,,,,3511,13,,,,,,,,,,,11238,13,4,25,7935,7,,,,,,,205,17,,,,,4367,8,,,,,,,,,,,,,,,7,4,,,,,,,2692,2,,,,,,,,,,,379,10,,,,,,,,,,,,,,,,,344,54,462,23,,,,,,,,,,,,,446,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3304,2,,,36,27,,,,,,,,,,,,,,,,,,,,,1785,7,,,,,949,10,,,,,761,2,553,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950,1
28,40446,8,,,,,,,,,,,807,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522,29,,,,,,,,,,,11778,12,,,7572,8,,,,,,,58,37,,,,,1734,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,5,,,,,,,,,1207,21,12039,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2211,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,36,,,,,,,,,,,,,,,,,,,1080,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2243,39905,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,12,,,,,,,,,,,,,,,21,34,,,,,,,,,,,,,,,8717,1,,,,,,,,,,,9566,17,,,,,,,,,,,,,,,,,5861,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,6,,,,,275,12,,,,,,,,,,,,,,,,,2072,11,191,39,,,,,,,,,,,,,11,58,,,,,,,,,,,,,,,,,157,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2084,4,,,,,,,,,,,,,,,,,,,,,,,,,3614,3,,,,,1105,8,,,,,63,10,1016,17,,,,,,,,,,,13,5,,,,,,,,,,,434,2,,,,,4116,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,56
30549,37154,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,17,,,,,,,142,20,,,,,29,31,3971,9,,,,,,,,,,,24639,4,,,1334,26,,,5,15,,,,,,,,,2014,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,32,,,,,,,,,,,,,,,,,1026,23,673,17,,,,,,,,,,,,,250,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843,14,,,294,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
