,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,155140,133,1,44,1,31,1,21,1,27,1,5039,1,21,1,25,1,24,1,592,1,18,1,19,1,,,59,1,487,2,35,1,145,1,258,1,21,1,39,1,226,1,22,1,318,1,26,1,24,1,31,1,1063,1,21,1,51,1,644,1,12568,1,17,1,20,1,537,2,,,36447,1,60,1,18519,1,627,1,88,1,1973,2,1306,1,34,1,5287,1,,,20,1,41,1,28,1,16,2,15,1,45,1,149,1,17,1,1255,1,1790,1,145,1,482,1,14,1,15,1,852,1,228,1,32,1,2263,1,28,1,27,1,25,1,136,1,3917,2,3959,2,19,1,19,2,55,1,350,1,476,1,76,1,350,3,24,1,,,31,1,114,1,29,1,25,1,228,1,347,2,281,1,19,1,,,91,1,66,1,92,1,956,1,131,2,20,1,19,1,18,1,23,1,28,1,13,1,1504,1,167,1,9484,1,,,57,1,20,1,17,1,17,1,17,1,23,1,,,3067,1,22,1,21,1,3974,1,29,1,499,1,16601,2,17,1,62,1,22,1,26,1,22,1,19,1,186,2,35,1,433,1,242,1,,,248,1,285,2,,,20,3,1586,1,33,2,,,139,1,199,1,4,1,734,1,60,1,267,1,3400,1,20,1,,,345,2,48,1,151,1,45,1,20,1,2002,1,,,18,1,,,22,1,,,18,2,24,1,21,1,20,1,,,2482,2
1,2,1406,45207,22,3,,,,,,,,,20,15,,,,,,,,,,,,,,,,,301,3,,,,,,,,,,,,,,,55,3,,,,,,,256,9,,,21,2,301,2,3479,6,,,,,482,3,,,19164,3,24,2,2574,5,52,6,25,2,306,5,10,87,,,2461,4,31,1,,,,,18,2,,,,,,,,,,,389,4,,,,,248,3,,,,,200,12,22,2,6,3,1501,2,,,,,,,11,4,1915,4,1966,7,,,13,3,15,3,,,,,,,,,,,,,,,14,5,,,,,,,146,4,,,,,,,,,,,,,,,66,4,,,,,,,,,,,,,1494,2,13,7,279,3,,,,,2,6,,,,,,,,,,,918,7,,,,,423,10,,,107,5,3134,5,,,,,,,11,2,11,2,,,320,1,,,46,11,46,7,,,,,244,3,,,,,471,4,,,,,,,,,,,,,,,,,195,10,,,,,99,6,,,,,,,,,124,5,,,,,,,11,4,,,,,,,,,10,2,,,1135,7
2,3,2223,43371,,,,,,,,,,,528,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,14,,,,,,,521,3,,,,,,,1689,15,,,,,,,,,12569,7,,,4236,2,,,,,911,3,953,2,,,1972,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,188,7,,,,,,,,,4364,1,1934,8,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,450,1,,,,,,,,,11,5,,,,,114,3,,,,,,,,,,,,,505,15,,,257,5,,,,,,,,,,,,,,,,,2245,2,,,,,3168,2,,,,,2632,7,,,,,,,,,,,,,,,6,4,,,119,2,,,,,44,6,,,,,123,18,,,,,,,,,,,466,2,,,,,1260,4,,,,,231,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1839,4
3,4,2397,37611,25,2,19,2,,,12,2,,,595,2,,,,,7,2,123,2,11,3,,,,,14,4,631,1,,,,,,,,,25,2,22,2,,,52,4,,,18,2,15,2,299,7,,,12,4,237,3,3955,3,,,,,306,4,,,13256,5,24,3,1997,6,20,11,10,5,2485,1,259,7,,,1540,8,,,,,9,3,,,,,,,22,2,,,,,695,2,,,17,2,179,5,,,,,369,3,21,3,12,2,82,11,,,,,16,2,19,2,801,13,1886,9,,,,,,,38,2,123,2,,,47,14,13,2,,,,,14,6,,,,,53,3,97,6,48,5,,,,,35,2,17,2,,,,,14,8,,,,,,,,,,,,,316,19,16,4,320,2,,,,,15,2,,,,,,,9,2,,,676,8,10,2,,,819,7,,,,,1096,15,,,,,,,10,4,,,,,53,5,,,51,10,74,3,,,,,69,4,,,,,542,3,13,3,,,16,5,,,,,70,7,,,20,2,2296,2,,,,,,,21,2,,,,,7,2,77,8,15,1,,,,,14,3,,,,,,,,,10,3,,,380,14
4,5,10816,35673,,,,,,,,,,,430,5,,,,,,,,,,,,,,,17,3,118,8,,,,,,,,,,,18,3,,,50,6,,,,,,,322,6,,,,,231,4,2465,10,,,,,44,10,,,14428,4,,,2855,4,70,4,,,259,6,10,90,,,1931,6,,,,,,,,,,,,,,,,,,,275,7,34,6,,,136,6,,,,,239,8,,,,,166,8,,,,,,,,,1553,5,2170,6,,,,,,,,,,,18,2,206,4,,,,,,,,,,,,,,,,,49,4,,,,,,,,,,,,,,,,,,,,,,,18,2,,,735,10,15,6,179,6,17,1,,,,,,,,,,,,,,,1023,4,,,,,858,6,,,73,6,3284,4,,,,,,,,,,,,,88,4,,,89,6,,,,,,,,,,,,,465,5,,,,,,,19,3,,,,,,,18,3,446,7,,,,,100,5,,,,,,,,,115,6,,,,,,,16,2,,,,,,,,,,,,,21,88
5,6,29351,31686,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,13,,,,,,,,,4106,29,,,126,58,188,2,,,,,107,22,,,133,84,,,,,,,,,,,,,,,,,,,216,9,,,,,,,,,,,28,32,5,5,,,,,,,,,,,,,,,86,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,3,122,2,,,,,,,,,,,,,,,,,,,,,,,,,,,85,52,,,,,,,,,,,,,,,,,,,,,401,16,,,,,,,,,,,22088,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,46,,,,,,,,,,,,,,,,,,,,,,,1409,1,,,,,,,,,232,4,,,,,,,,,,,,,,,,,,,,,,
6,7,50381,27454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25763,2,,,,,,,,,11,17,154,17,,,,,,,,,,,,,,,,,,,,,,,107,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1074,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,36,,,,,,,,,,,,,,,,,,,,,,,,,,,204,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,2093,27310,,,,,,,,,,,52,11,,,,,,,24,3,,,,,,,,,46,11,,,,,20,3,16,2,,,,,,,34,11,14,2,,,,,205,11,,,,,55,18,1116,24,,,,,,,,,11102,9,21,4,1028,17,,,,,51,11,78,27,,,763,23,,,,,,,,,19,1,,,,,,,16,2,59,24,19,7,,,48,13,,,,,97,22,,,,,96,10,,,,,,,,,592,21,5272,1,,,22,1,,,,,2,3,,,204,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,5,,,,,,,,,,,,,347,18,,,57,18,,,,,,,,,,,,,,,,,322,22,,,,,369,14,,,,,1760,10,,,,,14,2,,,,,,,,,,,46,12,21,10,,,,,,,23,1,,,170,14,,,15,1,,,,,,,245,3,,,,,57,18,,,,,48,14,,,,,,,,,385,3,,,,,,,,,,,21,1,,,,,,,17,1,2277,3
8,9,2162,26327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,,14,32,,,,,,,162,13,,,,,11,41,1475,17,,,,,,,,,11830,8,,,3,133,,,,,,,98,23,,,867,20,,,,,3,4,,,,,,,,,,,,,31,32,,,,,,,,,,,250,6,,,,,,,,,,,,,6,8,578,22,2,105,,,,,,,3,4,,,,,105,9,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,47,5,13,,,,,,,,,,,,,,,,,,,638,11,,,,,176,29,,,12,10,8242,3,,,,,,,,,,,,,5,9,,,,,7,17,,,,,,,,,,,103,20,,,,,,,,,,,,,,,,,46,23,,,,,75,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1460,5
9,10,2181,23710,,,,,,,,,,,,,,,,,,,,,14,2,,,,,,,207,4,,,,,,,,,,,,,,,44,9,,,,,,,155,15,,,,,166,5,1561,16,,,,,212,6,,,7194,15,20,5,1483,11,135,3,13,4,,,233,8,,,1323,11,,,,,,,,,,,,,,,,,,,284,6,,,,,51,12,,,,,221,11,,,,,427,5,,,,,,,9,5,70,90,1349,11,,,,,,,26,3,,,,,31,20,,,,,,,,,,,,,,,38,9,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,738,9,19,2,262,4,,,,,,,,,,,,,,,,,1333,3,,,,,376,13,,,142,3,2119,8,,,,,,,8,5,,,,,18,7,,,77,8,38,9,,,,,,,11,2,,,800,2,,,,,,,,,,,204,4,,,,,781,5,,,,,97,7,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377,6
10,11,463,23695,,,12,3,,,,,,,,,,,,,,,,,,,,,,,,,29,14,,,,,,,,,9,4,,,,,23,17,,,,,,,263,8,,,,,74,13,2014,12,,,,,,,,,12846,6,11,11,,,14,13,7,9,,,150,18,,,,,,,,,,,,,,,,,,,,,,,75,19,,,,,32,14,,,,,95,23,,,,,43,13,,,,,,,,,848,11,2431,5,,,,,,,,,,,,,53,13,,,,,,,10,8,,,,,,,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,16,8,10,65,14,,,,,,,,,,,,,,,,,395,17,,,,,912,5,,,,,1895,9,,,,,,,,,,,,,,,,,,,18,12,,,,,10,11,,,,,157,17,,,,,,,,,,,43,9,,,,,85,17,,,,,49,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632,10
