bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,125866,1,152,1,110,1,37,1,40,1,23,1,3157,1,22,1,27,1,41,1,468,1,37,1,15,1,23,1,,,53,1,601,1,49,1,80,1,344,1,23,1,69,1,353,1,17,1,280,1,22,1,23,1,32,1,1088,1,36,1,32,2,564,2,7490,1,26,1,15,1,571,1,27,1,31965,1,73,1,16110,1,951,1,62,1,2827,3,1532,1,27,1,4097,1,,,20,1,21,1,31,1,20,2,21,1,60,1,105,1,32,1,,,1606,1,2200,1,21,1,492,1,22,1,18,1,1432,1,356,1,22,1,1517,2,15,1,16,1,20,1,126,1,5745,1,3502,3,19,1,30,1,29,2,563,1,490,1,100,1,450,2,20,1,,,30,1,62,1,22,1,16,1,23,1,21,1,353,2,263,1,19,1,24,1,,,165,1,116,1,149,1,594,1,173,2,14,1,27,1,19,1,28,1,22,1,19,1,1309,2,52,1,2962,1,13,1,,,22,1,13,1,19,1,21,1,19,1,19,1,,,22,1,3049,3,31,1,25,1,4017,2,32,1,636,1,7679,2,18,1,17,1,22,1,17,1,14,1,34,1,23,1,20,1,124,3,82,1,311,1,237,1,,,272,1,317,4,,,23,3,1329,2,37,1,,,221,1,,,496,1,3,1,651,1,38,1,206,1,617,1,31,1,,,477,2,68,1,209,1,24,1,20,1,2332,1,,,19,1,,,17,2,,,22,1,17,1,16,1,22,1,27,1,,,2625,3
1406,55481,2,50,2,,,,,,,,,26,16,,,,,13,4,32,4,,,,,,,,,,,336,3,,,,,,,,,,,,,,,150,2,,,,,,,270,9,,,5,8,536,3,4722,2,,,,,558,2,,,22658,2,7,20,4174,2,67,5,16,3,510,6,1244,3,,,3190,3,52,1,,,,,10,2,,,,,,,,,,,,,887,2,,,,,343,2,,,,,171,12,119,2,8,2,1823,1,,,,,,,10,6,1836,4,2175,7,,,13,3,12,4,,,,,,,,,,,,,,,24,2,,,,,,,,,88,5,,,,,,,,,,,,,,,,,76,5,,,,,,,,,,,,,1442,1,8,11,390,3,,,,,,,1,8,,,,,,,,,,,,,1104,6,,,,,445,12,,,205,4,2949,7,,,,,,,,,,,13,2,9,2,,,264,1,,,32,13,57,6,,,,,393,3,,,,,672,3,,,,,,,,,,,,,,,,,,,87,8,,,,,141,9,13,3,,,,,,,90,9,,,,,,,10,4,,,6,5,,,,,,,9,3,,,930,9
2223,51534,3,,,,,,,,,,,396,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,21,,,,,,,602,2,,,,,254,6,1607,16,,,,,,,,,13286,5,,,3452,3,,,,,3226,2,1341,2,,,2148,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,4,,,210,8,,,,,,,,,5720,2,1982,9,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,504,1,,,,,,,,,,,19,3,,,,,120,3,,,,,,,,,,,,,475,14,,,564,2,,,,,,,,,,,,,,,,,,,,,3345,2,,,,,5997,1,,,,,2174,9,,,,,,,,,,,,,,,,,,,8,3,,,145,3,,,,,79,6,,,,,218,11,,,,,,,,,,,,,392,2,,,,,401,2,,,,,326,3,,,,,,,,,486,4,,,,,,,,,,,6,6,,,,,,,,,,,1992,5
10816,46025,4,,,,,,,,,,,404,4,,,,,20,3,,,,,,,18,2,,,22,3,176,7,,,,,,,,,,,23,3,,,53,11,,,,,,,301,6,,,,,235,7,4226,4,,,,,81,8,,,15247,3,,,3361,4,112,3,,,658,5,498,5,,,2732,4,,,,,,,,,,,,,,,,,,,,,395,6,60,4,,,174,5,,,,,459,3,,,,,255,7,,,,,,,,,1772,5,2936,4,,,,,,,,,,,16,2,269,4,,,,,,,,,,,,,,,,,,,84,4,,,,,,,,,,,,,,,,,,,,,,,,,18,2,,,930,9,20,2,217,6,,,17,1,,,,,,,,,,,,,,,,,1486,4,,,,,790,6,,,111,8,4094,5,,,,,,,,,,,,,,,,,72,4,,,114,5,,,,,,,,,,,,,583,4,,,,,,,,,21,3,,,,,,,29,2,95,7,,,,,170,6,,,,,,,,,154,7,,,,,,,18,1,,,17,2,,,,,,,,,,,2482,4
2397,35206,5,22,3,9,4,,,14,2,,,745,2,,,,,22,2,147,2,,,10,3,,,,,15,4,429,2,,,,,18,4,,,13,2,34,2,,,62,5,,,8,2,12,2,271,8,,,13,4,511,4,3694,7,,,,,333,4,,,12650,8,24,3,1749,8,47,7,17,2,3270,1,230,11,,,1447,9,,,,,9,2,,,,,,,26,2,,,,,,,695,4,,,11,2,150,6,,,,,301,4,55,3,8,3,22,16,,,,,11,3,25,2,755,13,1996,8,,,,,,,88,2,27,2,,,43,19,14,2,,,,,13,3,,,,,11,2,13,2,74,6,48,5,,,,,,,62,2,10,6,,,,,14,9,,,,,,,,,,,,,461,15,16,3,268,4,,,,,,,11,2,,,,,,,8,2,,,,,588,12,9,2,,,519,10,,,,,1318,12,,,,,,,,,,,11,3,,,,,58,5,,,67,9,49,7,,,,,111,5,,,,,439,6,20,3,,,13,5,,,,,,,53,10,,,18,4,247,3,,,,,100,12,11,4,,,,,10,2,50,12,15,1,,,,,12,3,,,9,4,,,,,,,13,2,,,405,18
2093,33001,6,,,,,,,,,,,76,11,,,,,,,34,3,,,,,,,,,,,34,14,,,,,13,5,14,2,,,,,,,56,9,13,2,,,,,102,20,,,,,59,24,1203,23,,,,,,,,,14912,4,10,9,1100,17,,,,,58,16,109,25,,,1137,15,,,,,,,,,23,1,,,,,,,12,2,,,102,17,23,7,,,56,11,,,,,126,19,8,6,,,192,9,,,,,,,,,560,18,4831,1,,,17,2,16,3,,,2,4,,,167,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,6,,,,,,,,,,,,,350,19,,,60,16,,,,,,,,,,,,,,,,,,,,,350,18,,,,,506,11,,,,,2483,8,,,,,10,2,,,,,,,,,,,,,,,41,12,23,12,,,,,,,17,1,,,210,12,,,13,2,,,,,,,,,230,5,,,,,59,10,,,,,54,15,,,,,,,,,658,3,,,,,,,,,,,11,3,,,,,,,,,21,1,2803,2
2181,27233,7,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,,,,228,6,,,,,,,,,,,,,,,11,45,,,,,,,201,12,,,,,267,5,1875,14,,,,,250,5,,,7672,12,13,6,1060,18,135,2,11,4,,,195,19,,,1316,12,,,,,,,,,,,,,,,,,,,,,310,7,,,,,102,10,,,,,255,6,,,,,552,5,,,,,,,16,4,106,75,1072,12,,,,,,,33,3,,,,,42,20,,,,,,,,,,,,,,,10,4,40,10,37,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882,10,13,5,219,5,,,,,,,,,,,,,,,,,,,,,3454,1,,,,,304,15,,,127,7,3139,6,,,,,,,,,,,7,5,,,,,50,6,,,130,3,36,9,,,,,,,10,2,,,1393,1,,,,,,,,,,,,,286,4,,,,,129,6,,,,,155,8,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055,7
463,26099,8,,,15,3,,,,,,,,,,,,,,,12,5,,,,,,,,,,,35,13,,,,,,,,,5,7,,,,,46,13,,,,,,,292,7,,,,,111,15,2396,11,,,,,,,,,12825,7,7,18,,,21,15,7,8,24,18,270,7,,,1159,14,,,,,,,,,,,,,,,,,,,,,82,22,,,,,37,14,,,,,95,22,,,,,37,12,,,,,,,,,1261,6,2364,6,,,,,,,,,,,,,92,11,,,,,,,6,8,,,,,,,,,42,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,17,2,15,47,20,,,,,,,,,,,,,,,,,,,,,511,15,,,,,796,5,,,,,1788,10,,,,,,,,,,,,,,,,,,,,,,,13,14,,,,,18,9,,,,,189,14,,,,,,,,,,,,,83,8,,,,,39,17,,,,,63,13,,,,,,,,,51,10,,,,,,,,,,,,,,,,,,,,,,,898,11
320,22858,9,,,,,,,,,,,148,8,,,,,11,5,,,,,,,,,7,1,,,130,9,,,,,,,,,12,3,,,,,58,8,,,,,,,188,13,,,11,5,57,25,1919,13,,,,,118,6,,,10249,10,26,2,1237,15,50,6,,,63,15,234,9,,,1888,7,,,,,,,8,3,,,8,2,,,10,4,,,,,124,15,37,6,,,,,,,,,276,5,,,,,862,3,,,,,,,12,5,339,32,397,26,,,,,8,5,,,,,14,3,66,13,,,,,,,8,6,,,,,,,,,29,11,31,9,,,,,,,,,9,7,,,,,100,4,,,,,,,,,,,,,931,8,12,6,43,25,,,,,,,8,3,,,,,,,,,,,,,667,10,,,,,274,17,,,136,5,947,15,,,,,,,,,,,,,6,3,,,,,,,85,7,88,4,,,,,,,,,,,110,20,,,,,17,4,,,17,4,,,30,11,,,,,21,25,,,9,1,193,5,,,,,,,,,40,13,,,,,,,,,,,4,9,,,,,,,,,,,476,17
2162,22515,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,22,23,,,,,,,139,16,,,,,38,30,1305,21,,,,,,,,,10848,9,,,669,24,,,,,,,96,29,,,912,20,,,,,6,4,,,,,,,,,,,,,,,28,41,,,,,,,,,,,200,8,,,,,,,,,,,,,10,7,572,17,7,110,,,,,,,7,4,,,,,61,15,,,,,,,,,,,,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,47,3,14,,,,,,,,,,,,,,,,,,,,,,,576,13,,,,,168,24,,,16,11,5527,3,,,,,,,,,,,,,,,,,4,10,,,,,7,16,,,,,13,11,,,,,90,24,,,,,,,,,,,,,,,,,,,41,16,,,,,103,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918,10
