bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,145015,1,159,1,68,2,43,1,45,1,37,1,2572,1,36,1,42,1,51,1,434,1,106,1,31,1,36,1,,,56,1,583,1,70,1,200,1,473,1,38,1,61,1,304,1,37,1,370,1,126,1,30,1,40,1,1060,1,40,1,66,2,653,1,10190,1,30,1,30,1,554,2,29,1,37346,1,64,1,16450,1,621,1,78,1,2877,1,1478,1,52,1,4892,1,,,36,1,63,1,46,1,35,1,36,1,79,1,131,1,42,1,,,1687,1,3534,1,46,1,507,1,32,1,31,1,1243,1,362,1,38,1,1742,1,29,1,33,1,39,1,109,1,7011,1,3276,2,33,1,48,1,34,2,567,1,582,1,88,1,447,2,36,1,,,51,1,108,1,53,1,41,1,55,1,41,1,362,2,231,1,41,1,37,1,,,122,1,116,1,150,1,1063,1,280,2,32,1,39,1,33,1,47,1,49,1,27,1,1623,1,71,1,6370,1,42,1,,,37,1,41,1,38,1,37,1,34,1,36,1,,,35,1,3266,2,40,1,37,1,3550,2,33,1,786,1,8208,2,30,1,37,1,39,1,30,1,25,1,46,1,38,1,34,1,157,2,78,1,377,1,277,1,,,284,1,384,3,,,30,2,2175,1,46,1,,,179,1,,,603,1,2,1,793,1,44,1,260,1,543,1,48,1,,,537,2,75,1,319,1,64,1,34,1,2288,1,,,32,1,,,46,1,,,33,1,26,1,33,1,38,1,41,1,,,3048,2
1406,56299,2,33,2,,,,,,,,,27,16,,,,,19,3,42,3,,,,,,,,,,,418,3,,,,,,,,,,,,,,,70,6,,,,,,,234,9,,,18,3,373,3,4608,2,,,,,772,1,,,24724,2,16,5,4062,2,86,5,19,3,379,6,779,4,,,3016,3,206,1,,,,,9,2,,,,,,,,,,,,,548,5,,,,,418,2,,,,,161,18,30,3,10,2,1580,2,,,,,,,18,2,1979,4,2177,5,,,20,3,12,3,,,,,,,,,,,,,,,10,4,,,,,,,,,92,5,,,,,,,,,,,,,,,,,97,4,,,,,,,,,,,,,1540,2,9,10,459,3,,,,,,,,,,,,,,,,,,,,,1020,8,,,,,477,11,,,195,4,2367,6,,,,,,,,,,,15,2,7,3,,,278,1,,,31,11,54,6,,,,,386,2,,,,,873,3,,,,,,,,,,,,,,,,,,,72,8,,,,,122,9,10,4,,,,,,,143,8,,,,,,,8,3,,,22,2,,,,,,,17,2,,,1132,7
2223,50552,3,,,,,,,,,,,424,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,17,,,,,,,705,2,,,,,247,5,1543,17,,,,,,,,,12477,8,,,3389,3,,,,,2090,3,1313,2,,,2121,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,4,,,150,9,,,,,,,,,5843,2,2004,8,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,446,1,,,,,,,,,,,18,4,,,,,152,3,,,,,,,,,,,,,519,14,,,571,2,,,,,,,,,,,,,,,,,,,,,3461,1,,,,,6974,1,,,,,2021,7,,,,,,,,,,,,,,,,,,,9,4,,,118,2,,,,,58,7,,,,,207,13,,,,,,,,,,,,,420,2,,,,,402,2,,,,,384,4,,,,,,,,,441,4,,,,,,,,,,,6,8,,,,,,,,,,,1976,5
10816,45181,4,,,,,,,,,,,368,6,,,,,21,2,,,,,,,12,2,,,12,3,146,9,,,,,,,,,,,17,3,,,54,9,,,,,,,303,6,,,,,254,4,4085,5,,,,,98,8,,,14845,4,,,3315,4,112,4,,,650,5,485,5,,,2721,4,,,,,,,,,,,,,,,,,,,,,374,6,56,5,,,150,8,,,,,459,3,,,,,305,6,,,,,,,,,1975,5,3039,3,,,,,,,,,,,13,2,228,4,,,,,,,,,,,,,,,,,,,69,4,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,826,10,14,5,235,5,,,13,1,,,,,,,,,,,,,,,,,1546,4,,,,,923,3,,,110,7,3718,5,,,,,,,,,,,,,,,,,44,6,,,69,6,,,,,,,,,,,,,575,4,,,,,,,,,17,3,,,,,,,17,3,99,7,,,,,131,8,,,,,,,,,204,6,,,,,,,15,2,,,12,5,,,,,,,,,,,2435,4
2397,35099,5,11,4,15,3,,,17,2,,,750,2,,,,,17,4,112,2,,,10,2,,,,,7,5,542,2,,,,,7,5,,,23,2,34,2,,,83,4,,,11,2,10,2,256,8,,,8,7,495,2,3709,7,,,,,408,4,,,13451,6,11,9,1659,8,27,11,31,2,2862,2,191,15,,,1457,9,,,,,13,2,,,,,,,17,2,,,,,,,619,3,,,7,2,174,5,,,,,298,7,50,2,5,3,31,13,,,,,7,4,12,5,793,12,1482,9,,,,,,,88,2,19,2,,,26,28,7,2,,,,,11,2,,,,,12,2,7,3,57,6,40,6,,,,,,,72,2,6,7,,,,,13,9,,,,,,,,,,,,,480,15,8,12,315,4,,,,,,,10,2,,,,,,,7,2,,,,,645,11,13,2,,,512,10,,,,,1262,13,,,,,,,,,,,8,3,,,,,56,4,,,59,8,49,7,,,,,108,5,,,,,486,5,9,3,,,11,6,,,,,,,54,10,,,10,4,255,3,,,,,84,12,12,3,,,,,12,2,65,10,29,1,,,,,5,4,,,7,7,,,,,,,10,3,,,438,18
2093,30489,6,,,,,,,,,,,80,11,,,,,,,19,4,,,,,,,,,,,43,11,,,,,10,4,10,3,,,,,,,29,20,1,2,,,,,94,22,,,,,51,23,1204,23,,,,,,,,,13970,5,13,8,1148,16,,,,,56,16,99,25,,,1169,15,,,,,,,,,24,2,,,,,,,3,2,,,59,23,7,7,,,58,13,,,,,82,23,6,7,,,181,8,,,,,,,,,691,15,4603,1,,,23,2,3,5,,,3,4,,,145,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,7,,,,,,,,,,,,,408,17,,,50,18,,,,,,,,,,,,,,,,,,,,,296,24,,,,,399,13,,,,,1471,11,,,,,3,2,,,,,,,,,,,,,,,30,12,22,13,,,,,,,8,2,,,163,18,,,8,2,,,,,,,,,258,5,,,,,36,14,,,,,33,18,,,,,,,,,497,3,,,,,,,,,,,13,4,,,,,,,,,8,1,2872,3
463,26046,7,,,9,4,,,,,,,,,,,,,,,12,6,,,,,,,,,,,39,13,,,,,,,,,9,4,,,,,39,13,,,,,,,277,7,,,,,98,15,2446,12,,,,,,,,,12907,7,9,12,,,23,12,8,8,24,19,161,21,,,1306,13,,,,,,,,,,,,,,,,,,,,,103,17,,,,,28,14,,,,,166,16,,,,,49,12,,,,,,,,,1144,9,2097,6,,,,,,,,,,,,,77,11,,,,,,,8,6,,,,,,,,,48,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,16,11,7,47,22,,,,,,,,,,,,,,,,,,,,,484,17,,,,,856,4,,,,,1817,9,,,,,,,,,,,,,,,,,,,,,,,22,11,,,,,21,9,,,,,180,14,,,,,,,,,,,,,68,9,,,,,42,11,,,,,70,14,,,,,,,,,47,11,,,,,,,,,,,,,,,,,,,,,,,872,11
2181,24986,8,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,244,6,,,,,,,,,,,,,,,17,30,,,,,,,167,13,,,,,157,9,2065,13,,,,,372,5,,,7570,14,19,3,1030,19,276,2,9,7,,,216,12,,,1367,11,,,,,,,,,,,,,,,,,,,,,325,7,,,,,149,9,,,,,393,5,,,,,534,4,,,,,,,10,6,99,77,1231,10,,,,,,,28,3,,,,,33,22,,,,,,,,,,,,,,,8,2,56,7,39,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,9,16,4,217,6,,,,,,,,,,,,,,,,,,,,,1886,3,,,,,308,16,,,107,8,2018,8,,,,,,,,,,,7,4,,,,,46,5,,,78,4,25,9,,,,,,,18,1,,,1311,2,,,,,,,,,,,,,337,3,,,,,128,5,,,,,138,6,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039,8
320,22242,9,,,,,,,,,,,115,9,,,,,11,5,,,,,,,,,10,1,,,206,7,,,,,,,,,14,3,,,,,158,2,,,,,,,183,12,,,11,5,47,25,2041,14,,,,,153,6,,,10150,9,26,2,1131,17,22,13,,,66,13,256,7,,,1550,8,,,,,,,6,3,,,6,2,,,10,4,,,,,114,16,55,6,,,,,,,,,317,6,,,,,447,5,,,,,,,14,4,287,38,347,26,,,,,11,4,,,,,10,3,47,16,,,,,,,10,3,,,,,,,,,17,12,26,9,,,,,,,,,9,6,,,,,72,5,,,,,,,,,,,,,915,7,21,3,62,15,,,,,,,8,3,,,,,,,,,,,,,715,9,,,,,332,15,,,162,5,880,14,,,,,,,,,,,,,10,2,,,,,,,51,9,109,3,,,,,,,,,,,92,22,,,,,20,4,,,9,4,,,23,13,,,,,24,21,,,9,1,419,3,,,,,,,,,46,12,,,,,,,,,,,9,6,,,,,,,,,,,371,19
2162,21229,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,9,49,,,,,,,99,20,,,,,19,39,1505,18,,,,,,,,,9857,10,,,706,25,,,,,,,84,28,,,768,22,,,,,1,4,,,,,,,,,,,,,,,22,43,,,,,,,,,,,205,10,,,,,,,,,,,,,3,10,578,18,3,110,,,,,,,8,4,,,,,46,17,,,,,,,,,,,,,,,,,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,54,4,15,,,,,,,,,,,,,,,,,,,,,,,570,13,,,,,172,22,,,8,13,5268,3,,,,,,,,,,,,,,,,,4,9,,,,,7,16,,,,,16,10,,,,,93,21,,,,,,,,,,,,,,,,,,,37,12,,,,,116,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905,10
